name,count,gender,probability,IPA,IPA_stress,n_syllables
Claire,2587.0,female,1.0,'klɛr,1,1.0
Christian,2548.0,male,0.99,'krɪs ʧən,10,2.0
Sean,2515.0,male,1.0,'ʃɔːn,1,1.0
Marco,2493.0,male,0.99,'mɑr koʊ,10,2.0
Cindy,2477.0,female,1.0,'sɪn diː,10,2.0
Anne,2461.0,female,1.0,'æn,1,1.0
Caroline,2457.0,female,1.0,'kɛ rə `laɪn,101,3.0
Simon,2443.0,male,0.99,'saɪ mən,10,2.0
Samantha,2438.0,female,1.0,sə 'mæn θə,010,3.0
Danielle,2429.0,female,1.0,`dæ niː 'ɛl,101,3.0
Jamie,2428.0,male,0.53,'ʤeɪ miː,10,2.0
Christina,2400.0,female,1.0,krɪ 'stiː nʌ,010,3.0
Catherine,2372.0,female,1.0,'kæ θɛː ən,100,3.0
Carol,2345.0,female,0.99,'kæ rəl,10,2.0
Christopher,2339.0,male,1.0,'krɪ stə fɛː,100,3.0
Marie,2299.0,female,0.99,mɛː 'iː,01,2.0
Paula,2298.0,female,0.99,'pɔː lə,10,2.0
Jim,2291.0,male,1.0,'ʤɪm,1,1.0
Antonio,2290.0,male,1.0,æn 'toʊ niː oʊ,0100,4.0
Aaron,2280.0,male,1.0,'ɛ rən,10,2.0
Diego,2270.0,male,1.0,diː 'eɪ goʊ,010,3.0
Rob,2262.0,male,0.99,'rɑb,1,1.0
Kate,2254.0,female,0.99,'keɪt,1,1.0
Victor,2234.0,male,1.0,'vɪk tɛː,10,2.0
Donna,2227.0,female,1.0,'dɑ nʌ,10,2.0
Kathy,2220.0,female,1.0,'kæ θiː,10,2.0
Joseph,2213.0,male,0.99,'ʤoʊ səf,10,2.0
Helen,2201.0,female,0.99,'hɛ lən,10,2.0
Tina,2195.0,female,1.0,'tiː nʌ,10,2.0
Debbie,2180.0,female,1.0,'dɛ biː,10,2.0
Ian,2159.0,male,0.99,'iː ən,10,2.0
Julia,2152.0,female,0.99,'ʤuːl jʌ,10,2.0
Melanie,2137.0,female,1.0,'mɛ lə niː,100,3.0
Gary,2132.0,male,1.0,'gɛ riː,10,2.0
Carolina,2110.0,female,0.99,`kɛ rə 'laɪ nʌ,1010,4.0
Daniela,2105.0,female,0.99,dæ 'njɛ lə,010,3.0
George,2098.0,male,0.99,'ʤɔːrʤ,1,1.0
Erin,2097.0,female,0.99,'ɛ rɪn,10,2.0
Lee,2089.0,male,0.75,'liː,1,1.0
Alan,2079.0,male,1.0,'æ lən,10,2.0
Miguel,2065.0,male,1.0,mɪ 'gɛl,01,2.0
Andres,2057.0,male,1.0,'ɑn dreɪz,10,2.0
Natalie,2027.0,female,1.0,'næ tʌ liː,100,3.0
Mario,2026.0,male,0.99,'mɑ riː oʊ,100,3.0
Fernando,2012.0,male,1.0,fɛː 'næn doʊ,010,3.0
Mehmet,2004.0,male,0.99,'mɛ mət,10,2.0
Jack,1993.0,male,0.99,'ʤæk,1,1.0
Cristina,1983.0,female,1.0,krɪ 'stiː nʌ,010,3.0
Javier,1975.0,male,1.0,`hɑ viː 'ɛr,101,3.0
Wendy,1964.0,female,0.99,'wɛn diː,10,2.0
Roberto,1956.0,male,1.0,rə 'bɛr toʊ,010,3.0
Manuel,1954.0,male,1.0,mɑn 'wɛl,01,2.0
Nicolas,1953.0,male,1.0,'nɪ kə ləs,100,3.0
Alejandro,1951.0,male,1.0,ɑ leɪ 'jɑn droʊ,0010,4.0
Hannah,1949.0,female,1.0,'hæ nʌ,10,2.0
Kyle,1944.0,male,0.99,'kaɪl,1,1.0
Charlotte,1926.0,female,1.0,'ʃɑr lət,10,2.0
Carmen,1916.0,female,1.0,'kɑr mən,10,2.0
Ricardo,1916.0,male,1.0,rɪ 'kɑr doʊ,010,3.0
Ivan,1905.0,male,1.0,'aɪ vən,10,2.0
Jay,1882.0,male,0.9,'ʤeɪ,1,1.0
Victoria,1879.0,female,1.0,vɪk 'tɔː riː ə,0100,4.0
Brandon,1869.0,male,1.0,'bræn dən,10,2.0
Greg,1852.0,male,1.0,'grɛg,1,1.0
Denise,1844.0,female,1.0,dɪ 'niːs,01,2.0
Jeremy,1840.0,male,0.99,'ʤɛ rə miː,100,3.0
Sophie,1836.0,female,1.0,'soʊ fiː,10,2.0
Sue,1825.0,female,1.0,'suː,1,1.0
Sergio,1818.0,male,1.0,'sɛː ʤiː oʊ,100,3.0
Ann,1818.0,female,0.99,'æn,1,1.0
Brenda,1816.0,female,0.99,'brɛn də,10,2.0
Craig,1816.0,male,1.0,'kreɪg,1,1.0
Bill,1812.0,male,1.0,'bɪl,1,1.0
Shannon,1799.0,female,0.93,'ʃæ nən,10,2.0
Charles,1798.0,male,1.0,'ʧɑrlz,1,1.0
Jane,1796.0,female,0.99,'ʤeɪn,1,1.0
Louise,1791.0,female,1.0,luː 'iːz,01,2.0
Jon,1790.0,male,1.0,'ʤɑn,1,1.0
Jordan,1774.0,male,0.77,'ʤɔːr dən,10,2.0
Silvia,1766.0,female,1.0,'sɪl viː ə,100,3.0
Mustafa,1728.0,male,1.0,muː 'stɑ fə,010,3.0
Amber,1725.0,female,1.0,'æm bɛː,10,2.0
Alexandra,1723.0,female,1.0,`æ lɛg 'zæn drə,1010,4.0
Kimberly,1717.0,female,1.0,'kɪm bɛː liː,100,3.0
Eva,1715.0,female,1.0,'eɪ və,10,2.0
Tracy,1709.0,female,0.95,'treɪ siː,10,2.0
Liz,1696.0,female,1.0,'lɪz,1,1.0
Gabriel,1674.0,male,0.99,'geɪ briː əl,100,3.0
Angel,1668.0,male,0.61,'eɪn ʤəl,10,2.0
Jan,1663.0,male,0.6,'ʤæn,1,1.0
Pablo,1653.0,male,1.0,'pɑ bloʊ,10,2.0
Oscar,1650.0,male,0.99,'ɔː skɛː,10,2.0
Diane,1649.0,female,0.99,daɪ 'æn,01,2.0
Elena,1645.0,female,1.0,'ɛ lə nʌ,100,3.0
Alexander,1645.0,male,1.0,`æ ləg 'zæn dɛː,1010,4.0
Eduardo,1644.0,male,1.0,ɛ 'dwɑr doʊ,010,3.0
Danny,1633.0,male,0.95,'dæ niː,10,2.0
