"IPA_stress","gender","name","counts"
"01","F","Michelle",808753
"01","F","Kathleen",711216
"01","F","Nicole",584947
"01","F","Christine",584335
"01","F","Marie",536143
"01","F","Diane",516919
"01","F","Denise",371064
"01","F","Irene",351710
"01","F","Louise",332204
"01","F","Elaine",256571
"01","M","Eugene",378539
"01","M","Luis",269374
"01","M","Bernard",198918
"01","M","Manuel",181654
"01","M","Miguel",173836
"01","M","Jerome",158174
"01","M","Maurice",133485
"01","M","Ramon",73936
"01","M","Gerard",57301
"01","M","Rene",48632
"10","F","Mary",4123200
"10","F","Linda",1450632
"10","F","Susan",1121440
"10","F","Sarah",1073895
"10","F","Helen",1018290
"10","F","Nancy",1002010
"10","F","Betty",999474
"10","F","Karen",984459
"10","F","Lisa",964007
"10","F","Anna",888505
"10","M","Robert",4814815
"10","M","Michael",4350824
"10","M","William",4102604
"10","M","David",3611329
"10","M","Joseph",2603445
"10","M","Richard",2563082
"10","M","Thomas",2304948
"10","M","Daniel",1907357
"10","M","Matthew",1589901
"10","M","Donald",1410350
"11","F","Joanne",210537
"11","F","Darlene",203630
"11","F","Colleen",161604
"11","F","Joann",154811
"11","F","Arlene",141462
"11","F","Marlene",128465
"11","F","Jocelyn",102208
"11","F","Monique",77310
"11","F","Aimee",51662
"11","F","Lynette",41257
"11","M","Jose",559468
"11","M","Leroy",198829
"11","M","Andre",120186
"11","M","Tristan",108188
"11","M","Maxwell",86283
"11","M","Tyrone",78034
"11","M","Woodrow",35883
"11","M","Otto",29458
"11","M","Joaquin",24507
"11","M","Marquis",22223
