"IPA_stress","gender","name","counts"
"001","F","Geraldine",209153
"001","F","Adrienne",65750
"001","F","Maryann",61415
"001","F","Bernadette",51327
"001","F","Dominique",49588
"001","F","Juliette",23321
"001","F","Bernadine",20071
"001","F","Isabell",10228
"001","F","Maryanne",9531
"001","M","Dominique",21582
"001","M","Valentin",5841
"010","F","Patricia",1570983
"010","F","Amanda",784888
"010","F","Melissa",750329
"010","F","Rebecca",746921
"010","F","Virginia",648386
"010","F","Samantha",568785
"010","F","Maria",543324
"010","F","Christina",475108
"010","F","Teresa",412895
"010","F","Theresa",403324
"010","M","Elijah",279106
"010","M","Nathaniel",262916
"010","M","Sebastian",141966
"010","M","Ricardo",138055
"010","M","Francisco",131827
"010","M","Aidan",107523
"010","M","Roberto",107162
"010","M","Diego",102075
"010","M","Eduardo",100250
"010","M","Josiah",98498
"011","M","Gilberto",26801
"011","M","Humberto",14249
"011","M","Adolfo",12229
"011","M","Norberto",103
"100","F","Jennifer",1465815
"100","F","Barbara",1434060
"100","F","Margaret",1246649
"100","F","Dorothy",1107096
"100","F","Jessica",1043089
"100","F","Emily",841491
"100","F","Kimberly",834968
"100","F","Deborah",738843
"100","F","Stephanie",738546
"100","F","Cynthia",706697
"100","M","Christopher",2020107
"100","M","Anthony",1432718
"100","M","Joshua",1200070
"100","M","Timothy",1066401
"100","M","Nicholas",893643
"100","M","Jonathan",832468
"100","M","Benjamin",734953
"100","M","Gregory",706245
"100","M","Zachary",530985
"100","M","Jeremy",432943
"101","F","Danielle",365658
"101","F","Abigail",354515
"101","F","Josephine",304208
"101","F","Caroline",224389
"101","F","Isabel",116747
"101","F","Genevieve",110310
"101","F","Marguerite",91529
"101","F","Isabelle",88132
"101","F","Antoinette",76517
"101","F","Guadalupe",63849
"101","M","Theodore",236523
"101","M","Javier",95453
"101","M","Abraham",86892
"101","M","Angelo",76633
"101","M","Rafael",76510
"101","M","Salvador",46251
"101","M","Malachi",43859
"101","M","Ezekiel",37662
"101","M","Roosevelt",35825
"101","M","Guadalupe",23539
"110","F","Rosemary",155141
"110","F","Deanna",133297
"110","F","Dianna",55103
"110","F","Luella",28331
"110","F","Daniella",27465
"110","F","Deana",21508
"110","F","Paulina",14563
"110","F","Corina",12712
"110","F","Georgina",12284
"110","F","Estrella",12036
"110","M","Isaiah",204754
"110","M","Alfredo",53553
"110","M","Alfonso",38945
"110","M","Reynaldo",17868
"110","M","Armani",8928
"110","M","Wilfredo",8233
"110","M","Abdullah",5589
"110","M","Raymundo",5290
"110","M","Marcello",2693
"110","M","Nikita",335
"111","F","Mya",51984
