name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,67829,2
Robert,M,'rɑ bɛːt,10,61131,2
John,M,'ʤɑn,1,56119,1
James,M,'ʤeɪmz,1,53205,1
William,M,'wɪl jəm,10,51919,2
Dorothy,F,'dɔː rə θiː,100,36615,3
Betty,F,'bɛ tiː,10,32963,2
Charles,M,'ʧɑrlz,1,29521,1
Helen,F,'hɛ lən,10,26885,2
George,M,'ʤɔːrʤ,1,25905,1
Richard,M,'rɪ ʧɛːd,10,25149,2
Joseph,M,'ʤoʊ səf,10,23762,2
Margaret,F,'mɑr gɛː ɪt,100,23068,3
Donald,M,'dɑ nəld,10,20910,2
Ruth,F,'ruːθ,1,20221,1
Edward,M,'ɛ dwɛːd,10,19378,2
Thomas,M,'tɑ məs,10,16601,2
Doris,F,'dɔː rəs,10,16297,2
Virginia,F,vɛː 'ʤɪ njə,010,16160,3
Frank,M,'fræŋk,1,14492,1
Paul,M,'pɔːl,1,13656,1
Mildred,F,'mɪl drɪd,10,13550,2
Frances,F,'fræn sɪs,10,13356,2
Harold,M,'hɛ rəld,10,13309,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,12836,4
Raymond,M,'reɪ mənd,10,12808,2
Jack,M,'ʤæk,1,12201,1
Jean,F,'ʤiːn,1,12167,1
Evelyn,F,'ɛ və lən,100,11781,3
Walter,M,'wɔːl tɛː,10,11770,2
Shirley,F,'ʃɛː liː,10,11762,2
Anna,F,'æ nʌ,10,11698,2
Barbara,F,'bɑr bɛː ə,100,11079,3
Alice,F,'æ ləs,10,10955,2
Marie,F,mɛː 'iː,01,10630,2
Kenneth,M,'kɛ nɪθ,10,10341,2
Henry,M,'hɛn riː,10,10000,2
Lois,F,'loʊ əs,10,9819,2
Arthur,M,'ɑr θɛː,10,9464,2
Gloria,F,'glɔː riː ə,100,9196,3
Irene,F,aɪ 'riːn,01,9169,2
Albert,M,'æl bɛːt,10,9144,2
David,M,'deɪ vɪd,10,9039,2
Eugene,M,juː 'ʤiːn,01,9014,2
Marjorie,F,'mɑr ʤɛː iː,100,8640,3
Patricia,F,pə 'trɪ ʃə,010,8590,3
Martha,F,'mɑr θə,10,8555,2
Rose,F,'roʊz,1,8509,1
Ralph,M,'rælf,1,8454,1
Harry,M,'hɛ riː,10,8211,2
Florence,F,'flɔː rəns,10,8181,2
Louise,F,luː 'iːz,01,7983,2
Lillian,F,'lɪ liː ən,100,7661,3
Norma,F,'nɔːr mə,10,7528,2
Ruby,F,'ruː biː,10,7473,2
