name,gender,IPA,IPA_stress,counts,n_syllables
James,M,'ʤeɪmz,1,74450,1
Robert,M,'rɑ bɛːt,10,69933,2
John,M,'ʤɑn,1,66118,1
Mary,F,'mɛ riː,10,59284,2
William,M,'wɪl jəm,10,50211,2
Richard,M,'rɪ ʧɛːd,10,46042,2
Linda,F,'lɪn də,10,41461,2
Barbara,F,'bɑr bɛː ə,100,38276,3
David,M,'deɪ vɪd,10,37094,2
Patricia,F,pə 'trɪ ʃə,010,35839,3
Charles,M,'ʧɑrlz,1,32463,1
Thomas,M,'tɑ məs,10,31870,2
Carol,F,'kæ rəl,10,30388,2
Michael,M,'maɪ kəl,10,29899,2
Sandra,F,'sæn drə,10,24701,2
Ronald,M,'rɑ nəld,10,23665,2
Larry,M,'lɛ riː,10,22824,2
Donald,M,'dɑ nəld,10,22135,2
Nancy,F,'næn siː,10,21456,2
Gary,M,'gɛ riː,10,21343,2
Sharon,F,'ʃæ rən,10,20835,2
Joseph,M,'ʤoʊ səf,10,20816,2
Judith,F,'ʤuː dəθ,10,20188,2
George,M,'ʤɔːrʤ,1,19319,1
Susan,F,'suː zən,10,19224,2
Betty,F,'bɛ tiː,10,18388,2
Kenneth,M,'kɛ nɪθ,10,18093,2
Carolyn,F,'kɛ rə lɪn,100,17242,3
Judy,F,'ʤuː diː,10,17002,2
Paul,M,'pɔːl,1,16993,1
Shirley,F,'ʃɛː liː,10,16150,2
Edward,M,'ɛ dwɛːd,10,15867,2
Margaret,F,'mɑr gɛː ɪt,100,15682,3
Karen,F,'kɛ rən,10,15679,2
Donna,F,'dɑ nʌ,10,15397,2
Dennis,M,'dɛ nɪs,10,14991,2
Jerry,M,'ʤɛ riː,10,14701,2
Joyce,F,'ʤɔɪs,1,13951,1
Kathleen,F,kæθ 'liːn,01,13801,2
Janet,F,'ʤæ nət,10,12325,2
Dorothy,F,'dɔː rə θiː,100,12325,3
Diane,F,daɪ 'æn,01,12225,2
Gloria,F,'glɔː riː ə,100,11036,3
Frank,M,'fræŋk,1,10869,1
Janice,F,'ʤæ nəs,10,10781,2
Roger,M,'rɑ ʤɛː,10,10571,2
Joan,F,'ʤoʊn,1,10396,1
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,10337,4
