name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,24390,2
John,M,'ʤɑn,1,13446,1
Helen,F,'hɛ lən,10,11801,2
William,M,'wɪl jəm,10,10593,2
James,M,'ʤeɪmz,1,9951,1
Margaret,F,'mɑr gɛː ɪt,100,9279,3
Dorothy,F,'dɔː rə θiː,100,8869,3
Ruth,F,'ruːθ,1,8003,1
Anna,F,'æ nʌ,10,6753,2
George,M,'ʤɔːrʤ,1,6586,1
Robert,M,'rɑ bɛːt,10,6526,2
Joseph,M,'ʤoʊ səf,10,6488,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,6298,4
Mildred,F,'mɪl drɪd,10,6271,2
Charles,M,'ʧɑrlz,1,5725,1
Marie,F,mɛː 'iː,01,5017,2
Frances,F,'fræn sɪs,10,4967,2
Alice,F,'æ ləs,10,4813,2
Florence,F,'flɔː rəns,10,4424,2
Lillian,F,'lɪ liː ən,100,4367,3
Frank,M,'fræŋk,1,4314,1
Edward,M,'ɛ dwɛːd,10,4164,2
Rose,F,'roʊz,1,4151,1
Ethel,F,'ɛ θəl,10,4141,2
Evelyn,F,'ɛ və lən,100,4075,3
Edna,F,'ɛd nʌ,10,3957,2
Gladys,F,'glæ dɪs,10,3933,2
Louise,F,luː 'iːz,01,3725,2
Catherine,F,'kæ θɛː ən,100,3565,3
Irene,F,aɪ 'riːn,01,3502,2
Ruby,F,'ruː biː,10,3372,2
Grace,F,'greɪs,1,3304,1
Annie,F,'æ niː,10,3298,2
Thomas,M,'tɑ məs,10,3292,2
Hazel,F,'heɪ zəl,10,3290,2
Virginia,F,vɛː 'ʤɪ njə,010,3263,3
Henry,M,'hɛn riː,10,3167,2
Thelma,F,'θɛl mə,10,3166,2
Walter,M,'wɔːl tɛː,10,3074,2
Martha,F,'mɑr θə,10,3019,2
Josephine,F,'ʤoʊ sə `fiːn,101,3011,3
Gertrude,F,'gɛː truːd,10,2895,2
Edith,F,'iː dɪθ,10,2825,2
Lucille,F,luː 'siːl,01,2740,2
Clara,F,'klæ rə,10,2691,2
Esther,F,'ɛ stɛː,10,2676,2
Emma,F,'ɛ mə,10,2616,2
Bertha,F,'bɛː θə,10,2606,2
Harry,M,'hɛ riː,10,2538,2
Beatrice,F,'biː ə trəs,100,2522,3
Willie,M,'wɪ liː,10,2492,2
Albert,M,'æl bɛːt,10,2478,2
Harold,M,'hɛ rəld,10,2448,2
Paul,M,'pɔːl,1,2393,1
Arthur,M,'ɑr θɛː,10,2376,2
Pauline,F,pɔː 'liːn,01,2345,2
Agnes,F,'æg nɪs,10,2315,2
Bessie,F,'bɛ siː,10,2279,2
Elsie,F,'ɛl siː,10,2224,2
Sarah,F,'sɛ rə,10,2201,2
Mabel,F,'meɪ bəl,10,2171,2
Julia,F,'ʤuːl jʌ,10,2158,2
Ida,F,'aɪ də,10,2119,2
Eva,F,'eɪ və,10,2109,2
Raymond,M,'reɪ mənd,10,2088,2
Viola,F,vaɪ 'oʊ lə,010,2083,3
Pearl,F,'pɛːl,1,2075,1
Eleanor,F,'ɛ lə nɔːr,100,2035,3
Myrtle,F,'mɛː təl,10,2033,2
Richard,M,'rɪ ʧɛːd,10,2030,2
Bernice,F,bɛː 'niːs,01,1915,2
Minnie,F,'mɪ niː,10,1899,2
Ann,F,'æn,1,1882,1
Nellie,F,'nɛ liː,10,1866,2
Katherine,F,'kæ θɛː ɪn,100,1858,3
Louis,M,'luː ɪs,10,1838,2
Doris,F,'dɔː rəs,10,1812,2
Fred,M,'frɛd,1,1808,1
Laura,F,'lɔː rə,10,1790,2
Clarence,M,'klɛ rəns,10,1775,2
Marion,F,'mɛ riː ən,100,1744,3
Marjorie,F,'mɑr ʤɛː iː,100,1722,3
Lillie,F,'lɪ liː,10,1690,2
Ralph,M,'rælf,1,1674,1
Jack,M,'ʤæk,1,1668,1
Willie,F,'wɪ liː,10,1637,2
Alma,F,'æl mə,10,1611,2
Ella,F,'ɛ lə,10,1604,2
Anne,F,'æn,1,1598,1
Carl,M,'kɑrl,1,1574,1
David,M,'deɪ vɪd,10,1556,2
Mattie,F,'mæ tiː,10,1552,2
Jessie,F,'ʤɛ siː,10,1550,2
Vera,F,'vɛ rə,10,1510,2
Lois,F,'loʊ əs,10,1508,2
Howard,M,'haʊ ɛːd,10,1467,2
Betty,F,'bɛ tiː,10,1456,2
Mae,F,'meɪ,1,1449,1
Lena,F,'liː nʌ,10,1449,2
Joe,M,'ʤoʊ,1,1449,1
Stella,F,'stɛ lə,10,1422,2
Samuel,M,'sæ mjuːl,10,1398,2
Kathryn,F,'kæ θrɪn,10,1397,2
Roy,M,'rɔɪ,1,1394,1
Jean,F,'ʤiːn,1,1381,1
Blanche,F,'blænʧ,1,1361,1
Ernest,M,'ɛː nəst,10,1338,2
Leona,F,'liː oʊ nʌ,100,1329,3
Francis,M,'fræn səs,10,1311,2
Lucy,F,'luː siː,10,1309,2
