name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,32304,2
John,M,'ʤɑn,1,24587,1
William,M,'wɪl jəm,10,19626,2
James,M,'ʤeɪmz,1,17644,1
Helen,F,'hɛ lən,10,16133,2
Robert,M,'rɑ bɛːt,10,12837,2
Dorothy,F,'dɔː rə θiː,100,12645,3
Margaret,F,'mɑr gɛː ɪt,100,12535,3
Joseph,M,'ʤoʊ səf,10,12062,2
George,M,'ʤɔːrʤ,1,11734,1
Ruth,F,'ruːθ,1,11280,1
Charles,M,'ʧɑrlz,1,11070,1
Mildred,F,'mɪl drɪd,10,8764,2
Anna,F,'æ nʌ,10,8586,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,8528,4
Edward,M,'ɛ dwɛːd,10,7936,2
Frank,M,'fræŋk,1,7912,1
Frances,F,'fræn sɪs,10,6680,2
Marie,F,mɛː 'iː,01,6642,2
Alice,F,'æ ləs,10,6285,2
Thomas,M,'tɑ məs,10,6087,2
Walter,M,'wɔːl tɛː,10,5808,2
Florence,F,'flɔː rəns,10,5739,2
Henry,M,'hɛn riː,10,5644,2
Evelyn,F,'ɛ və lən,100,5620,3
Lillian,F,'lɪ liː ən,100,5568,3
Rose,F,'roʊz,1,5431,1
Edna,F,'ɛd nʌ,10,5136,2
Louise,F,luː 'iːz,01,5116,2
Harold,M,'hɛ rəld,10,5102,2
Ethel,F,'ɛ θəl,10,5073,2
Gladys,F,'glæ dɪs,10,4980,2
Virginia,F,vɛː 'ʤɪ njə,010,4810,3
Paul,M,'pɔːl,1,4785,1
Arthur,M,'ɑr θɛː,10,4685,2
Catherine,F,'kæ θɛː ən,100,4666,3
Irene,F,aɪ 'riːn,01,4646,2
Harry,M,'hɛ riː,10,4624,2
Albert,M,'æl bɛːt,10,4587,2
Ruby,F,'ruː biː,10,4452,2
Grace,F,'greɪs,1,4418,1
Raymond,M,'reɪ mənd,10,4374,2
Hazel,F,'heɪ zəl,10,4197,2
Richard,M,'rɪ ʧɛːd,10,4188,2
Thelma,F,'θɛl mə,10,4183,2
Annie,F,'æ niː,10,4083,2
Josephine,F,'ʤoʊ sə `fiːn,101,3980,3
Martha,F,'mɑr θə,10,3911,2
Gertrude,F,'gɛː truːd,10,3887,2
Edith,F,'iː dɪθ,10,3841,2
Lucille,F,luː 'siːl,01,3763,2
Louis,M,'luː ɪs,10,3591,2
Clarence,M,'klɛ rəns,10,3590,2
Esther,F,'ɛ stɛː,10,3569,2
Willie,M,'wɪ liː,10,3508,2
Clara,F,'klæ rə,10,3480,2
Ralph,M,'rælf,1,3435,1
Emma,F,'ɛ mə,10,3357,2
Bertha,F,'bɛː θə,10,3288,2
Carl,M,'kɑrl,1,3224,1
Howard,M,'haʊ ɛːd,10,3212,2
Beatrice,F,'biː ə trəs,100,3205,3
Pauline,F,pɔː 'liːn,01,3163,2
Eleanor,F,'ɛ lə nɔːr,100,3120,3
Fred,M,'frɛd,1,3103,1
Agnes,F,'æg nɪs,10,2945,2
Sarah,F,'sɛ rə,10,2919,2
Elsie,F,'ɛl siː,10,2895,2
Donald,M,'dɑ nəld,10,2872,2
Jack,M,'ʤæk,1,2870,1
David,M,'deɪ vɪd,10,2858,2
Bessie,F,'bɛ siː,10,2832,2
Julia,F,'ʤuːl jʌ,10,2825,2
Ida,F,'aɪ də,10,2740,2
Mabel,F,'meɪ bəl,10,2714,2
Ann,F,'æn,1,2666,1
Doris,F,'dɔː rəs,10,2657,2
Eva,F,'eɪ və,10,2636,2
Samuel,M,'sæ mjuːl,10,2602,2
Myrtle,F,'mɛː təl,10,2599,2
Bernice,F,bɛː 'niːs,01,2593,2
Roy,M,'rɔɪ,1,2591,1
Ernest,M,'ɛː nəst,10,2569,2
Viola,F,vaɪ 'oʊ lə,010,2550,3
Katherine,F,'kæ θɛː ɪn,100,2546,3
Kenneth,M,'kɛ nɪθ,10,2538,2
Pearl,F,'pɛːl,1,2528,1
Marion,F,'mɛ riː ən,100,2522,3
Earl,M,'ɛːl,1,2518,1
Francis,M,'fræn səs,10,2516,2
Joe,M,'ʤoʊ,1,2515,1
Anthony,M,'æn θə niː,100,2480,3
Marjorie,F,'mɑr ʤɛː iː,100,2468,3
Lawrence,M,'lɔː rəns,10,2467,2
Laura,F,'lɔː rə,10,2413,2
Anne,F,'æn,1,2369,1
Nellie,F,'nɛ liː,10,2365,2
Minnie,F,'mɪ niː,10,2295,2
Willie,F,'wɪ liː,10,2267,2
Herbert,M,'hɛː bɛːt,10,2236,2
Alfred,M,'æl frəd,10,2210,2
Alma,F,'æl mə,10,2183,2
Lois,F,'loʊ əs,10,2146,2
Eugene,M,juː 'ʤiːn,01,2114,2
Michael,M,'maɪ kəl,10,2104,2
Jean,F,'ʤiːn,1,2056,1
Jessie,F,'ʤɛ siː,10,2052,2
Stanley,M,'stæn liː,10,2017,2
Betty,F,'bɛ tiː,10,2011,2
Lillie,F,'lɪ liː,10,2003,2
Vera,F,'vɛ rə,10,1974,2
Andrew,M,'æn druː,10,1946,2
Leonard,M,'lɛ nɛːd,10,1928,2
Ella,F,'ɛ lə,10,1921,2
Mattie,F,'mæ tiː,10,1915,2
Kathryn,F,'kæ θrɪn,10,1905,2
Lena,F,'liː nʌ,10,1903,2
Woodrow,M,'wʊ `droʊ,11,1843,2
Elmer,M,'ɛl mɛː,10,1840,2
Stella,F,'stɛ lə,10,1834,2
Mae,F,'meɪ,1,1775,1
Blanche,F,'blænʧ,1,1761,1
Peter,M,'piː tɛː,10,1679,2
Leo,M,'liː oʊ,10,1654,2
Leona,F,'liː oʊ nʌ,100,1650,3
Herman,M,'hɛː mən,10,1646,2
Sylvia,F,'sɪl viː ə,100,1639,3
Lucy,F,'luː siː,10,1636,2
Marguerite,F,`mɑr gɛː 'iːt,101,1620,3
Beulah,F,'bjuː lə,10,1607,2
Jennie,F,'ʤɛ niː,10,1595,2
Carrie,F,'kɛ riː,10,1580,2
Frederick,M,'frɛ drɪk,10,1564,2
Theodore,M,'θiː ə `dɔːr,101,1561,3
Violet,F,'vaɪ ə lɪt,100,1535,3
Daniel,M,'dæ njəl,10,1524,2
Edwin,M,'ɛ dwən,10,1518,2
Vivian,F,'vɪ viː ən,100,1487,3
Opal,F,'oʊ pəl,10,1465,2
Chester,M,'ʧɛ stɛː,10,1460,2
Russell,M,'rə səl,10,1449,2
Ellen,F,'ɛ lən,10,1449,2
Charlie,M,'ʧɑr liː,10,1446,2
Lester,M,'lɛ stɛː,10,1443,2
Floyd,M,'flɔɪd,1,1438,1
Bernard,M,bɛː 'nɑrd,01,1437,2
Fannie,F,'fæ niː,10,1425,2
Velma,F,'vɛl mə,10,1403,2
Jane,F,'ʤeɪn,1,1390,1
Hattie,F,'hæ tiː,10,1389,2
Charlotte,F,'ʃɑr lət,10,1375,2
Norman,M,'nɔːr mən,10,1367,2
Genevieve,F,'ʤɛ nʌ `viːv,101,1353,3
Clifford,M,'klɪ fɛːd,10,1345,2
Sam,M,'sæm,1,1325,1
Milton,M,'mɪl tən,10,1319,2
Clyde,M,'klaɪd,1,1314,1
Marian,F,'mɛ riː ən,100,1313,3
Leroy,M,'liː `rɔɪ,11,1306,2
Rosa,F,'roʊ zʌ,10,1305,2
Mamie,F,'meɪ miː,10,1273,2
Benjamin,M,'bɛn ʤə mən,100,1272,3
Theresa,F,tɛː 'iː sə,010,1268,3
Ada,F,'eɪ də,10,1268,2
Cora,F,'kɔː rə,10,1253,2
Lewis,M,'luː ɪs,10,1247,2
Wilma,F,'wɪl mə,10,1241,2
