name,gender,IPA,IPA_stress,counts,n_syllables
Jacob,M,'ʤeɪ kəb,10,24273,2
Michael,M,'maɪ kəl,10,21987,2
Ethan,M,'iː θʌn,10,21027,2
Joshua,M,'ʤɑ ʃuː ə,100,20649,3
Daniel,M,'dæ njəl,10,20250,2
Christopher,M,'krɪ stə fɛː,100,20012,3
Anthony,M,'æn θə niː,100,19627,3
Emily,F,'ɛ mɪ liː,100,19355,3
Isabella,F,`ɪ zʌ 'bɛ lə,1010,19137,4
William,M,'wɪl jəm,10,18881,2
Matthew,M,'mæ θjuː,10,18734,2
Andrew,M,'æn druː,10,18446,2
Emma,F,'ɛ mə,10,18372,2
Alexander,M,`æ ləg 'zæn dɛː,1010,18133,4
Ava,F,'eɪ və,10,18047,2
Madison,F,'mæ də sən,100,17958,3
David,M,'deɪ vɪd,10,17537,2
Joseph,M,'ʤoʊ səf,10,17333,2
Sophia,F,soʊ 'fiː ə,010,17021,3
Noah,M,'noʊ ə,10,16590,2
Olivia,F,oʊ 'lɪ viː ə,0100,16580,4
James,M,'ʤeɪmz,1,15957,1
Ryan,M,'raɪ ən,10,15709,2
Abigail,F,'æ bə `geɪl,101,15468,3
Logan,M,'loʊ gən,10,15324,2
John,M,'ʤɑn,1,14430,1
Nicholas,M,'nɪ kə ləs,100,14354,3
Tyler,M,'taɪ lɛː,10,14086,2
Christian,M,'krɪs ʧən,10,14052,2
Jonathan,M,'ʤɑ nʌ θʌn,100,13792,3
Nathan,M,'neɪ θʌn,10,13589,2
Samuel,M,'sæ mjuːl,10,13352,2
Hannah,F,'hæ nʌ,10,13304,2
Benjamin,M,'bɛn ʤə mən,100,13275,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,13050,4
Gabriel,M,'geɪ briː əl,100,12900,3
Dylan,M,'dɪ lən,10,12809,2
Elijah,M,ɛ 'laɪ ʤə,010,12405,3
Brandon,M,'bræn dən,10,12135,2
Addison,F,'æ də sən,100,11946,3
Samantha,F,sə 'mæn θə,010,11877,3
Gavin,M,'gæ vɪn,10,11859,2
Jackson,M,'ʤæk sən,10,11660,2
Ashley,F,'æ ʃliː,10,11425,2
Angel,M,'eɪn ʤəl,10,11368,2
Alyssa,F,ə 'lɪ sə,010,11263,3
Jose,M,`hoʊ 'zeɪ,11,11249,2
Caleb,M,'keɪ ləb,10,10943,2
Mia,F,'miː ə,10,10915,2
Mason,M,'meɪ sən,10,10766,2
Chloe,F,'kloʊ iː,10,10747,2
Jack,M,'ʤæk,1,10670,1
Kevin,M,'kɛ vɪn,10,10531,2
Natalie,F,'næ tʌ liː,100,10437,3
Evan,M,'ɛ vən,10,10289,2
Isaac,M,'aɪ zək,10,10258,2
Zachary,M,'zæ kɛː iː,100,10212,3
Isaiah,M,`aɪ 'zeɪ ə,110,10109,3
Jordan,M,'ʤɔːr dən,10,10046,2
Justin,M,'ʤə stən,10,10045,2
Sarah,F,'sɛ rə,10,9989,2
Alexis,F,ə 'lɛk sɪs,010,9909,3
Grace,F,'greɪs,1,9762,1
Luke,M,'luːk,1,9603,1
Ella,F,'ɛ lə,10,9544,2
Robert,M,'rɑ bɛːt,10,9376,2
Austin,M,'ɔː stən,10,9189,2
Landon,M,'læn dən,10,9096,2
Cameron,M,'kæ mɛː ən,100,8978,3
Aaron,M,'ɛ rən,10,8935,2
Thomas,M,'tɑ məs,10,8927,2
Brianna,F,briː 'æ nʌ,010,8850,3
Lucas,M,'luː kəs,10,8753,2
Hailey,F,'heɪ liː,10,8433,2
Aidan,M,ɑ 'iː dɑn,010,8420,3
Connor,M,'kɑ nɛː,10,8322,2
Owen,M,'oʊ ən,10,8246,2
Diego,M,diː 'eɪ goʊ,010,8215,3
Hunter,M,'hən tɛː,10,8204,2
Jason,M,'ʤeɪ sən,10,8118,2
Luis,M,luː 'iːs,01,8049,2
Taylor,F,'teɪ lɛː,10,7960,2
Anna,F,'æ nʌ,10,7888,2
Adrian,M,'eɪ driː ən,100,7733,3
Kayla,F,'keɪ lə,10,7575,2
Lily,F,'lɪ liː,10,7496,2
Charles,M,'ʧɑrlz,1,7450,1
Lauren,F,'lɔː rən,10,7435,2
Victoria,F,vɪk 'tɔː riː ə,0100,7431,4
Juan,M,'wɑn,1,7417,1
Savannah,F,sə 'væ nʌ,010,7046,3
Adam,M,'æ dəm,10,6786,2
Julian,M,'ʤuː liː ən,100,6776,3
Jasmine,F,'ʤæz mən,10,6765,2
Jeremiah,M,`ʤɛ rə 'maɪ ə,1010,6619,4
Xavier,M,'zeɪ vjɛː,10,6556,2
Lillian,F,'lɪ liː ən,100,6547,3
Wyatt,M,'waɪ ət,10,6521,2
Carlos,M,'kɑr loʊs,10,6412,2
Hayden,M,'heɪ dən,10,6271,2
Alex,M,'æ ləks,10,6271,2
Sebastian,M,sə 'bæs ʧən,010,6270,3
Ian,M,'iː ən,10,6249,2
Sean,M,'ʃɔːn,1,6238,1
Jesus,M,'ʤiː zəs,10,6218,2
Bryan,M,'braɪ ən,10,6178,2
Chase,M,'ʧeɪs,1,6152,1
Julia,F,'ʤuːl jʌ,10,6130,2
Carter,M,'kɑr tɛː,10,6100,2
Brian,M,'braɪ ən,10,6074,2
Nathaniel,M,nʌ 'θæ njəl,010,6059,3
Sofia,F,soʊ 'fiː ə,010,6045,3
Sydney,F,'sɪd niː,10,6029,2
Eric,M,'ɛ rɪk,10,5954,2
Gabriella,F,gɑ briː 'ɛ lə,0010,5837,4
Katherine,F,'kæ θɛː ɪn,100,5816,3
Alexa,F,ə 'lɛk sə,010,5784,3
Destiny,F,'dɛ stə niː,100,5732,3
Jessica,F,'ʤɛ sɪ kə,100,5708,3
Cole,M,'koʊl,1,5702,1
Morgan,F,'mɔːr gən,10,5662,2
Brooke,F,'brʊk,1,5507,1
Allison,F,'æ lə sən,100,5453,3
Dominic,M,'dɑ mə nɪk,100,5414,3
Avery,F,'eɪ vɛː iː,100,5382,3
Kyle,M,'kaɪl,1,5354,1
Alexandra,F,`æ lɛg 'zæn drə,1010,5351,4
Tristan,M,'trɪ `stæn,11,5334,2
Jocelyn,F,'ʤɔː `slɪn,11,5291,2
Blake,M,'bleɪk,1,5270,1
Audrey,F,'ɔː driː,10,5249,2
Riley,F,'raɪ liː,10,5208,2
Liam,M,'liː əm,10,5138,2
Maria,F,mɛː 'iː ə,010,5122,3
Carson,M,'kɑr sən,10,5119,2
Henry,M,'hɛn riː,10,5112,2
Kimberly,F,'kɪm bɛː liː,100,5101,3
Evelyn,F,'ɛ və lən,100,5052,3
Brady,M,'breɪ diː,10,4951,2
Zoe,F,'zoʊ iː,10,4934,2
Miguel,M,mɪ 'gɛl,01,4902,2
Brooklyn,F,'brʊ klən,10,4884,2
Angelina,F,æn ʤɛ 'liː nʌ,0010,4856,4
Rachel,F,'reɪ ʧəl,10,4825,2
Andrea,F,'æn driː ə,100,4798,3
Madeline,F,'mæ də lɪn,100,4703,3
Maya,F,'maɪ ə,10,4699,2
Jennifer,F,'ʤɛ nʌ fɛː,100,4648,3
Antonio,M,æn 'toʊ niː oʊ,0100,4636,4
Mackenzie,F,mə 'kɛn ziː,010,4623,3
Cooper,M,'kuː pɛː,10,4619,2
Claire,F,'klɛr,1,4612,1
Steven,M,'stiː vən,10,4548,2
Leah,F,'liː ə,10,4547,2
Gabrielle,F,'gæ briː ɛl,100,4542,3
Kaden,M,'keɪ dən,10,4520,2
Aubrey,F,'ɔː briː,10,4505,2
Arianna,F,ɑ riː 'æ nʌ,0010,4480,4
Vanessa,F,və 'nɛ sə,010,4443,3
Timothy,M,'tɪ mə θiː,100,4434,3
