name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,67733,2
Jennifer,F,'ʤɛ nʌ fɛː,100,56718,3
Christopher,M,'krɪ stə fɛː,100,50678,3
Jason,M,'ʤeɪ sən,10,50406,2
David,M,'deɪ vɪd,10,42077,2
James,M,'ʤeɪmz,1,39370,1
Matthew,M,'mæ θjuː,10,35659,2
John,M,'ʤɑn,1,35438,1
Melissa,F,mə 'lɪ sə,010,34052,3
Robert,M,'rɑ bɛːt,10,34023,2
Amanda,F,ə 'mæn də,010,31927,3
Joshua,M,'ʤɑ ʃuː ə,100,31134,3
Brian,M,'braɪ ən,10,28671,2
Joseph,M,'ʤoʊ səf,10,28667,2
Daniel,M,'dæ njəl,10,28528,2
Jessica,F,'ʤɛ sɪ kə,100,27776,3
William,M,'wɪl jəm,10,24701,2
Ryan,M,'raɪ ən,10,23220,2
Amy,F,'eɪ miː,10,21614,2
Nicholas,M,'nɪ kə ləs,100,21344,3
Sarah,F,'sɛ rə,10,21018,2
Jeremy,M,'ʤɛ rə miː,100,21010,3
Heather,F,'hɛ ðɛː,10,20839,2
Eric,M,'ɛ rɪk,10,20273,2
Angela,F,'æn ʤə lə,100,20257,3
Nicole,F,nɪ 'koʊl,01,19511,2
Michelle,F,mɪ 'ʃɛl,01,19266,2
Timothy,M,'tɪ mə θiː,100,19082,3
Kevin,M,'kɛ vɪn,10,18741,2
Andrew,M,'æn druː,10,18635,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,18077,4
Kimberly,F,'kɪm bɛː liː,100,17639,3
Anthony,M,'æn θə niː,100,17531,3
Justin,M,'ʤə stən,10,17403,2
Lisa,F,'liː sə,10,17287,2
Adam,M,'æ dəm,10,17063,2
Jeffrey,M,'ʤɛ friː,10,16873,2
Richard,M,'rɪ ʧɛːd,10,16720,2
Thomas,M,'tɑ məs,10,16472,2
Christina,F,krɪ 'stiː nʌ,010,16456,3
Steven,M,'stiː vən,10,16331,2
Stephanie,F,'stɛ fə niː,100,16203,3
Kelly,F,'kɛ liː,10,15298,2
Charles,M,'ʧɑrlz,1,14825,1
Rebecca,F,rə 'bɛ kə,010,14547,3
Scott,M,'skɑt,1,14462,1
Mark,M,'mɑrk,1,14394,1
Jonathan,M,'ʤɑ nʌ θʌn,100,14331,3
Crystal,F,'krɪ stəl,10,13467,2
Aaron,M,'ɛ rən,10,13077,2
Benjamin,M,'bɛn ʤə mən,100,12520,3
Jamie,F,'ʤeɪ miː,10,12156,2
Laura,F,'lɔː rə,10,11886,2
Paul,M,'pɔːl,1,11646,1
Brandon,M,'bræn dən,10,11310,2
Erin,F,'ɛ rɪn,10,11257,2
Amber,F,'æm bɛː,10,11081,2
Travis,M,'træ vɪs,10,11054,2
April,F,'eɪ prəl,10,10904,2
Nathan,M,'neɪ θʌn,10,10741,2
Mary,F,'mɛ riː,10,10559,2
Shannon,F,'ʃæ nən,10,10367,2
Andrea,F,'æn driː ə,100,10337,3
Rachel,F,'reɪ ʧəl,10,10235,2
Chad,M,'ʧæd,1,10159,1
Patrick,M,'pæ trɪk,10,9988,2
Stephen,M,'stiː vən,10,9904,2
Tiffany,F,'tɪ fə niː,100,9611,3
Julie,F,'ʤuː liː,10,9252,2
Kenneth,M,'kɛ nɪθ,10,9245,2
Gregory,M,'grɛ gɛː iː,100,9115,3
Sara,F,'sɛ rə,10,8654,2
Megan,F,'meɪ gən,10,8291,2
Erica,F,'ɛ rɪ kə,100,8177,3
Danielle,F,`dæ niː 'ɛl,101,7980,3
Emily,F,'ɛ mɪ liː,100,7973,3
Shawn,M,'ʃɔːn,1,7911,1
Jose,M,`hoʊ 'zeɪ,11,7844,2
Christine,F,krɪ 'stiːn,01,7689,2
Jacob,M,'ʤeɪ kəb,10,7546,2
Katherine,F,'kæ θɛː ɪn,100,7468,3
Bryan,M,'braɪ ən,10,7450,2
Maria,F,mɛː 'iː ə,010,7328,3
Bradley,M,'bræd liː,10,6931,2
Edward,M,'ɛ dwɛːd,10,6877,2
Sean,M,'ʃɔːn,1,6863,1
Tara,F,'tɛ rə,10,6807,2
Brandy,F,'bræn diː,10,6774,2
Jesse,M,'ʤɛ siː,10,6685,2
Monica,F,'mɑ nɪ kə,100,6586,3
Donald,M,'dɑ nəld,10,6513,2
Carrie,F,'kɛ riː,10,6356,2
Keith,M,'kiːθ,1,6193,1
Peter,M,'piː tɛː,10,6078,2
Misty,F,'mɪ stiː,10,5786,2
Stacy,F,'steɪ siː,10,5709,2
Ronald,M,'rɑ nəld,10,5702,2
Samuel,M,'sæ mjuːl,10,5684,2
Patricia,F,pə 'trɪ ʃə,010,5650,3
Lauren,F,'lɔː rən,10,5627,2
Karen,F,'kɛ rən,10,5601,2
Alicia,F,ə 'lɪ ʃə,010,5547,3
Holly,F,'hɑ liː,10,5489,2
Kyle,M,'kaɪl,1,5449,1
Tracy,F,'treɪ siː,10,5389,2
Kathryn,F,'kæ θrɪn,10,5312,2
George,M,'ʤɔːrʤ,1,5261,1
Susan,F,'suː zən,10,5199,2
Jill,F,'ʤɪl,1,5193,1
