name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,85255,2
David,M,'deɪ vɪd,10,83926,2
James,M,'ʤeɪmz,1,78601,1
John,M,'ʤɑn,1,76419,1
Robert,M,'rɑ bɛːt,10,74494,2
Mark,M,'mɑrk,1,56917,1
Mary,F,'mɛ riː,10,54477,2
William,M,'wɪl jəm,10,51364,2
Richard,M,'rɪ ʧɛːd,10,47173,2
Susan,F,'suː zən,10,41598,2
Linda,F,'lɪn də,10,40410,2
Thomas,M,'tɑ məs,10,40269,2
Karen,F,'kɛ rən,10,36773,2
Donna,F,'dɑ nʌ,10,36467,2
Patricia,F,pə 'trɪ ʃə,010,35219,3
Steven,M,'stiː vən,10,33575,2
Debra,F,'dɛ brə,10,31372,2
Charles,M,'ʧɑrlz,1,30762,1
Timothy,M,'tɪ mə θiː,100,30752,3
Cynthia,F,'sɪn θiː ə,100,30169,3
Deborah,F,'dɛ bɛː ə,100,29552,3
Joseph,M,'ʤoʊ səf,10,29523,2
Kevin,M,'kɛ vɪn,10,26756,2
Kenneth,M,'kɛ nɪθ,10,26626,2
Jeffrey,M,'ʤɛ friː,10,26265,2
Paul,M,'pɔːl,1,25694,1
Lisa,F,'liː sə,10,25689,2
Barbara,F,'bɑr bɛː ə,100,25356,3
Daniel,M,'dæ njəl,10,25134,2
Pamela,F,'pæ mə lə,100,24711,3
Donald,M,'dɑ nəld,10,23867,2
Sandra,F,'sæn drə,10,23355,2
Gary,M,'gɛ riː,10,23295,2
Ronald,M,'rɑ nəld,10,23108,2
Nancy,F,'næn siː,10,23079,2
Kathy,F,'kæ θiː,10,21816,2
Brenda,F,'brɛn də,10,21418,2
Sharon,F,'ʃæ rən,10,21290,2
Cheryl,F,'ʃɛ rəl,10,20943,2
Brian,M,'braɪ ən,10,20737,2
Diane,F,daɪ 'æn,01,19974,2
Gregory,M,'grɛ gɛː iː,100,19873,3
Scott,M,'skɑt,1,19753,1
Debbie,F,'dɛ biː,10,19537,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,18432,4
Larry,M,'lɛ riː,10,18417,2
Carol,F,'kæ rəl,10,18129,2
Anthony,M,'æn θə niː,100,17953,3
Kathleen,F,kæθ 'liːn,01,17627,2
Teresa,F,tɛː 'iː sə,010,17390,3
Cindy,F,'sɪn diː,10,16966,2
Edward,M,'ɛ dwɛːd,10,16902,2
Stephen,M,'stiː vən,10,16494,2
Julie,F,'ʤuː liː,10,16220,2
Dennis,M,'dɛ nɪs,10,16037,2
Douglas,M,'də gləs,10,15281,2
Randy,M,'ræn diː,10,15025,2
Lori,F,'lɔː riː,10,15024,2
George,M,'ʤɔːrʤ,1,15001,1
Janet,F,'ʤæ nət,10,14960,2
Denise,F,dɪ 'niːs,01,14661,2
Terry,M,'tɛ riː,10,14547,2
Laura,F,'lɔː rə,10,14530,2
Tammy,F,'tæ miː,10,13707,2
Ricky,M,'rɪ kiː,10,13206,2
Christopher,M,'krɪ stə fɛː,100,12903,3
Robin,F,'rɑ bən,10,12858,2
Kimberly,F,'kɪm bɛː liː,100,12781,3
Jerry,M,'ʤɛ riː,10,12317,2
Mike,M,'maɪk,1,11996,1
Bruce,M,'bruːs,1,11907,1
Keith,M,'kiːθ,1,11743,1
Theresa,F,tɛː 'iː sə,010,11643,3
Kim,F,'kɪm,1,11593,1
Margaret,F,'mɑr gɛː ɪt,100,11573,3
Peter,M,'piː tɛː,10,11286,2
Steve,M,'stiːv,1,11067,1
Frank,M,'fræŋk,1,10935,1
Patrick,M,'pæ trɪk,10,10551,2
Janice,F,'ʤæ nəs,10,10488,2
Rebecca,F,rə 'bɛ kə,010,10475,3
Cathy,F,'kæ θiː,10,10414,2
Catherine,F,'kæ θɛː ən,100,10023,3
Craig,M,'kreɪg,1,9920,1
Judy,F,'ʤuː diː,10,9883,2
Raymond,M,'reɪ mənd,10,9794,2
Carolyn,F,'kɛ rə lɪn,100,9735,3
Eric,M,'ɛ rɪk,10,9724,2
Christine,F,krɪ 'stiːn,01,9470,2
Ann,F,'æn,1,8919,1
Rhonda,F,'rɑn də,10,8853,2
Roger,M,'rɑ ʤɛː,10,8790,2
Terri,F,'tɛ riː,10,8784,2
Michelle,F,mɪ 'ʃɛl,01,8776,2
Danny,M,'dæ niː,10,8727,2
Connie,F,'kɔː niː,10,8660,2
Diana,F,daɪ 'æ nʌ,010,8639,3
Joyce,F,'ʤɔɪs,1,8514,1
Dale,M,'deɪl,1,8344,1
Alan,M,'æ lən,10,8148,2
Paula,F,'pɔː lə,10,8053,2
Sheila,F,'ʃiː lə,10,7987,2
Tina,F,'tiː nʌ,10,7918,2
Dawn,F,'dɔːn,1,7898,1
Wayne,M,'weɪn,1,7885,1
Beverly,F,'bɛ vɛː liː,100,7791,3
Jeff,M,'ʤɛf,1,7726,1
Tony,M,'toʊ niː,10,7562,2
Laurie,F,'lɔː riː,10,7533,2
Carl,M,'kɑrl,1,7501,1
Russell,M,'rə səl,10,7478,2
Jeffery,M,'ʤɛ fɛː iː,100,7474,3
Peggy,F,'pɛ giː,10,7409,2
Joe,M,'ʤoʊ,1,7389,1
Sherry,F,'ʃɛ riː,10,7344,2
Betty,F,'bɛ tiː,10,7318,2
Valerie,F,'væ lɛː iː,100,7307,3
Shirley,F,'ʃɛː liː,10,7284,2
Maria,F,mɛː 'iː ə,010,7242,3
Andrew,M,'æn druː,10,7092,2
Randall,M,'ræn dəl,10,7062,2
Lynn,F,'lɪn,1,7060,1
Annette,F,ə 'nɛt,01,6921,2
Wanda,F,'wɑn də,10,6905,2
Jane,F,'ʤeɪn,1,6872,1
Darlene,F,'dɑr `liːn,11,6871,2
Tim,M,'tɪm,1,6831,1
Angela,F,'æn ʤə lə,100,6772,3
Kathryn,F,'kæ θrɪn,10,6743,2
Gerald,M,'ʤɛ rəld,10,6634,2
Lawrence,M,'lɔː rəns,10,6605,2
Judith,F,'ʤuː dəθ,10,6567,2
Matthew,M,'mæ θjuː,10,6558,2
Bonnie,F,'bɑ niː,10,6457,2
Martha,F,'mɑr θə,10,6440,2
Vicki,F,'vɪ kiː,10,6429,2
Kelly,F,'kɛ liː,10,6380,2
Gail,F,'geɪl,1,6353,1
Joan,F,'ʤoʊn,1,6338,1
Billy,M,'bɪ liː,10,6304,2
Johnny,M,'ʤɑ niː,10,6300,2
Jean,F,'ʤiːn,1,6234,1
Jennifer,F,'ʤɛ nʌ fɛː,100,6234,3
Katherine,F,'kæ θɛː ɪn,100,6138,3
Walter,M,'wɔːl tɛː,10,6118,2
Beth,F,'bɛθ,1,6066,1
Gloria,F,'glɔː riː ə,100,5924,3
Rodney,M,'rɑd niː,10,5915,2
Philip,M,'fɪ ləp,10,5849,2
Jimmy,M,'ʤɪ miː,10,5834,2
Anne,F,'æn,1,5741,1
Wendy,F,'wɛn diː,10,5711,2
Jim,M,'ʤɪm,1,5687,1
Bobby,M,'bɑ biː,10,5674,2
Chris,M,'krɪs,1,5670,1
Leslie,F,'lɛ sliː,10,5651,2
Barry,M,'bæ riː,10,5601,2
Phillip,M,'fɪ lɪp,10,5587,2
Amy,F,'eɪ miː,10,5583,2
Jill,F,'ʤɪl,1,5554,1
Curtis,M,'kɛː təs,10,5525,2
Anita,F,ə 'niː tʌ,010,5477,3
Ronnie,M,'rɑ niː,10,5472,2
Arthur,M,'ɑr θɛː,10,5467,2
Michele,F,mɪ 'ʃɛl,01,5445,2
Rose,F,'roʊz,1,5443,1
Vickie,F,'vɪ kiː,10,5423,2
Ellen,F,'ɛ lən,10,5390,2
Willie,M,'wɪ liː,10,5374,2
Glenn,M,'glɛn,1,5350,1
Martin,M,'mɑr tən,10,5348,2
Joanne,F,`ʤoʊ 'æn,11,5341,2
Virginia,F,vɛː 'ʤɪ njə,010,5255,3
Dorothy,F,'dɔː rə θiː,100,5237,3
Terry,F,'tɛ riː,10,5214,2
Roy,M,'rɔɪ,1,5175,1
Suzanne,F,suː 'zæn,01,5162,2
Tom,M,'tɑm,1,5063,1
Henry,M,'hɛn riː,10,5058,2
Ruth,F,'ruːθ,1,5052,1
Ralph,M,'rælf,1,5040,1
Jack,M,'ʤæk,1,5016,1
Samuel,M,'sæ mjuːl,10,4959,2
Rita,F,'riː tʌ,10,4950,2
Harold,M,'hɛ rəld,10,4940,2
Jay,M,'ʤeɪ,1,4938,1
Rick,M,'rɪk,1,4935,1
Anna,F,'æ nʌ,10,4875,2
Renee,F,rə 'neɪ,01,4843,2
Stephanie,F,'stɛ fə niː,100,4826,3
Becky,F,'bɛ kiː,10,4754,2
Phyllis,F,'fɪ lɪs,10,4686,2
Marie,F,mɛː 'iː,01,4679,2
Greg,M,'grɛg,1,4643,1
Darrell,M,'dɛ rəl,10,4641,2
Bill,M,'bɪl,1,4602,1
Albert,M,'æl bɛːt,10,4600,2
Bryan,M,'braɪ ən,10,4491,2
Elaine,F,ɪ 'leɪn,01,4453,2
Maureen,F,mɔː 'riːn,01,4448,2
Dean,M,'diːn,1,4428,1
Sue,F,'suː,1,4387,1
Helen,F,'hɛ lən,10,4376,2
Micheal,M,'maɪ kəl,10,4373,2
Allen,M,'æ lən,10,4362,2
Marilyn,F,'mɛ rə lən,100,4348,3
Colleen,F,`kɑ 'liːn,11,4336,2
Stanley,M,'stæn liː,10,4334,2
Todd,M,'tɑd,1,4333,1
Jacqueline,F,'ʤæ kwə lɪn,100,4324,3
Louis,M,'luː ɪs,10,4305,2
Eddie,M,'ɛ diː,10,4233,2
Vincent,M,'vɪn sənt,10,4212,2
Alice,F,'æ ləs,10,4153,2
Victoria,F,vɪk 'tɔː riː ə,0100,4150,4
Sally,F,'sæ liː,10,4065,2
Jo,F,'ʤoʊ,1,4056,1
Bradley,M,'bræd liː,10,4048,2
Howard,M,'haʊ ɛːd,10,3989,2
Jon,M,'ʤɑn,1,3972,1
Regina,F,rɪ 'ʤiː nʌ,010,3938,3
Julia,F,'ʤuːl jʌ,10,3936,2
Carla,F,'kɑr lə,10,3935,2
Eugene,M,juː 'ʤiːn,01,3888,2
Sarah,F,'sɛ rə,10,3874,2
Sylvia,F,'sɪl viː ə,100,3850,3
Victor,M,'vɪk tɛː,10,3813,2
Tamara,F,tʌ 'mɑ rə,010,3797,3
Tommy,M,'tɑ miː,10,3767,2
Penny,F,'pɛ niː,10,3754,2
Andrea,F,'æn driː ə,100,3751,3
Leonard,M,'lɛ nɛːd,10,3737,2
Frances,F,'fræn sɪs,10,3713,2
Pam,F,'pæm,1,3678,1
Dan,M,'dæn,1,3677,1
Melissa,F,mə 'lɪ sə,010,3628,3
Eileen,F,aɪ 'liːn,01,3626,2
Don,M,'dɑn,1,3620,1
Jose,M,`hoʊ 'zeɪ,11,3579,2
Fred,M,'frɛd,1,3576,1
Frederick,M,'frɛ drɪk,10,3552,2
Sheryl,F,'ʃɛ rəl,10,3541,2
Jeanne,F,'ʤiːn,1,3516,1
Lee,M,'liː,1,3502,1
Joel,M,'ʤoʊ əl,10,3461,2
Joann,F,`ʤoʊ 'æn,11,3458,2
Rickey,M,'rɪ kiː,10,3451,2
Tracy,F,'treɪ siː,10,3366,2
Ernest,M,'ɛː nəst,10,3333,2
Dave,M,'deɪv,1,3316,1
Yvonne,F,ɪ 'vɑn,01,3291,2
Harry,M,'hɛ riː,10,3280,2
Sandy,F,'sæn diː,10,3277,2
Evelyn,F,'ɛ və lən,100,3263,3
Gina,F,'ʤiː nʌ,10,3226,2
Ray,M,'reɪ,1,3222,1
Melvin,M,'mɛl vɪn,10,3172,2
Marvin,M,'mɑr vɪn,10,3165,2
Loretta,F,lɛː 'ɛ tʌ,010,3157,3
Lorraine,F,lɛː 'eɪn,01,3140,2
Doris,F,'dɔː rəs,10,3137,2
Patty,F,'pæ tiː,10,3117,2
Vanessa,F,və 'nɛ sə,010,3117,3
Marcia,F,'mɑr ʃə,10,3089,2
Jonathan,M,'ʤɑ nʌ θʌn,100,3082,3
Roberta,F,rə 'bɛː tʌ,010,3082,3
Calvin,M,'kæl vən,10,3035,2
Dana,F,'deɪ nʌ,10,2970,2
Charlotte,F,'ʃɑr lət,10,2968,2
Mitchell,M,'mɪ ʧəl,10,2968,2
Carrie,F,'kɛ riː,10,2967,2
Duane,M,'dweɪn,1,2962,1
Joy,F,'ʤɔɪ,1,2882,1
Sherri,F,'ʃɛ riː,10,2871,2
Glenda,F,'glɛn də,10,2839,2
Melanie,F,'mɛ lə niː,100,2827,3
Bob,M,'bɑb,1,2824,1
Belinda,F,bə 'lɪn də,010,2819,3
Kurt,M,'kɛːt,1,2814,1
Melinda,F,mə 'lɪn də,010,2810,3
Norman,M,'nɔːr mən,10,2776,2
Darryl,M,'dɛ rəl,10,2775,2
Patti,F,'pæ tiː,10,2760,2
Perry,M,'pɛ riː,10,2750,2
Charlene,F,ʃɑr 'liːn,01,2742,2
Jackie,F,'ʤæ kiː,10,2738,2
