name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,68765,2
Jennifer,F,'ʤɛ nʌ fɛː,100,57049,3
Christopher,M,'krɪ stə fɛː,100,50233,3
Matthew,M,'mæ θjuː,10,43330,2
Jessica,F,'ʤɛ sɪ kə,100,42532,3
Jason,M,'ʤeɪ sən,10,41932,2
David,M,'deɪ vɪd,10,40659,2
Joshua,M,'ʤɑ ʃuː ə,100,39053,3
James,M,'ʤeɪmz,1,38307,1
John,M,'ʤɑn,1,34882,1
Robert,M,'rɑ bɛːt,10,34402,2
Amanda,F,ə 'mæn də,010,34374,3
Daniel,M,'dæ njəl,10,30994,2
Joseph,M,'ʤoʊ səf,10,30772,2
Sarah,F,'sɛ rə,10,28173,2
Melissa,F,mə 'lɪ sə,010,28000,3
Justin,M,'ʤə stən,10,27311,2
Ryan,M,'raɪ ən,10,26823,2
Brian,M,'braɪ ən,10,26599,2
William,M,'wɪl jəm,10,24804,2
Jonathan,M,'ʤɑ nʌ θʌn,100,22600,3
Eric,M,'ɛ rɪk,10,20723,2
Amy,F,'eɪ miː,10,20343,2
Nicole,F,nɪ 'koʊl,01,20313,2
Andrew,M,'æn druː,10,20232,2
Brandon,M,'bræn dən,10,20217,2
Stephanie,F,'stɛ fə niː,100,20210,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,20171,4
Adam,M,'æ dəm,10,20039,2
Nicholas,M,'nɪ kə ləs,100,19778,3
Jeremy,M,'ʤɛ rə miː,100,19114,3
Anthony,M,'æn θə niː,100,18574,3
Timothy,M,'tɪ mə θiː,100,18226,3
Heather,F,'hɛ ðɛː,10,17946,2
Michelle,F,mɪ 'ʃɛl,01,17774,2
Kevin,M,'kɛ vɪn,10,17462,2
Thomas,M,'tɑ məs,10,17165,2
Richard,M,'rɪ ʧɛːd,10,16857,2
Rebecca,F,rə 'bɛ kə,010,16740,3
Kimberly,F,'kɪm bɛː liː,100,16689,3
Steven,M,'stiː vən,10,16487,2
Tiffany,F,'tɪ fə niː,100,16414,3
Jeffrey,M,'ʤɛ friː,10,15932,2
Angela,F,'æn ʤə lə,100,15921,3
Crystal,F,'krɪ stəl,10,15882,2
Aaron,M,'ɛ rən,10,14691,2
Charles,M,'ʧɑrlz,1,14429,1
Christina,F,krɪ 'stiː nʌ,010,14395,3
Benjamin,M,'bɛn ʤə mən,100,14354,3
Lisa,F,'liː sə,10,14294,2
Erin,F,'ɛ rɪn,10,13856,2
Amber,F,'æm bɛː,10,13814,2
Mark,M,'mɑrk,1,13544,1
Laura,F,'lɔː rə,10,13292,2
Scott,M,'skɑt,1,12723,1
Rachel,F,'reɪ ʧəl,10,12586,2
Kelly,F,'kɛ liː,10,11876,2
Paul,M,'pɔːl,1,11779,1
Andrea,F,'æn driː ə,100,11682,3
April,F,'eɪ prəl,10,11404,2
Sara,F,'sɛ rə,10,11356,2
Nathan,M,'neɪ θʌn,10,11261,2
Mary,F,'mɛ riː,10,11043,2
Jamie,F,'ʤeɪ miː,10,10979,2
Emily,F,'ɛ mɪ liː,100,10801,3
Jesse,M,'ʤɛ siː,10,10451,2
Patrick,M,'pæ trɪk,10,10390,2
Stephen,M,'stiː vən,10,10295,2
Travis,M,'træ vɪs,10,10108,2
Danielle,F,`dæ niː 'ɛl,101,10035,3
Kristin,F,'krɪ stɪn,10,9737,2
Kenneth,M,'kɛ nɪθ,10,9477,2
Dustin,M,'də stɪn,10,9355,2
