name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,59872,2
Robert,M,'rɑ bɛːt,10,59262,2
James,M,'ʤeɪmz,1,51920,1
John,M,'ʤɑn,1,48611,1
William,M,'wɪl jəm,10,42114,2
Betty,F,'bɛ tiː,10,34415,2
Richard,M,'rɪ ʧɛːd,10,31799,2
Charles,M,'ʧɑrlz,1,31097,1
Donald,M,'dɑ nəld,10,29778,2
Barbara,F,'bɑr bɛː ə,100,26315,3
Dorothy,F,'dɔː rə θiː,100,24973,3
Joan,F,'ʤoʊn,1,21045,1
George,M,'ʤɔːrʤ,1,20436,1
Joseph,M,'ʤoʊ səf,10,18560,2
Patricia,F,pə 'trɪ ʃə,010,17990,3
Thomas,M,'tɑ məs,10,16833,2
Margaret,F,'mɑr gɛː ɪt,100,16548,3
Helen,F,'hɛ lən,10,16374,2
Edward,M,'ɛ dwɛːd,10,15187,2
Shirley,F,'ʃɛː liː,10,14473,2
Doris,F,'dɔː rəs,10,12911,2
Ruth,F,'ruːθ,1,12255,1
David,M,'deɪ vɪd,10,12138,2
Paul,M,'pɔːl,1,12072,1
Kenneth,M,'kɛ nɪθ,10,11742,2
Frank,M,'fræŋk,1,11495,1
Joyce,F,'ʤɔɪs,1,11362,1
Ronald,M,'rɑ nəld,10,11139,2
Nancy,F,'næn siː,10,10945,2
Virginia,F,vɛː 'ʤɪ njə,010,10756,3
Jack,M,'ʤæk,1,10719,1
Jean,F,'ʤiːn,1,10669,1
Marilyn,F,'mɛ rə lən,100,10567,3
Harold,M,'hɛ rəld,10,10425,2
Raymond,M,'reɪ mənd,10,10343,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,9994,4
Dolores,F,də 'lɔː rɪs,010,9631,3
Frances,F,'fræn sɪs,10,9557,2
Lois,F,'loʊ əs,10,9518,2
Billy,M,'bɪ liː,10,9431,2
Walter,M,'wɔːl tɛː,10,8660,2
Alice,F,'æ ləs,10,8534,2
Norma,F,'nɔːr mə,10,8407,2
Eugene,M,juː 'ʤiːn,01,8048,2
Evelyn,F,'ɛ və lən,100,7958,3
Anna,F,'æ nʌ,10,7919,2
Gloria,F,'glɔː riː ə,100,7810,3
Mildred,F,'mɪl drɪd,10,7642,2
Martha,F,'mɑr θə,10,7581,2
Beverly,F,'bɛ vɛː liː,100,7526,3
Henry,M,'hɛn riː,10,7468,2
Donna,F,'dɑ nʌ,10,7360,2
Gerald,M,'ʤɛ rəld,10,7345,2
Phyllis,F,'fɪ lɪs,10,7308,2
Arthur,M,'ɑr θɛː,10,6917,2
Marie,F,mɛː 'iː,01,6909,2
Albert,M,'æl bɛːt,10,6865,2
Ralph,M,'rælf,1,6726,1
Carl,M,'kɑrl,1,6711,1
Joe,M,'ʤoʊ,1,6696,1
Bobby,M,'bɑ biː,10,6596,2
Carol,F,'kæ rəl,10,6568,2
Willie,M,'wɪ liː,10,6549,2
Rose,F,'roʊz,1,6472,1
Ann,F,'æn,1,6197,1
Janet,F,'ʤæ nət,10,5787,2
Harry,M,'hɛ riː,10,5703,2
Louise,F,luː 'iːz,01,5643,2
Marjorie,F,'mɑr ʤɛː iː,100,5607,3
Fred,M,'frɛd,1,5519,1
Ruby,F,'ruː biː,10,5469,2
Catherine,F,'kæ θɛː ən,100,5447,3
Peggy,F,'pɛ giː,10,5445,2
Annie,F,'æ niː,10,5383,2
Geraldine,F,ʤɛ rəl 'diːn,001,5337,3
Jerry,M,'ʤɛ riː,10,5304,2
Lawrence,M,'lɔː rəns,10,5294,2
Howard,M,'haʊ ɛːd,10,5292,2
Norman,M,'nɔːr mən,10,5270,2
Roy,M,'rɔɪ,1,5236,1
Irene,F,aɪ 'riːn,01,5202,2
Louis,M,'luː ɪs,10,5134,2
Clarence,M,'klɛ rəns,10,4893,2
June,F,'ʤuːn,1,4843,1
Eleanor,F,'ɛ lə nɔːr,100,4836,3
Earl,M,'ɛːl,1,4820,1
Carolyn,F,'kɛ rə lɪn,100,4586,3
Florence,F,'flɔː rəns,10,4540,2
Daniel,M,'dæ njəl,10,4447,2
Francis,M,'fræn səs,10,4388,2
Herbert,M,'hɛː bɛːt,10,4368,2
Lillian,F,'lɪ liː ən,100,4352,3
Jane,F,'ʤeɪn,1,4345,1
Edna,F,'ɛd nʌ,10,4279,2
Thelma,F,'θɛl mə,10,4272,2
Wanda,F,'wɑn də,10,4262,2
Rita,F,'riː tʌ,10,4256,2
Anthony,M,'æn θə niː,100,4221,3
Marvin,M,'mɑr vɪn,10,4187,2
Gladys,F,'glæ dɪs,10,4184,2
Ernest,M,'ɛː nəst,10,4164,2
Lorraine,F,lɛː 'eɪn,01,4162,2
Delores,F,də 'lɔː rɪs,010,4151,3
Leonard,M,'lɛ nɛːd,10,4101,2
Josephine,F,'ʤoʊ sə `fiːn,101,4095,3
Juanita,F,wɑ 'niː tʌ,010,4013,3
Pauline,F,pɔː 'liːn,01,3900,2
Alfred,M,'æl frəd,10,3898,2
Theresa,F,tɛː 'iː sə,010,3815,3
Roger,M,'rɑ ʤɛː,10,3786,2
Melvin,M,'mɛl vɪn,10,3776,2
Stanley,M,'stæn liː,10,3759,2
Audrey,F,'ɔː driː,10,3732,2
Joanne,F,`ʤoʊ 'æn,11,3730,2
Leroy,M,'liː `rɔɪ,11,3677,2
Lucille,F,luː 'siːl,01,3651,2
Bonnie,F,'bɑ niː,10,3622,2
Wilma,F,'wɪl mə,10,3611,2
Michael,M,'maɪ kəl,10,3610,2
Ethel,F,'ɛ θəl,10,3607,2
Sarah,F,'sɛ rə,10,3599,2
Elaine,F,ɪ 'leɪn,01,3575,2
Edith,F,'iː dɪθ,10,3570,2
Clara,F,'klæ rə,10,3562,2
Bernice,F,bɛː 'niːs,01,3545,2
Grace,F,'greɪs,1,3535,1
Marion,F,'mɛ riː ən,100,3491,3
Don,M,'dɑn,1,3454,1
Samuel,M,'sæ mjuːl,10,3409,2
Wayne,M,'weɪn,1,3388,1
Charlotte,F,'ʃɑr lət,10,3364,2
Bill,M,'bɪl,1,3360,1
Hazel,F,'heɪ zəl,10,3340,2
Emma,F,'ɛ mə,10,3331,2
Ray,M,'reɪ,1,3260,1
Patsy,F,'pæt siː,10,3252,2
Bernard,M,bɛː 'nɑrd,01,3252,2
Marlene,F,'mɑr `liːn,11,3219,2
Dale,M,'deɪl,1,3138,1
Peter,M,'piː tɛː,10,3130,2
Joann,F,`ʤoʊ 'æn,11,3115,2
