name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,55507,2
Robert,M,'rɑ bɛːt,10,54212,2
James,M,'ʤeɪmz,1,51106,1
John,M,'ʤɑn,1,46220,1
William,M,'wɪl jəm,10,39045,2
Betty,F,'bɛ tiː,10,31524,2
Richard,M,'rɪ ʧɛːd,10,31336,2
Charles,M,'ʧɑrlz,1,28985,1
Donald,M,'dɑ nəld,10,28435,2
Barbara,F,'bɑr bɛː ə,100,26950,3
Dorothy,F,'dɔː rə θiː,100,22047,3
Joan,F,'ʤoʊn,1,19289,1
Patricia,F,pə 'trɪ ʃə,010,18629,3
George,M,'ʤɔːrʤ,1,18354,1
Joseph,M,'ʤoʊ səf,10,17161,2
Thomas,M,'tɑ məs,10,16500,2
Margaret,F,'mɑr gɛː ɪt,100,15239,3
Helen,F,'hɛ lən,10,14643,2
Shirley,F,'ʃɛː liː,10,14315,2
Edward,M,'ɛ dwɛːd,10,13792,2
Ronald,M,'rɑ nəld,10,12061,2
Doris,F,'dɔː rəs,10,12023,2
David,M,'deɪ vɪd,10,12021,2
Nancy,F,'næn siː,10,11871,2
Paul,M,'pɔːl,1,11848,1
Kenneth,M,'kɛ nɪθ,10,11403,2
Joyce,F,'ʤɔɪs,1,11191,1
Ruth,F,'ruːθ,1,11137,1
Frank,M,'fræŋk,1,10960,1
Jean,F,'ʤiːn,1,9966,1
Jack,M,'ʤæk,1,9834,1
Virginia,F,vɛː 'ʤɪ njə,010,9721,3
Harold,M,'hɛ rəld,10,9544,2
Raymond,M,'reɪ mənd,10,9511,2
Marilyn,F,'mɛ rə lən,100,9125,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,9016,4
Billy,M,'bɪ liː,10,8938,2
Frances,F,'fræn sɪs,10,8883,2
Lois,F,'loʊ əs,10,8652,2
Carol,F,'kæ rəl,10,8221,2
Dolores,F,də 'lɔː rɪs,010,8019,3
Walter,M,'wɔːl tɛː,10,7758,2
Alice,F,'æ ləs,10,7696,2
Norma,F,'nɔːr mə,10,7480,2
Gerald,M,'ʤɛ rəld,10,7422,2
Donna,F,'dɑ nʌ,10,7360,2
Eugene,M,juː 'ʤiːn,01,7350,2
Janet,F,'ʤæ nət,10,7342,2
Beverly,F,'bɛ vɛː liː,100,7185,3
Martha,F,'mɑr θə,10,7163,2
Phyllis,F,'fɪ lɪs,10,7110,2
Anna,F,'æ nʌ,10,7073,2
Evelyn,F,'ɛ və lən,100,6946,3
