name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,72175,2
John,M,'ʤɑn,1,57276,1
Robert,M,'rɑ bɛːt,10,53797,2
William,M,'wɪl jəm,10,51117,2
James,M,'ʤeɪmz,1,49803,1
Dorothy,F,'dɔː rə θiː,100,37716,3
Helen,F,'hɛ lən,10,32507,2
Charles,M,'ʧɑrlz,1,28840,1
George,M,'ʤɔːrʤ,1,27349,1
Margaret,F,'mɑr gɛː ɪt,100,26864,3
Joseph,M,'ʤoʊ səf,10,25700,2
Ruth,F,'ruːθ,1,23629,1
Betty,F,'bɛ tiː,10,20894,2
Edward,M,'ɛ dwɛːd,10,20421,2
Virginia,F,vɛː 'ʤɪ njə,010,19144,3
Richard,M,'rɪ ʧɛːd,10,17539,2
Mildred,F,'mɪl drɪd,10,16412,2
Frank,M,'fræŋk,1,16013,1
Thomas,M,'tɑ məs,10,15264,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,15242,4
Frances,F,'fræn sɪs,10,15053,2
Donald,M,'dɑ nəld,10,14915,2
Doris,F,'dɔː rəs,10,13798,2
Harold,M,'hɛ rəld,10,13594,2
Anna,F,'æ nʌ,10,13405,2
Evelyn,F,'ɛ və lən,100,13318,3
Paul,M,'pɔːl,1,12925,1
Walter,M,'wɔːl tɛː,10,12632,2
Raymond,M,'reɪ mənd,10,12130,2
Marie,F,mɛː 'iː,01,11912,2
Alice,F,'æ ləs,10,11277,2
Henry,M,'hɛn riː,10,11208,2
Jack,M,'ʤæk,1,10845,1
Marjorie,F,'mɑr ʤɛː iː,100,10385,3
Irene,F,aɪ 'riːn,01,10172,2
Arthur,M,'ɑr θɛː,10,10115,2
Florence,F,'flɔː rəns,10,10036,2
Albert,M,'æl bɛːt,10,9894,2
Lillian,F,'lɪ liː ən,100,9428,3
Kenneth,M,'kɛ nɪθ,10,9260,2
Jean,F,'ʤiːn,1,9108,1
Harry,M,'hɛ riː,10,9078,2
Martha,F,'mɑr θə,10,9021,2
Louise,F,luː 'iːz,01,8886,2
Rose,F,'roʊz,1,8790,1
Catherine,F,'kæ θɛː ən,100,8538,3
Ralph,M,'rælf,1,8485,1
Gladys,F,'glæ dɪs,10,8042,2
Ruby,F,'ruː biː,10,8003,2
Josephine,F,'ʤoʊ sə `fiːn,101,7865,3
David,M,'deɪ vɪd,10,7865,2
Eleanor,F,'ɛ lə nɔːr,100,7853,3
Eugene,M,juː 'ʤiːn,01,7849,2
Edna,F,'ɛd nʌ,10,7621,2
Annie,F,'æ niː,10,7474,2
Howard,M,'haʊ ɛːd,10,7297,2
Thelma,F,'θɛl mə,10,7253,2
Ethel,F,'ɛ θəl,10,7245,2
Lucille,F,luː 'siːl,01,7151,2
Edith,F,'iː dɪθ,10,7136,2
Louis,M,'luː ɪs,10,7097,2
Lois,F,'loʊ əs,10,6946,2
Willie,M,'wɪ liː,10,6906,2
Clarence,M,'klɛ rəns,10,6861,2
Pauline,F,pɔː 'liːn,01,6811,2
Hazel,F,'heɪ zəl,10,6759,2
Grace,F,'greɪs,1,6743,1
Carl,M,'kɑrl,1,6692,1
Earl,M,'ɛːl,1,6460,1
Roy,M,'rɔɪ,1,6459,1
Shirley,F,'ʃɛː liː,10,6408,2
Barbara,F,'bɑr bɛː ə,100,6273,3
Fred,M,'frɛd,1,6246,1
Francis,M,'fræn səs,10,6148,2
Joe,M,'ʤoʊ,1,6092,1
Bernice,F,bɛː 'niːs,01,5912,2
Lawrence,M,'lɔː rəns,10,5784,2
Marion,F,'mɛ riː ən,100,5667,3
Ernest,M,'ɛː nəst,10,5502,2
Beatrice,F,'biː ə trəs,100,5476,3
Esther,F,'ɛ stɛː,10,5474,2
Leonard,M,'lɛ nɛːd,10,5407,2
June,F,'ʤuːn,1,5382,1
Norma,F,'nɔːr mə,10,5237,2
Clara,F,'klæ rə,10,5125,2
Anthony,M,'æn θə niː,100,5092,3
Gertrude,F,'gɛː truːd,10,5082,2
Ann,F,'æn,1,5055,1
Herbert,M,'hɛː bɛːt,10,5046,2
Stanley,M,'stæn liː,10,5045,2
Emma,F,'ɛ mə,10,5013,2
Sarah,F,'sɛ rə,10,4982,2
Rita,F,'riː tʌ,10,4977,2
Phyllis,F,'fɪ lɪs,10,4935,2
Alfred,M,'æl frəd,10,4832,2
Katherine,F,'kæ θɛː ɪn,100,4827,3
Jane,F,'ʤeɪn,1,4803,1
Lorraine,F,lɛː 'eɪn,01,4668,2
Juanita,F,wɑ 'niː tʌ,010,4643,3
Geraldine,F,ʤɛ rəl 'diːn,001,4642,3
Elsie,F,'ɛl siː,10,4618,2
Julia,F,'ʤuːl jʌ,10,4616,2
Samuel,M,'sæ mjuːl,10,4600,2
Norman,M,'nɔːr mən,10,4526,2
Gloria,F,'glɔː riː ə,100,4496,3
Warren,M,'wɔː rən,10,4484,2
Agnes,F,'æg nɪs,10,4480,2
Bertha,F,'bɛː θə,10,4419,2
Bernard,M,bɛː 'nɑrd,01,4409,2
Daniel,M,'dæ njəl,10,4283,2
Eva,F,'eɪ və,10,4192,2
Michael,M,'maɪ kəl,10,3992,2
Ida,F,'aɪ də,10,3986,2
Anne,F,'æn,1,3972,1
Russell,M,'rə səl,10,3966,2
Marian,F,'mɛ riː ən,100,3950,3
Melvin,M,'mɛl vɪn,10,3909,2
Patricia,F,pə 'trɪ ʃə,010,3902,3
Leo,M,'liː oʊ,10,3902,2
Laura,F,'lɔː rə,10,3902,2
Willie,F,'wɪ liː,10,3884,2
Pearl,F,'pɛːl,1,3848,1
Edwin,M,'ɛ dwən,10,3829,2
Andrew,M,'æn druː,10,3804,2
Viola,F,vaɪ 'oʊ lə,010,3793,3
Kathryn,F,'kæ θrɪn,10,3792,2
Elmer,M,'ɛl mɛː,10,3738,2
Vivian,F,'vɪ viː ən,100,3733,3
Leroy,M,'liː `rɔɪ,11,3670,2
Myrtle,F,'mɛː təl,10,3649,2
Charlotte,F,'ʃɑr lət,10,3582,2
Marvin,M,'mɑr vɪn,10,3581,2
Peter,M,'piː tɛː,10,3547,2
Gerald,M,'ʤɛ rəld,10,3543,2
Wilma,F,'wɪl mə,10,3537,2
Nancy,F,'næn siː,10,3517,2
Vera,F,'vɛ rə,10,3509,2
Kathleen,F,kæθ 'liːn,01,3465,2
Bessie,F,'bɛ siː,10,3447,2
Maxine,F,mæk 'siːn,01,3444,2
Lloyd,M,'lɔɪd,1,3365,1
Frederick,M,'frɛ drɪk,10,3352,2
Nellie,F,'nɛ liː,10,3274,2
Alma,F,'æl mə,10,3233,2
Floyd,M,'flɔɪd,1,3220,1
Theodore,M,'θiː ə `dɔːr,101,3217,3
Lillie,F,'lɪ liː,10,3200,2
Violet,F,'vaɪ ə lɪt,100,3194,3
Jessie,F,'ʤɛ siː,10,3182,2
Stella,F,'stɛ lə,10,3165,2
Audrey,F,'ɔː driː,10,3163,2
Clifford,M,'klɪ fɛːd,10,3158,2
Ella,F,'ɛ lə,10,3150,2
Chester,M,'ʧɛ stɛː,10,3132,2
Minnie,F,'mɪ niː,10,3117,2
Ray,M,'reɪ,1,3051,1
Herman,M,'hɛː mən,10,3015,2
Clyde,M,'klaɪd,1,3006,1
Vernon,M,'vɛː nən,10,3003,2
Wanda,F,'wɑn də,10,2986,2
Lucy,F,'luː siː,10,2977,2
Sylvia,F,'sɪl viː ə,100,2961,3
Ellen,F,'ɛ lən,10,2953,2
Lester,M,'lɛ stɛː,10,2951,2
Eileen,F,aɪ 'liːn,01,2938,2
Jeanne,F,'ʤiːn,1,2917,1
Genevieve,F,'ʤɛ nʌ `viːv,101,2897,3
Mabel,F,'meɪ bəl,10,2893,2
Margie,F,'mɑr ʤiː,10,2854,2
Leona,F,'liː oʊ nʌ,100,2825,3
Elaine,F,ɪ 'leɪn,01,2793,2
Philip,M,'fɪ ləp,10,2769,2
Mattie,F,'mæ tiː,10,2747,2
Dolores,F,də 'lɔː rɪs,010,2714,3
Vincent,M,'vɪn sənt,10,2708,2
Jennie,F,'ʤɛ niː,10,2671,2
Marguerite,F,`mɑr gɛː 'iːt,101,2657,3
Charlie,M,'ʧɑr liː,10,2652,2
Lena,F,'liː nʌ,10,2625,2
Alvin,M,'æl vɪn,10,2598,2
Opal,F,'oʊ pəl,10,2562,2
Milton,M,'mɪl tən,10,2556,2
Lewis,M,'luː ɪs,10,2555,2
Theresa,F,tɛː 'iː sə,010,2543,3
Gordon,M,'gɔːr dən,10,2527,2
Leon,M,'liː ɑn,10,2520,2
Wayne,M,'weɪn,1,2476,1
Geneva,F,ʤə 'niː və,010,2443,3
Glenn,M,'glɛn,1,2426,1
Martin,M,'mɑr tən,10,2404,2
Mae,F,'meɪ,1,2403,1
Jesse,M,'ʤɛ siː,10,2396,2
Muriel,F,'mjʊ riː əl,100,2392,3
Benjamin,M,'bɛn ʤə mən,100,2376,3
Lee,M,'liː,1,2371,1
Velma,F,'vɛl mə,10,2367,2
Georgia,F,'ʤɔːr ʤə,10,2364,2
Sam,M,'sæm,1,2350,1
Cecil,M,'siː səl,10,2336,2
Victor,M,'vɪk tɛː,10,2322,2
Blanche,F,'blænʧ,1,2322,1
Christine,F,krɪ 'stiːn,01,2267,2
Harriet,F,'hɛ riː ət,100,2236,3
Sara,F,'sɛ rə,10,2220,2
Wallace,M,'wɔː ləs,10,2211,2
Harvey,M,'hɑr viː,10,2208,2
Eunice,F,'juː nəs,10,2179,2
Rosemary,F,'roʊz `mɛ riː,110,2170,3
Emily,F,'ɛ mɪ liː,100,2146,3
Carrie,F,'kɛ riː,10,2120,2
Rosa,F,'roʊ zʌ,10,2107,2
Beulah,F,'bjuː lə,10,2096,2
Loretta,F,lɛː 'ɛ tʌ,010,2095,3
Dale,M,'deɪl,1,2042,1
Billy,M,'bɪ liː,10,2029,2
Willard,M,'wɪ lɛːd,10,2017,2
Joyce,F,'ʤɔɪs,1,2016,1
Joan,F,'ʤoʊn,1,2010,1
Oscar,M,'ɔː skɛː,10,2007,2
Jeanette,F,ʤə 'nɛt,01,2005,2
Janet,F,'ʤæ nət,10,2004,2
Inez,F,ɪ 'nɛz,01,1991,2
Hilda,F,'hɪl də,10,1962,2
Maria,F,mɛː 'iː ə,010,1929,3
Edgar,M,'ɛd gɛː,10,1924,2
Arnold,M,'ɑr nəld,10,1893,2
Allen,M,'æ lən,10,1887,2
Arlene,F,'ɑr `liːn,11,1884,2
Naomi,F,neɪ 'oʊ miː,010,1869,3
Fannie,F,'fæ niː,10,1867,2
Alberta,F,æl 'bɛː tʌ,010,1852,3
Roger,M,'rɑ ʤɛː,10,1849,2
Bonnie,F,'bɑ niː,10,1824,2
Dora,F,'dɔː rə,10,1807,2
Claude,M,'klɔːd,1,1805,1
Everett,M,'ɛ vɛː ət,100,1798,3
Virgil,M,'vɛː ʤəl,10,1789,2
Hattie,F,'hæ tiː,10,1781,2
Anita,F,ə 'niː tʌ,010,1762,3
Cora,F,'kɔː rə,10,1762,2
Lula,F,'luː lə,10,1757,2
Gilbert,M,'gɪl bɛːt,10,1748,2
Madeline,F,'mæ də lɪn,100,1731,3
Stephen,M,'stiː vən,10,1721,2
Wilbur,M,'wɪl bɛː,10,1716,2
Carolyn,F,'kɛ rə lɪn,100,1706,3
Marilyn,F,'mɛ rə lən,100,1698,3
Maurice,M,mɔː 'riːs,01,1696,2
Verna,F,'vɛː nʌ,10,1693,2
Mamie,F,'meɪ miː,10,1688,2
Ada,F,'eɪ də,10,1683,2
Constance,F,'kɑn stəns,10,1677,2
Bill,M,'bɪl,1,1675,1
Roberta,F,rə 'bɛː tʌ,010,1659,3
Johnnie,M,'ʤɑ niː,10,1646,2
Miriam,F,'mɪ riː əm,100,1639,3
Douglas,M,'də gləs,10,1636,2
Marion,M,'mɛ riː ən,100,1631,3
Morris,M,'mɔː rəs,10,1630,2
Homer,M,'hoʊ mɛː,10,1630,2
Mable,F,'meɪ bəl,10,1620,2
Sidney,M,'sɪd niː,10,1619,2
Jessie,M,'ʤɛ siː,10,1592,2
Eddie,M,'ɛ diː,10,1588,2
Sophie,F,'soʊ fiː,10,1581,2
Curtis,M,'kɛː təs,10,1547,2
Leslie,M,'lɛ sliː,10,1544,2
Rachel,F,'reɪ ʧəl,10,1541,2
Roland,M,'roʊ lənd,10,1539,2
Marcella,F,mɑr 'sɛ lə,010,1537,3
Olga,F,'oʊl gə,10,1535,2
Daisy,F,'deɪ ziː,10,1530,2
Hubert,M,'hjuː bɛːt,10,1527,2
Carol,F,'kæ rəl,10,1522,2
Flora,F,'flɔː rə,10,1522,2
Max,M,'mæks,1,1517,1
Bette,F,'bɛ tiː,10,1482,2
Lola,F,'loʊ lə,10,1478,2
Luther,M,'luː θɛː,10,1477,2
Manuel,M,mɑn 'wɛl,01,1462,2
Hugh,M,'hjuː,1,1442,1
Winifred,F,'wɪ nɪ frɪd,100,1428,3
Jerome,M,ʤɛː 'oʊm,01,1423,2
Nicholas,M,'nɪ kə ləs,100,1416,3
Erma,F,'ɛː mə,10,1411,2
Beverly,F,'bɛ vɛː liː,100,1411,3
Rosie,F,'roʊ ziː,10,1385,2
Glen,M,'glɛn,1,1384,1
Irving,M,'ɛː vɪŋ,10,1366,2
Alexander,M,`æ ləg 'zæn dɛː,1010,1359,4
Donna,F,'dɑ nʌ,10,1349,2
Claire,F,'klɛr,1,1339,1
Estelle,F,ɛ 'stɛl,01,1331,2
Olive,F,'ɑ lʌv,10,1323,2
Franklin,M,'fræŋ klɪn,10,1319,2
Maggie,F,'mæ giː,10,1313,2
Peggy,F,'pɛ giː,10,1304,2
Susie,F,'suː ziː,10,1302,2
Rebecca,F,rə 'bɛ kə,010,1296,3
Wesley,M,'wɛ sliː,10,1288,2
Eula,F,'juː lə,10,1284,2
Calvin,M,'kæl vən,10,1283,2
Julius,M,'ʤuːl jəs,10,1277,2
Antoinette,F,`æn twə 'nɛt,101,1270,3
Steve,M,'stiːv,1,1268,1
Caroline,F,'kɛ rə `laɪn,101,1268,3
Sadie,F,'sæ diː,10,1263,2
Jose,M,`hoʊ 'zeɪ,11,1258,2
Horace,M,'hɔː rəs,10,1251,2
Willis,M,'wɪ lɪs,10,1250,2
Lorene,F,lɔː 'riːn,01,1241,2
Eloise,F,ɪ 'lɔɪz,01,1223,2
Nora,F,'nɔː rə,10,1219,2
Laverne,F,lə 'vɛːn,01,1214,2
Oliver,M,'ɑ lə vɛː,100,1214,3
Fern,F,'fɛːn,1,1207,1
Jerry,M,'ʤɛ riː,10,1197,2
Don,M,'dɑn,1,1183,1
Henrietta,F,`hɛn riː 'ɛ tʌ,1010,1169,4
Irma,F,'ɛː mə,10,1167,2
Della,F,'dɛ lə,10,1155,2
Tony,M,'toʊ niː,10,1146,2
Victoria,F,vɪk 'tɔː riː ə,0100,1145,4
Rudolph,M,'ruː dɔːlf,10,1145,2
Regina,F,rɪ 'ʤiː nʌ,010,1136,3
Nina,F,'naɪ nʌ,10,1131,2
Lucile,F,luː 'siːl,01,1130,2
Ben,M,'bɛn,1,1120,1
Jimmie,M,'ʤɪ miː,10,1118,2
Guy,M,'gaɪ,1,1117,1
Bruce,M,'bruːs,1,1105,1
Rosalie,F,'roʊ zʌ liː,100,1104,3
Billie,F,'bɪ liː,10,1104,2
Lottie,F,'lɑ tiː,10,1090,2
Earnest,M,'ɛː nɪst,10,1089,2
Gene,M,'ʤiːn,1,1089,1
Adeline,F,'æ də `laɪn,101,1085,3
Tom,M,'tɑm,1,1084,1
Lyle,M,'laɪl,1,1055,1
Katie,F,'keɪ tiː,10,1051,2
Ronald,M,'rɑ nəld,10,1042,2
Amelia,F,ə 'miːl jʌ,010,1032,3
Veronica,F,vɛː 'ɑ nɪ kə,0100,1028,4
Jeannette,F,ʤə 'nɛt,01,1027,2
Jacob,M,'ʤeɪ kəb,10,1027,2
Angelina,F,æn ʤɛ 'liː nʌ,0010,1026,4
Lydia,F,'lɪ diː ə,100,1025,3
Junior,M,'ʤuː njɛː,10,1024,2
Archie,M,'ɑr ʧiː,10,1023,2
Orville,M,'ɔːr vɪl,10,1022,2
Essie,F,'ɛ siː,10,1022,2
Jacqueline,F,'ʤæ kwə lɪn,100,1021,3
Patrick,M,'pæ trɪk,10,1019,2
Edmund,M,'ɛd mənd,10,1014,2
Salvatore,M,sæl və 'tɔː riː,0010,1007,4
Alex,M,'æ ləks,10,1002,2
Cleo,F,'kliː oʊ,10,991,2
Nettie,F,'nɛ tiː,10,989,2
Otis,M,'oʊ tɪs,10,988,2
Keith,M,'kiːθ,1,984,1
Dean,M,'diːn,1,983,1
Matthew,M,'mæ θjuː,10,983,2
