name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,13136,2
John,M,'ʤɑn,1,6900,1
William,M,'wɪl jəm,10,5990,2
Helen,F,'hɛ lən,10,5247,2
Anna,F,'æ nʌ,10,4923,2
James,M,'ʤeɪmz,1,4735,1
Margaret,F,'mɑr gɛː ɪt,100,4424,3
Ruth,F,'ruːθ,1,3974,1
George,M,'ʤɔːrʤ,1,3609,1
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,3216,4
Marie,F,mɛː 'iː,01,3157,2
Florence,F,'flɔː rəns,10,3131,2
Ethel,F,'ɛ θəl,10,3067,2
Charles,M,'ʧɑrlz,1,3049,1
Joseph,M,'ʤoʊ səf,10,2766,2
Lillian,F,'lɪ liː ən,100,2681,3
Gladys,F,'glæ dɪs,10,2676,2
Alice,F,'æ ləs,10,2562,2
Robert,M,'rɑ bɛːt,10,2543,2
Edna,F,'ɛd nʌ,10,2488,2
Mildred,F,'mɪl drɪd,10,2424,2
Frank,M,'fræŋk,1,2402,1
Grace,F,'greɪs,1,2398,1
Annie,F,'æ niː,10,2396,2
Emma,F,'ɛ mə,10,2374,2
Clara,F,'klæ rə,10,2319,2
Bertha,F,'bɛː θə,10,2257,2
Rose,F,'roʊz,1,2212,1
Bessie,F,'bɛ siː,10,2183,2
Dorothy,F,'dɔː rə θiː,100,2173,3
Hazel,F,'heɪ zəl,10,2097,2
Mabel,F,'meɪ bəl,10,2097,2
Frances,F,'fræn sɪs,10,2071,2
Minnie,F,'mɪ niː,10,2026,2
Gertrude,F,'gɛː truːd,10,1964,2
Edward,M,'ɛ dwɛːd,10,1917,2
Myrtle,F,'mɛː təl,10,1892,2
Martha,F,'mɑr θə,10,1886,2
Irene,F,aɪ 'riːn,01,1879,2
Henry,M,'hɛn riː,10,1870,2
Pearl,F,'pɛːl,1,1866,1
Edith,F,'iː dɪθ,10,1863,2
Esther,F,'ɛ stɛː,10,1844,2
Ida,F,'aɪ də,10,1835,2
Thomas,M,'tɑ məs,10,1820,2
Elsie,F,'ɛl siː,10,1747,2
Walter,M,'wɔːl tɛː,10,1718,2
Louise,F,luː 'iːz,01,1640,2
Eva,F,'eɪ və,10,1617,2
Catherine,F,'kæ θɛː ən,100,1599,3
