name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,36614,2
Jacob,M,'ʤeɪ kəb,10,36014,2
Matthew,M,'mæ θjuː,10,31142,2
Joshua,M,'ʤɑ ʃuː ə,100,28088,3
Christopher,M,'krɪ stə fɛː,100,27001,3
Nicholas,M,'nɪ kə ləs,100,26634,3
Emily,F,'ɛ mɪ liː,100,26181,3
Brandon,M,'bræn dən,10,23829,2
Tyler,M,'taɪ lɛː,10,23711,2
Andrew,M,'æn druː,10,23654,2
Austin,M,'ɔː stən,10,23477,2
Joseph,M,'ʤoʊ səf,10,23178,2
Daniel,M,'dæ njəl,10,23153,2
Hannah,F,'hæ nʌ,10,21373,2
David,M,'deɪ vɪd,10,20881,2
William,M,'wɪl jəm,10,20831,2
John,M,'ʤɑn,1,20624,1
Zachary,M,'zæ kɛː iː,100,20579,3
Ryan,M,'raɪ ən,10,20194,2
Samantha,F,sə 'mæn θə,010,20193,3
Sarah,F,'sɛ rə,10,19879,2
Ashley,F,'æ ʃliː,10,19874,2
Alexis,F,ə 'lɛk sɪs,010,19778,3
James,M,'ʤeɪmz,1,19686,1
Anthony,M,'æn θə niː,100,19630,3
Taylor,F,'teɪ lɛː,10,18572,2
Jessica,F,'ʤɛ sɪ kə,100,18235,3
Justin,M,'ʤə stən,10,17971,2
Madison,F,'mæ də sən,100,17786,3
Jonathan,M,'ʤɑ nʌ θʌn,100,17647,3
Alexander,M,`æ ləg 'zæn dɛː,1010,17464,4
Robert,M,'rɑ bɛːt,10,15524,2
Kyle,M,'kaɪl,1,15274,1
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,15186,4
Dylan,M,'dɪ lən,10,14539,2
Christian,M,'krɪs ʧən,10,14512,2
Jordan,M,'ʤɔːr dən,10,14409,2
Samuel,M,'sæ mjuːl,10,13907,2
Alyssa,F,ə 'lɪ sə,010,13710,3
Kayla,F,'keɪ lə,10,13422,2
Noah,M,'noʊ ə,10,13409,2
Megan,F,'meɪ gən,10,13253,2
Benjamin,M,'bɛn ʤə mən,100,13059,3
Lauren,F,'lɔː rən,10,12907,2
Thomas,M,'tɑ məs,10,12886,2
Kevin,M,'kɛ vɪn,10,12507,2
Jose,M,`hoʊ 'zeɪ,11,12371,2
Rachel,F,'reɪ ʧəl,10,12201,2
Victoria,F,vɪk 'tɔː riː ə,0100,12146,4
Brianna,F,briː 'æ nʌ,010,12047,3
Nathan,M,'neɪ θʌn,10,11584,2
Cameron,M,'kæ mɛː ən,100,11418,3
Abigail,F,'æ bə `geɪl,101,11099,3
Hunter,M,'hən tɛː,10,11078,2
Amanda,F,ə 'mæn də,010,10912,3
Jennifer,F,'ʤɛ nʌ fɛː,100,10689,3
Olivia,F,oʊ 'lɪ viː ə,0100,10610,4
Aaron,M,'ɛ rən,10,10547,2
Ethan,M,'iː θʌn,10,10533,2
Emma,F,'ɛ mə,10,10437,2
Morgan,F,'mɔːr gən,10,10217,2
Eric,M,'ɛ rɪk,10,9963,2
Nicole,F,nɪ 'koʊl,01,9911,2
Brittany,F,'brɪ tʌ niː,100,9843,3
Jasmine,F,'ʤæz mən,10,9484,2
Jason,M,'ʤeɪ sən,10,9395,2
Brian,M,'braɪ ən,10,9144,2
Caleb,M,'keɪ ləb,10,9028,2
Cody,M,'koʊ diː,10,8811,2
Logan,M,'loʊ gən,10,8638,2
Alexandra,F,`æ lɛg 'zæn drə,1010,8606,4
Sydney,F,'sɪd niː,10,8550,2
Stephanie,F,'stɛ fə niː,100,8490,3
Rebecca,F,rə 'bɛ kə,010,8419,3
Anna,F,'æ nʌ,10,8378,2
Adam,M,'æ dəm,10,8357,2
Julia,F,'ʤuːl jʌ,10,8327,2
Katherine,F,'kæ θɛː ɪn,100,8204,3
Destiny,F,'dɛ stə niː,100,8153,3
Steven,M,'stiː vən,10,8113,2
Haley,F,'heɪ liː,10,7935,2
Amber,F,'æm bɛː,10,7929,2
Connor,M,'kɑ nɛː,10,7905,2
Allison,F,'æ lə sən,100,7861,3
Charles,M,'ʧɑrlz,1,7847,1
Timothy,M,'tɪ mə θiː,100,7845,3
Sean,M,'ʃɔːn,1,7713,1
Courtney,F,'kɔːrt niː,10,7554,2
Natalie,F,'næ tʌ liː,100,7546,3
Jared,M,'ʤɛ rɪd,10,7461,2
Danielle,F,`dæ niː 'ɛl,101,7368,3
Juan,M,'wɑn,1,7360,1
Luis,M,luː 'iːs,01,7198,2
Jordan,F,'ʤɔːr dən,10,7112,2
Gabriel,M,'geɪ briː əl,100,7066,3
Richard,M,'rɪ ʧɛːd,10,6954,2
Alex,M,'æ ləks,10,6951,2
Maria,F,mɛː 'iː ə,010,6817,3
Patrick,M,'pæ trɪk,10,6733,2
Trevor,M,'trɛ vɛː,10,6598,2
Isaiah,M,`aɪ 'zeɪ ə,110,6488,3
Savannah,F,sə 'væ nʌ,010,6463,3
Mary,F,'mɛ riː,10,6443,2
Nathaniel,M,nʌ 'θæ njəl,010,6427,3
Jack,M,'ʤæk,1,6374,1
Brooke,F,'brʊk,1,6344,1
Devin,M,'dɛ vɪn,10,6217,2
Gabrielle,F,'gæ briː ɛl,100,6200,3
Evan,M,'ɛ vən,10,6083,2
Sara,F,'sɛ rə,10,6007,2
Shelby,F,'ʃɛl biː,10,5893,2
Mark,M,'mɑrk,1,5892,1
Madeline,F,'mæ də lɪn,100,5869,3
Isaac,M,'aɪ zək,10,5857,2
Sierra,F,siː 'ɛ rə,010,5840,3
Vanessa,F,və 'nɛ sə,010,5830,3
Kimberly,F,'kɪm bɛː liː,100,5721,3
Grace,F,'greɪs,1,5719,1
Elijah,M,ɛ 'laɪ ʤə,010,5662,3
Chase,M,'ʧeɪs,1,5562,1
Michelle,F,mɪ 'ʃɛl,01,5559,2
Kelsey,F,'kɛl siː,10,5550,2
Jeremy,M,'ʤɛ rə miː,100,5541,3
Carlos,M,'kɑr loʊs,10,5476,2
Erin,F,'ɛ rɪn,10,5472,2
Jesse,M,'ʤɛ siː,10,5440,2
Adrian,M,'eɪ driː ən,100,5429,3
Dakota,M,də 'koʊ tʌ,010,5401,3
Melissa,F,mə 'lɪ sə,010,5354,3
Ian,M,'iː ən,10,5351,2
Bryan,M,'braɪ ən,10,5308,2
Luke,M,'luːk,1,5284,1
Jesus,M,'ʤiː zəs,10,5216,2
Bailey,F,'beɪ liː,10,5196,2
Cole,M,'koʊl,1,5148,1
Andrea,F,'æn driː ə,100,5131,3
Mariah,F,mɛː 'aɪ ə,010,5085,3
Stephen,M,'stiː vən,10,5013,2
Paige,F,'peɪʤ,1,4975,1
Antonio,M,æn 'toʊ niː oʊ,0100,4943,4
Mackenzie,F,mə 'kɛn ziː,010,4890,3
Garrett,M,'gæ rɪt,10,4788,2
Angel,M,'eɪn ʤəl,10,4772,2
Marissa,F,mə 'rɪ sə,010,4720,3
Tanner,M,'tæ nɛː,10,4702,2
Mason,M,'meɪ sən,10,4657,2
Spencer,M,'spɛn sɛː,10,4619,2
Tiffany,F,'tɪ fə niː,100,4612,3
Sabrina,F,sə 'briː nʌ,010,4607,3
Blake,M,'bleɪk,1,4606,1
Seth,M,'sɛθ,1,4586,1
Kenneth,M,'kɛ nɪθ,10,4586,2
Dalton,M,'dɔːl tən,10,4563,2
Christina,F,krɪ 'stiː nʌ,010,4531,3
Hailey,F,'heɪ liː,10,4472,2
Cheyenne,F,ʃaɪ 'æn,01,4325,2
Paul,M,'pɔːl,1,4319,1
Sophia,F,soʊ 'fiː ə,010,4306,3
Laura,F,'lɔː rə,10,4294,2
Caroline,F,'kɛ rə `laɪn,101,4275,3
Miguel,M,mɪ 'gɛl,01,4255,2
Autumn,F,'ɔː təm,10,4208,2
Jeffrey,M,'ʤɛ friː,10,4188,2
Caitlin,F,'keɪt lɪn,10,4175,2
Tristan,M,'trɪ `stæn,11,4169,2
Briana,F,briː 'æ nʌ,010,4152,3
Miranda,F,mɛː 'æn də,010,4142,3
Lucas,M,'luː kəs,10,4091,2
Bryce,M,'braɪs,1,4053,1
Alejandro,M,ɑ leɪ 'jɑn droʊ,0010,4043,4
Marcus,M,'mɑr kəs,10,4011,2
Alexandria,F,`æ ləg 'zæn driː ə,10100,4008,5
Victor,M,'vɪk tɛː,10,3996,2
Travis,M,'træ vɪs,10,3924,2
Brendan,M,'brɛn dən,10,3878,2
Jackson,M,'ʤæk sən,10,3860,2
Diana,F,daɪ 'æ nʌ,010,3853,3
Isabella,F,`ɪ zʌ 'bɛ lə,1010,3849,4
Cassandra,F,kə 'sæn drə,010,3814,3
Bradley,M,'bræd liː,10,3796,2
Chloe,F,'kloʊ iː,10,3793,2
Jake,M,'ʤeɪk,1,3785,1
Katie,F,'keɪ tiː,10,3730,2
Kelly,F,'kɛ liː,10,3703,2
Kathryn,F,'kæ θrɪn,10,3702,2
Claire,F,'klɛr,1,3641,1
Erica,F,'ɛ rɪ kə,100,3624,3
Mitchell,M,'mɪ ʧəl,10,3623,2
Alexa,F,ə 'lɛk sə,010,3622,3
Taylor,M,'teɪ lɛː,10,3581,2
Edward,M,'ɛ dwɛːd,10,3575,2
Colton,M,'koʊl tən,10,3573,2
Chelsea,F,'ʧɛl siː,10,3518,2
Jacqueline,F,'ʤæ kwə lɪn,100,3500,3
Amy,F,'eɪ miː,10,3485,2
Lindsey,F,'lɪnd ziː,10,3465,2
Jorge,M,'hɔːr heɪ,10,3463,2
Dustin,M,'də stɪn,10,3444,2
Gregory,M,'grɛ gɛː iː,100,3429,3
Derek,M,'dɛ rɪk,10,3410,2
Alicia,F,ə 'lɪ ʃə,010,3407,3
Heather,F,'hɛ ðɛː,10,3397,2
Peter,M,'piː tɛː,10,3386,2
Angela,F,'æn ʤə lə,100,3369,3
Alec,M,'æ lɪk,10,3356,2
Kristen,F,'krɪ sən,10,3347,2
Catherine,F,'kæ θɛː ən,100,3347,3
Michaela,F,maɪ 'kɛ lə,010,3341,3
Shannon,F,'ʃæ nən,10,3277,2
Shawn,M,'ʃɔːn,1,3256,1
Monica,F,'mɑ nɪ kə,100,3229,3
Jeremiah,M,`ʤɛ rə 'maɪ ə,1010,3222,4
Faith,F,'feɪθ,1,3217,1
Leah,F,'liː ə,10,3215,2
Corey,M,'kɔː riː,10,3201,2
Gavin,M,'gæ vɪn,10,3193,2
Molly,F,'mɑ liː,10,3190,2
Angelica,F,æn 'ʤɛ lɪ kə,0100,3182,4
Crystal,F,'krɪ stəl,10,3174,2
Joel,M,'ʤoʊ əl,10,3170,2
Shane,M,'ʃeɪn,1,3166,1
Devon,M,'dɛ vən,10,3146,2
Dominic,M,'dɑ mə nɪk,100,3098,3
Vincent,M,'vɪn sənt,10,3098,2
Leslie,F,'lɛ sliː,10,3079,2
Colin,M,'koʊ lɪn,10,3076,2
Jamie,F,'ʤeɪ miː,10,3065,2
Scott,M,'skɑt,1,3062,1
Julian,M,'ʤuː liː ən,100,3053,3
Cassidy,F,'kæ sɪ diː,100,3045,3
Ricardo,M,rɪ 'kɑr doʊ,010,3044,3
George,M,'ʤɔːrʤ,1,3044,1
Grant,M,'grænt,1,3014,1
Riley,M,'raɪ liː,10,3013,2
Oscar,M,'ɔː skɛː,10,3006,2
Collin,M,'kɑ lɪn,10,2987,2
Margaret,F,'mɑr gɛː ɪt,100,2962,3
Xavier,M,'zeɪ vjɛː,10,2931,2
Gabriella,F,gɑ briː 'ɛ lə,0010,2924,4
Nicolas,M,'nɪ kə ləs,100,2920,3
Brett,M,'brɛt,1,2885,1
Dillon,M,'dɪ lən,10,2838,2
Isabel,F,'ɪ zʌ `bɛl,101,2826,3
Henry,M,'hɛn riː,10,2792,2
Maxwell,M,'mæk `swɛl,11,2791,2
Wyatt,M,'waɪ ət,10,2722,2
Meghan,F,'mɛ gən,10,2696,2
Malik,M,'mæ lɪk,10,2694,2
Francisco,M,fræn 'sɪ skoʊ,010,2692,3
Zoe,F,'zoʊ iː,10,2692,2
Maya,F,'maɪ ə,10,2685,2
Erik,M,'ɛ rɪk,10,2676,2
Erika,F,'ɛ rɪ kə,100,2672,3
Jade,F,'ʤeɪd,1,2657,1
Raymond,M,'reɪ mənd,10,2641,2
Cynthia,F,'sɪn θiː ə,100,2632,3
Veronica,F,vɛː 'ɑ nɪ kə,0100,2632,4
Parker,M,'pɑr kɛː,10,2630,2
Jocelyn,F,'ʤɔː `slɪn,11,2581,2
Gabriela,F,gɑ briː 'ɛ lə,0010,2577,4
Mia,F,'miː ə,10,2566,2
Summer,F,'sə mɛː,10,2558,2
Bethany,F,'bɛ θə niː,100,2489,3
Eduardo,M,ɛ 'dwɑr doʊ,010,2485,3
Adriana,F,`eɪ driː 'æ nʌ,1010,2475,4
Melanie,F,'mɛ lə niː,100,2460,3
Omar,M,'oʊ mɑr,10,2451,2
Daisy,F,'deɪ ziː,10,2448,2
Ariana,F,ɑ riː 'æ nʌ,0010,2424,4
Angel,F,'eɪn ʤəl,10,2384,2
Manuel,M,mɑn 'wɛl,01,2350,2
Alexis,M,ə 'lɛk sɪs,010,2317,3
Javier,M,`hɑ viː 'ɛr,101,2308,3
