name,gender,IPA,IPA_stress,counts,n_syllables
James,M,'ʤeɪmz,1,87431,1
Robert,M,'rɑ bɛːt,10,84134,2
John,M,'ʤɑn,1,79261,1
Mary,F,'mɛ riː,10,67468,2
William,M,'wɪl jəm,10,60039,2
Richard,M,'rɪ ʧɛːd,10,58865,2
Linda,F,'lɪn də,10,52711,2
David,M,'deɪ vɪd,10,46437,2
Patricia,F,pə 'trɪ ʃə,010,46296,3
Barbara,F,'bɑr bɛː ə,100,45123,3
Michael,M,'maɪ kəl,10,41179,2
Thomas,M,'tɑ məs,10,38868,2
Charles,M,'ʧɑrlz,1,38200,1
Carol,F,'kæ rəl,10,34284,2
Ronald,M,'rɑ nəld,10,31853,2
Sandra,F,'sæn drə,10,31692,2
Larry,M,'lɛ riː,10,28445,2
Nancy,F,'næn siː,10,28344,2
Susan,F,'suː zən,10,28266,2
Sharon,F,'ʃæ rən,10,27823,2
Gary,M,'gɛ riː,10,26922,2
Donald,M,'dɑ nəld,10,26260,2
Joseph,M,'ʤoʊ səf,10,24279,2
Judith,F,'ʤuː dəθ,10,22307,2
Kenneth,M,'kɛ nɪθ,10,22035,2
George,M,'ʤɔːrʤ,1,21572,1
Dennis,M,'dɛ nɪs,10,21442,2
Paul,M,'pɔːl,1,21055,1
Judy,F,'ʤuː diː,10,20479,2
Carolyn,F,'kɛ rə lɪn,100,19900,3
Donna,F,'dɑ nʌ,10,19769,2
Betty,F,'bɛ tiː,10,19712,2
Karen,F,'kɛ rən,10,19645,2
Kathleen,F,kæθ 'liːn,01,18760,2
Edward,M,'ɛ dwɛːd,10,18580,2
Margaret,F,'mɑr gɛː ɪt,100,18132,3
Shirley,F,'ʃɛː liː,10,17866,2
Jerry,M,'ʤɛ riː,10,17562,2
Diane,F,daɪ 'æn,01,15831,2
Joyce,F,'ʤɔɪs,1,15211,1
Janet,F,'ʤæ nət,10,14142,2
Janice,F,'ʤæ nəs,10,14037,2
Daniel,M,'dæ njəl,10,12867,2
Dorothy,F,'dɔː rə θiː,100,12798,3
Brenda,F,'brɛn də,10,12689,2
Frank,M,'fræŋk,1,12663,1
Roger,M,'rɑ ʤɛː,10,12413,2
Stephen,M,'stiː vən,10,11835,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,11752,4
Gloria,F,'glɔː riː ə,100,11687,3
Cheryl,F,'ʃɛ rəl,10,11525,2
Raymond,M,'reɪ mənd,10,11287,2
Joan,F,'ʤoʊn,1,11219,1
Marilyn,F,'mɛ rə lən,100,10711,3
Terry,M,'tɛ riː,10,10676,2
Beverly,F,'bɛ vɛː liː,100,10430,3
Gerald,M,'ʤɛ rəld,10,10026,2
Virginia,F,vɛː 'ʤɪ njə,010,10016,3
Martha,F,'mɑr θə,10,9761,2
Bonnie,F,'bɑ niː,10,9507,2
Pamela,F,'pæ mə lə,100,9366,3
Jane,F,'ʤeɪn,1,8972,1
Steven,M,'stiː vən,10,8878,2
Helen,F,'hɛ lən,10,8851,2
Wayne,M,'weɪn,1,8807,1
Walter,M,'wɔːl tɛː,10,8664,2
Jean,F,'ʤiːn,1,8554,1
Lawrence,M,'lɔː rəns,10,8516,2
Ruth,F,'ruːθ,1,8472,1
Bruce,M,'bruːs,1,8457,1
Frances,F,'fræn sɪs,10,8450,2
