name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,73982,2
John,M,'ʤɑn,1,58217,1
Robert,M,'rɑ bɛːt,10,52781,2
William,M,'wɪl jəm,10,51862,2
James,M,'ʤeɪmz,1,49749,1
Dorothy,F,'dɔː rə θiː,100,39086,3
Helen,F,'hɛ lən,10,34821,2
Charles,M,'ʧɑrlz,1,29246,1
Margaret,F,'mɑr gɛː ɪt,100,28466,3
George,M,'ʤɔːrʤ,1,27476,1
Joseph,M,'ʤoʊ səf,10,26180,2
Ruth,F,'ruːθ,1,25783,1
Edward,M,'ɛ dwɛːd,10,20817,2
Virginia,F,vɛː 'ʤɪ njə,010,19033,3
Mildred,F,'mɪl drɪd,10,17882,2
Betty,F,'bɛ tiː,10,17637,2
Frank,M,'fræŋk,1,16707,1
Richard,M,'rɪ ʧɛːd,10,16376,2
Frances,F,'fræn sɪs,10,15994,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,15799,4
Thomas,M,'tɑ məs,10,15308,2
Anna,F,'æ nʌ,10,14477,2
Evelyn,F,'ɛ və lən,100,14279,3
Harold,M,'hɛ rəld,10,13810,2
Donald,M,'dɑ nəld,10,13776,2
Paul,M,'pɔːl,1,13168,1
Doris,F,'dɔː rəs,10,13152,2
Walter,M,'wɔːl tɛː,10,13004,2
Raymond,M,'reɪ mənd,10,12645,2
Marie,F,mɛː 'iː,01,12502,2
Alice,F,'æ ləs,10,11956,2
Henry,M,'hɛn riː,10,11412,2
Marjorie,F,'mɑr ʤɛː iː,100,11208,3
Jack,M,'ʤæk,1,10756,1
Florence,F,'flɔː rəns,10,10719,2
Irene,F,aɪ 'riːn,01,10623,2
Arthur,M,'ɑr θɛː,10,10527,2
Albert,M,'æl bɛːt,10,10157,2
Lillian,F,'lɪ liː ən,100,9770,3
Harry,M,'hɛ riː,10,9731,2
Rose,F,'roʊz,1,9351,1
Martha,F,'mɑr θə,10,9263,2
Louise,F,luː 'iːz,01,9180,2
Kenneth,M,'kɛ nɪθ,10,8960,2
Catherine,F,'kæ θɛː ən,100,8887,3
Ralph,M,'rælf,1,8860,1
Gladys,F,'glæ dɪs,10,8813,2
Jean,F,'ʤiːn,1,8593,1
Ruby,F,'ruː biː,10,8333,2
Edna,F,'ɛd nʌ,10,8303,2
Josephine,F,'ʤoʊ sə `fiːn,101,8132,3
Eleanor,F,'ɛ lə nɔːr,100,8053,3
Thelma,F,'θɛl mə,10,7840,2
Warren,M,'wɔː rən,10,7797,2
