name,gender,IPA,IPA_stress,counts,n_syllables
Linda,F,'lɪn də,10,96209,2
James,M,'ʤeɪmz,1,88588,1
Robert,M,'rɑ bɛːt,10,85467,2
John,M,'ʤɑn,1,82830,1
Mary,F,'mɛ riː,10,68596,2
William,M,'wɪl jəm,10,61964,2
David,M,'deɪ vɪd,10,56616,2
Michael,M,'maɪ kəl,10,52565,2
Richard,M,'rɪ ʧɛːd,10,50970,2
Barbara,F,'bɑr bɛː ə,100,46827,3
Patricia,F,pə 'trɪ ʃə,010,46134,3
Thomas,M,'tɑ məs,10,43778,2
Charles,M,'ʧɑrlz,1,38677,1
Susan,F,'suː zən,10,35985,2
Ronald,M,'rɑ nəld,10,33516,2
Larry,M,'lɛ riː,10,33429,2
Sandra,F,'sæn drə,10,31060,2
Nancy,F,'næn siː,10,29411,2
Carol,F,'kæ rəl,10,28979,2
Gary,M,'gɛ riː,10,28390,2
Joseph,M,'ʤoʊ səf,10,26804,2
Donald,M,'dɑ nəld,10,26442,2
Sharon,F,'ʃæ rən,10,26141,2
Kenneth,M,'kɛ nɪθ,10,23548,2
Kathleen,F,kæθ 'liːn,01,23258,2
Donna,F,'dɑ nʌ,10,22030,2
Karen,F,'kɛ rən,10,21996,2
George,M,'ʤɔːrʤ,1,21922,1
Dennis,M,'dɛ nɪs,10,21756,2
Paul,M,'pɔːl,1,21246,1
Edward,M,'ɛ dwɛːd,10,18977,2
Margaret,F,'mɑr gɛː ɪt,100,18872,3
Carolyn,F,'kɛ rə lɪn,100,18617,3
Judith,F,'ʤuː dəθ,10,17786,2
Judy,F,'ʤuː diː,10,17702,2
Brenda,F,'brɛn də,10,17695,2
Stephen,M,'stiː vən,10,17057,2
Jerry,M,'ʤɛ riː,10,16806,2
Betty,F,'bɛ tiː,10,16621,2
Diane,F,daɪ 'æn,01,16605,2
Daniel,M,'dæ njəl,10,16508,2
Shirley,F,'ʃɛː liː,10,16128,2
Steven,M,'stiː vən,10,15979,2
Joyce,F,'ʤɔɪs,1,14379,1
Pamela,F,'pæ mə lə,100,14279,3
Janice,F,'ʤæ nəs,10,14161,2
Janet,F,'ʤæ nət,10,13979,2
Cheryl,F,'ʃɛ rəl,10,13221,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,13211,4
Roger,M,'rɑ ʤɛː,10,12813,2
Frank,M,'fræŋk,1,12695,1
Cynthia,F,'sɪn θiː ə,100,12241,3
Terry,M,'tɛ riː,10,12132,2
Gloria,F,'glɔː riː ə,100,11687,3
Raymond,M,'reɪ mənd,10,11612,2
Dorothy,F,'dɔː rə θiː,100,11324,3
Deborah,F,'dɛ bɛː ə,100,11245,3
Bruce,M,'bruːs,1,11064,1
Beverly,F,'bɛ vɛː liː,100,10796,3
Mark,M,'mɑrk,1,10268,1
Martha,F,'mɑr θə,10,10006,2
Marilyn,F,'mɛ rə lən,100,9935,3
Gerald,M,'ʤɛ rəld,10,9845,2
Bonnie,F,'bɑ niː,10,9817,2
Lawrence,M,'lɔː rəns,10,9762,2
Gregory,M,'grɛ gɛː iː,100,9724,3
Christine,F,krɪ 'stiːn,01,9679,2
Douglas,M,'də gləs,10,9467,2
Virginia,F,vɛː 'ʤɪ njə,010,9298,3
Joan,F,'ʤoʊn,1,9272,1
Peggy,F,'pɛ giː,10,9088,2
Jane,F,'ʤeɪn,1,8781,1
Wayne,M,'weɪn,1,8682,1
Walter,M,'wɔːl tɛː,10,8626,2
Helen,F,'hɛ lən,10,8304,2
Catherine,F,'kæ θɛː ən,100,8245,3
Frances,F,'fræn sɪs,10,8177,2
Harold,M,'hɛ rəld,10,8142,2
Connie,F,'kɔː niː,10,8054,2
Peter,M,'piː tɛː,10,8050,2
Timothy,M,'tɪ mə θiː,100,8038,3
Ann,F,'æn,1,8024,1
Danny,M,'dæ niː,10,8006,2
Willie,M,'wɪ liː,10,7968,2
Ruth,F,'ruːθ,1,7904,1
Anthony,M,'æn θə niː,100,7881,3
Phyllis,F,'fɪ lɪs,10,7875,2
Carl,M,'kɑrl,1,7829,1
Jean,F,'ʤiːn,1,7773,1
Diana,F,daɪ 'æ nʌ,010,7702,3
Jack,M,'ʤæk,1,7612,1
Arthur,M,'ɑr θɛː,10,7583,2
Henry,M,'hɛn riː,10,7420,2
Alan,M,'æ lən,10,7394,2
Joe,M,'ʤoʊ,1,7289,1
Patrick,M,'pæ trɪk,10,7190,2
Roy,M,'rɔɪ,1,7065,1
Alice,F,'æ ləs,10,6982,2
Jimmy,M,'ʤɪ miː,10,6923,2
Ralph,M,'rælf,1,6910,1
Johnny,M,'ʤɑ niː,10,6858,2
Rebecca,F,rə 'bɛ kə,010,6795,3
Gail,F,'geɪl,1,6604,1
Paula,F,'pɔː lə,10,6597,2
Elaine,F,ɪ 'leɪn,01,6399,2
Billy,M,'bɪ liː,10,6218,2
Kathryn,F,'kæ θrɪn,10,6176,2
Philip,M,'fɪ ləp,10,6161,2
Albert,M,'æl bɛːt,10,6156,2
Kathy,F,'kæ θiː,10,6148,2
Dale,M,'deɪl,1,6088,1
Jo,F,'ʤoʊ,1,5984,1
Harry,M,'hɛ riː,10,5945,2
Jeffrey,M,'ʤɛ friː,10,5928,2
Wanda,F,'wɑn də,10,5918,2
Ronnie,M,'rɑ niː,10,5900,2
Jacqueline,F,'ʤæ kwə lɪn,100,5838,3
Rita,F,'riː tʌ,10,5835,2
Marie,F,mɛː 'iː,01,5785,2
Steve,M,'stiːv,1,5741,1
Sherry,F,'ʃɛ riː,10,5717,2
Eugene,M,juː 'ʤiːn,01,5604,2
Bobby,M,'bɑ biː,10,5579,2
Theresa,F,tɛː 'iː sə,010,5556,3
Rose,F,'roʊz,1,5555,1
Doris,F,'dɔː rəs,10,5547,2
Joanne,F,`ʤoʊ 'æn,11,5498,2
Howard,M,'haʊ ɛːd,10,5497,2
Suzanne,F,suː 'zæn,01,5449,2
Louis,M,'luː ɪs,10,5384,2
Stanley,M,'stæn liː,10,5383,2
Fred,M,'frɛd,1,5380,1
Ellen,F,'ɛ lən,10,5289,2
Katherine,F,'kæ θɛː ɪn,100,5170,3
Charlotte,F,'ʃɑr lət,10,5165,2
Russell,M,'rə səl,10,5111,2
Lois,F,'loʊ əs,10,5075,2
Mike,M,'maɪk,1,5047,1
Sheila,F,'ʃiː lə,10,5022,2
Phillip,M,'fɪ lɪp,10,5018,2
Sally,F,'sæ liː,10,5009,2
Samuel,M,'sæ mjuːl,10,5001,2
Laura,F,'lɔː rə,10,4901,2
Evelyn,F,'ɛ və lən,100,4844,3
Maria,F,mɛː 'iː ə,010,4814,3
Leonard,M,'lɛ nɛːd,10,4780,2
Allen,M,'æ lən,10,4760,2
Glenn,M,'glɛn,1,4744,1
Marsha,F,'mɑr ʃə,10,4724,2
Darlene,F,'dɑr `liːn,11,4693,2
Sue,F,'suː,1,4673,1
Barry,M,'bæ riː,10,4668,2
Marcia,F,'mɑr ʃə,10,4641,2
Lynn,F,'lɪn,1,4608,1
Frederick,M,'frɛ drɪk,10,4515,2
Ernest,M,'ɛː nəst,10,4513,2
Vicki,F,'vɪ kiː,10,4365,2
Andrew,M,'æn druː,10,4307,2
Eddie,M,'ɛ diː,10,4236,2
Tommy,M,'tɑ miː,10,4220,2
Teresa,F,tɛː 'iː sə,010,4217,3
Francis,M,'fræn səs,10,4213,2
Geraldine,F,ʤɛ rəl 'diːn,001,4211,3
Lynda,F,'lɪn də,10,4167,2
Sarah,F,'sɛ rə,10,4157,2
Dianne,F,daɪ 'æn,01,4138,2
Anne,F,'æn,1,4122,1
Maureen,F,mɔː 'riːn,01,4078,2
Melvin,M,'mɛl vɪn,10,4055,2
Anna,F,'æ nʌ,10,4038,2
Craig,M,'kreɪg,1,3986,1
Earl,M,'ɛːl,1,3977,1
Bill,M,'bɪl,1,3927,1
Norman,M,'nɔːr mən,10,3894,2
Rosemary,F,'roʊz `mɛ riː,110,3869,3
Eileen,F,aɪ 'liːn,01,3838,2
Glenda,F,'glɛn də,10,3831,2
Constance,F,'kɑn stəns,10,3812,2
Jim,M,'ʤɪm,1,3808,1
Joann,F,`ʤoʊ 'æn,11,3799,2
Clarence,M,'klɛ rəns,10,3793,2
Jeanne,F,'ʤiːn,1,3788,1
Lorraine,F,lɛː 'eɪn,01,3744,2
Annie,F,'æ niː,10,3718,2
Patsy,F,'pæt siː,10,3714,2
Martin,M,'mɑr tən,10,3699,2
Louise,F,luː 'iːz,01,3683,2
Sylvia,F,'sɪl viː ə,100,3671,3
Roberta,F,rə 'bɛː tʌ,010,3667,3
Keith,M,'kiːθ,1,3661,1
Marvin,M,'mɑr vɪn,10,3626,2
Anita,F,ə 'niː tʌ,010,3615,3
Norma,F,'nɔːr mə,10,3590,2
Cathy,F,'kæ θiː,10,3562,2
Don,M,'dɑn,1,3545,1
Charlene,F,ʃɑr 'liːn,01,3487,2
Rodney,M,'rɑd niː,10,3464,2
Lee,M,'liː,1,3444,1
Tom,M,'tɑm,1,3431,1
Brian,M,'braɪ ən,10,3357,2
Carole,F,'kæ rəl,10,3313,2
Alfred,M,'æl frəd,10,3245,2
Leroy,M,'liː `rɔɪ,11,3232,2
Juanita,F,wɑ 'niː tʌ,010,3207,3
Randall,M,'ræn dəl,10,3180,2
Randy,M,'ræn diː,10,3141,2
Ray,M,'reɪ,1,3133,1
Victoria,F,vɪk 'tɔː riː ə,0100,3132,4
Curtis,M,'kɛː təs,10,3090,2
Marlene,F,'mɑr `liːn,11,3053,2
Marjorie,F,'mɑr ʤɛː iː,100,3048,3
Yvonne,F,ɪ 'vɑn,01,3043,2
Irene,F,aɪ 'riːn,01,3043,2
Christopher,M,'krɪ stə fɛː,100,3038,3
Kay,F,'keɪ,1,2943,1
Ruby,F,'ruː biː,10,2894,2
Herbert,M,'hɛː bɛːt,10,2871,2
Loretta,F,lɛː 'ɛ tʌ,010,2868,3
Delores,F,də 'lɔː rɪs,010,2839,3
Theodore,M,'θiː ə `dɔːr,101,2827,3
Julie,F,'ʤuː liː,10,2794,2
Clifford,M,'klɪ fɛːd,10,2793,2
Vincent,M,'vɪn sənt,10,2790,2
Julia,F,'ʤuːl jʌ,10,2776,2
Dolores,F,də 'lɔː rɪs,010,2761,3
Mildred,F,'mɪl drɪd,10,2756,2
Janis,F,'ʤæ nɪs,10,2745,2
Bernard,M,bɛː 'nɑrd,01,2715,2
Jesse,M,'ʤɛ siː,10,2702,2
Warren,M,'wɔː rən,10,2656,2
