name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,66964,2
Jennifer,F,'ʤɛ nʌ fɛː,100,59474,3
Jason,M,'ʤeɪ sən,10,52681,2
Christopher,M,'krɪ stə fɛː,100,45213,3
David,M,'deɪ vɪd,10,39299,2
James,M,'ʤeɪmz,1,38306,1
John,M,'ʤɑn,1,34008,1
Robert,M,'rɑ bɛːt,10,33809,2
Amy,F,'eɪ miː,10,31341,2
Brian,M,'braɪ ən,10,30535,2
Matthew,M,'mæ θjuː,10,29982,2
Melissa,F,mə 'lɪ sə,010,25093,3
Daniel,M,'dæ njəl,10,24718,2
William,M,'wɪl jəm,10,24447,2
Heather,F,'hɛ ðɛː,10,24199,2
Joseph,M,'ʤoʊ səf,10,24072,2
Angela,F,'æn ʤə lə,100,22041,3
Eric,M,'ɛ rɪk,10,21375,2
Jeremy,M,'ʤɛ rə miː,100,20138,3
Michelle,F,mɪ 'ʃɛl,01,19555,2
Kimberly,F,'kɪm bɛː liː,100,18967,3
Kevin,M,'kɛ vɪn,10,18482,2
Jessica,F,'ʤɛ sɪ kə,100,18368,3
Ryan,M,'raɪ ən,10,17501,2
Lisa,F,'liː sə,10,17350,2
Jeffrey,M,'ʤɛ friː,10,17025,2
Joshua,M,'ʤɑ ʃuː ə,100,16867,3
Richard,M,'rɪ ʧɛːd,10,16764,2
Steven,M,'stiː vən,10,16661,2
Timothy,M,'tɪ mə θiː,100,16630,3
Anthony,M,'æn θə niː,100,16612,3
Thomas,M,'tɑ məs,10,16125,2
Scott,M,'skɑt,1,15736,1
Amanda,F,ə 'mæn də,010,15591,3
Mark,M,'mɑrk,1,15517,1
Stephanie,F,'stɛ fə niː,100,15179,3
Rebecca,F,rə 'bɛ kə,010,14491,3
Nicole,F,nɪ 'koʊl,01,14452,2
Christina,F,krɪ 'stiː nʌ,010,14034,3
Sarah,F,'sɛ rə,10,13993,2
Charles,M,'ʧɑrlz,1,13937,1
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,13548,4
Shannon,F,'ʃæ nən,10,13372,2
Andrew,M,'æn druː,10,13317,2
Jamie,F,'ʤeɪ miː,10,12539,2
Kelly,F,'kɛ liː,10,11791,2
Paul,M,'pɔːl,1,11787,1
Chad,M,'ʧæd,1,11776,1
Aaron,M,'ɛ rən,10,11351,2
Jonathan,M,'ʤɑ nʌ θʌn,100,11320,3
Laura,F,'lɔː rə,10,11253,2
Julie,F,'ʤuː liː,10,10841,2
Benjamin,M,'bɛn ʤə mən,100,10680,3
Mary,F,'mɛ riː,10,10318,2
Justin,M,'ʤə stən,10,10157,2
Shawn,M,'ʃɔːn,1,10107,1
Gregory,M,'grɛ gɛː iː,100,10062,3
Adam,M,'æ dəm,10,9945,2
Stephen,M,'stiː vən,10,9730,2
Kenneth,M,'kɛ nɪθ,10,9134,2
Nathan,M,'neɪ θʌn,10,8616,2
Rachel,F,'reɪ ʧəl,10,8456,2
Erin,F,'ɛ rɪn,10,8384,2
Andrea,F,'æn driː ə,100,8351,3
Christine,F,krɪ 'stiːn,01,8110,2
Sara,F,'sɛ rə,10,8024,2
Carrie,F,'kɛ riː,10,7992,2
Jaime,F,'haɪ miː,10,7836,2
Brandon,M,'bræn dən,10,7792,2
April,F,'eɪ prəl,10,7762,2
Patrick,M,'pæ trɪk,10,7641,2
Sean,M,'ʃɔːn,1,7578,1
Karen,F,'kɛ rən,10,7503,2
Tiffany,F,'tɪ fə niː,100,7484,3
Danielle,F,`dæ niː 'ɛl,101,7363,3
Maria,F,mɛː 'iː ə,010,7348,3
Bryan,M,'braɪ ən,10,7292,2
Edward,M,'ɛ dwɛːd,10,7054,2
Jose,M,`hoʊ 'zeɪ,11,7053,2
Dawn,F,'dɔːn,1,7049,1
Crystal,F,'krɪ stəl,10,6945,2
Travis,M,'træ vɪs,10,6835,2
Tracy,F,'treɪ siː,10,6824,2
Donald,M,'dɑ nəld,10,6799,2
Keith,M,'kiːθ,1,6750,1
Stacy,F,'steɪ siː,10,6524,2
Wendy,F,'wɛn diː,10,6467,2
Ronald,M,'rɑ nəld,10,6461,2
Todd,M,'tɑd,1,6441,1
Susan,F,'suː zən,10,6406,2
Tammy,F,'tæ miː,10,6227,2
Tara,F,'tɛ rə,10,6024,2
Patricia,F,pə 'trɪ ʃə,010,6017,3
Cynthia,F,'sɪn θiː ə,100,6014,3
Bradley,M,'bræd liː,10,5982,2
Monica,F,'mɑ nɪ kə,100,5981,3
Misty,F,'mɪ stiː,10,5906,2
Lori,F,'lɔː riː,10,5847,2
Tina,F,'tiː nʌ,10,5747,2
Amber,F,'æm bɛː,10,5648,2
Gary,M,'gɛ riː,10,5593,2
George,M,'ʤɔːrʤ,1,5562,1
Emily,F,'ɛ mɪ liː,100,5547,3
Peter,M,'piː tɛː,10,5447,2
Stacey,F,'steɪ siː,10,5389,2
Jesse,M,'ʤɛ siː,10,5304,2
Jill,F,'ʤɪl,1,5284,1
Melanie,F,'mɛ lə niː,100,5240,3
Erica,F,'ɛ rɪ kə,100,5234,3
Douglas,M,'də gləs,10,5234,2
Brandy,F,'bræn diː,10,5233,2
Holly,F,'hɑ liː,10,5176,2
Shane,M,'ʃeɪn,1,5098,1
Katherine,F,'kæ θɛː ɪn,100,5056,3
Juan,M,'wɑn,1,5052,1
Samuel,M,'sæ mjuːl,10,5028,2
Tonya,F,'tɑ njə,10,4965,2
Sandra,F,'sæn drə,10,4862,2
Christy,F,'krɪ stiː,10,4851,2
Larry,M,'lɛ riː,10,4843,2
Tanya,F,'tɑ njə,10,4820,2
Craig,M,'kreɪg,1,4739,1
Jamie,M,'ʤeɪ miː,10,4621,2
Jacob,M,'ʤeɪ kəb,10,4512,2
Megan,F,'meɪ gən,10,4465,2
Michele,F,mɪ 'ʃɛl,01,4443,2
Corey,M,'kɔː riː,10,4438,2
Dana,F,'deɪ nʌ,10,4408,2
Leslie,F,'lɛ sliː,10,4310,2
Raymond,M,'reɪ mənd,10,4219,2
Dennis,M,'dɛ nɪs,10,4171,2
Jerry,M,'ʤɛ riː,10,4070,2
Teresa,F,tɛː 'iː sə,010,4055,3
Allison,F,'æ lə sən,100,4032,3
Veronica,F,vɛː 'ɑ nɪ kə,0100,4021,4
Denise,F,dɪ 'niːs,01,3991,2
Frank,M,'fræŋk,1,3900,1
Heidi,F,'haɪ diː,10,3891,2
Alicia,F,ə 'lɪ ʃə,010,3792,3
Phillip,M,'fɪ lɪp,10,3791,2
Carlos,M,'kɑr loʊs,10,3786,2
Catherine,F,'kæ θɛː ən,100,3782,3
Antonio,M,æn 'toʊ niː oʊ,0100,3774,4
Joel,M,'ʤoʊ əl,10,3725,2
Troy,M,'trɔɪ,1,3715,1
Marcus,M,'mɑr kəs,10,3686,2
Terry,M,'tɛ riː,10,3668,2
Kristen,F,'krɪ sən,10,3654,2
Kristin,F,'krɪ stɪn,10,3628,2
Robin,F,'rɑ bən,10,3623,2
Courtney,F,'kɔːrt niː,10,3621,2
Brenda,F,'brɛn də,10,3585,2
Anna,F,'æ nʌ,10,3583,2
Jeffery,M,'ʤɛ fɛː iː,100,3567,3
Brandi,F,'bræn diː,10,3537,2
Natalie,F,'næ tʌ liː,100,3502,3
Nicholas,M,'nɪ kə ləs,100,3476,3
Sharon,F,'ʃæ rən,10,3453,2
Kathleen,F,kæθ 'liːn,01,3408,2
Brent,M,'brɛnt,1,3407,1
Valerie,F,'væ lɛː iː,100,3387,3
Pamela,F,'pæ mə lə,100,3367,3
Samantha,F,sə 'mæn θə,010,3353,3
Randy,M,'ræn diː,10,3318,2
Renee,F,rə 'neɪ,01,3316,2
Kyle,M,'kaɪl,1,3309,1
