name,gender,IPA,IPA_stress,counts,n_syllables
Emma,F,'ɛ mə,10,20924,2
Olivia,F,oʊ 'lɪ viː ə,0100,19791,4
Noah,M,'noʊ ə,10,19286,2
Sophia,F,soʊ 'fiː ə,010,18598,3
Liam,M,'liː əm,10,18451,2
Mason,M,'meɪ sən,10,17192,2
Isabella,F,`ɪ zʌ 'bɛ lə,1010,17068,4
Jacob,M,'ʤeɪ kəb,10,16869,2
William,M,'wɪl jəm,10,16809,2
Ethan,M,'iː θʌn,10,15713,2
Ava,F,'eɪ və,10,15688,2
Michael,M,'maɪ kəl,10,15440,2
Alexander,M,`æ ləg 'zæn dɛː,1010,15406,4
James,M,'ʤeɪmz,1,14420,1
Daniel,M,'dæ njəl,10,13931,2
Elijah,M,ɛ 'laɪ ʤə,010,13813,3
Benjamin,M,'bɛn ʤə mən,100,13790,3
Logan,M,'loʊ gən,10,13637,2
Mia,F,'miː ə,10,13506,2
Matthew,M,'mæ θjuː,10,12898,2
Emily,F,'ɛ mɪ liː,100,12642,3
Jackson,M,'ʤæk sən,10,12210,2
David,M,'deɪ vɪd,10,12195,2
Lucas,M,'luː kəs,10,12151,2
Joseph,M,'ʤoʊ səf,10,12106,2
Abigail,F,'æ bə `geɪl,101,12076,3
Anthony,M,'æn θə niː,100,11571,3
Andrew,M,'æn druː,10,11151,2
Samuel,M,'sæ mjuːl,10,10987,2
Gabriel,M,'geɪ briː əl,100,10912,3
Joshua,M,'ʤɑ ʃuː ə,100,10884,3
John,M,'ʤɑn,1,10687,1
Carter,M,'kɑr tɛː,10,10671,2
Luke,M,'luːk,1,10503,1
Dylan,M,'dɪ lən,10,10403,2
Christopher,M,'krɪ stə fɛː,100,10350,3
Madison,F,'mæ də sən,100,10315,3
Charlotte,F,'ʃɑr lət,10,10111,2
Isaac,M,'aɪ zək,10,9971,2
Harper,F,'hɑr pɛː,10,9606,2
Sofia,F,soʊ 'fiː ə,010,9591,3
Avery,F,'eɪ vɛː iː,100,9563,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,9557,4
Oliver,M,'ɑ lə vɛː,100,9428,3
Henry,M,'hɛn riː,10,9428,2
Sebastian,M,sə 'bæs ʧən,010,9303,3
Caleb,M,'keɪ ləb,10,9215,2
Owen,M,'oʊ ən,10,9143,2
Ryan,M,'raɪ ən,10,9080,2
Nathan,M,'neɪ θʌn,10,8967,2
Wyatt,M,'waɪ ət,10,8866,2
Hunter,M,'hən tɛː,10,8808,2
Amelia,F,ə 'miːl jʌ,010,8789,3
Jack,M,'ʤæk,1,8742,1
Evelyn,F,'ɛ və lən,100,8739,3
Ella,F,'ɛ lə,10,8547,2
Chloe,F,'kloʊ iː,10,8533,2
Christian,M,'krɪs ʧən,10,8448,2
Landon,M,'læn dən,10,8223,2
Jonathan,M,'ʤɑ nʌ θʌn,100,8102,3
Levi,M,'liː vaɪ,10,8043,2
Victoria,F,vɪk 'tɔː riː ə,0100,7991,4
Julian,M,'ʤuː liː ən,100,7665,3
Grace,F,'greɪs,1,7634,1
Aubrey,F,'ɔː briː,10,7621,2
Isaiah,M,`aɪ 'zeɪ ə,110,7609,3
Eli,M,'iː laɪ,10,7483,2
Aaron,M,'ɛ rən,10,7391,2
Charles,M,'ʧɑrlz,1,7339,1
Connor,M,'kɑ nɛː,10,7223,2
Natalie,F,'næ tʌ liː,100,7098,3
Cameron,M,'kæ mɛː ən,100,7048,3
Thomas,M,'tɑ məs,10,7026,2
Addison,F,'æ də sən,100,6983,3
Lillian,F,'lɪ liː ən,100,6909,3
Jeremiah,M,`ʤɛ rə 'maɪ ə,1010,6866,4
Jordan,M,'ʤɔːr dən,10,6860,2
Brooklyn,F,'brʊ klən,10,6809,2
Lily,F,'lɪ liː,10,6768,2
Nicholas,M,'nɪ kə ləs,100,6761,3
Evan,M,'ɛ vən,10,6712,2
Adrian,M,'eɪ driː ən,100,6687,3
Robert,M,'rɑ bɛːt,10,6633,2
Gavin,M,'gæ vɪn,10,6614,2
Hannah,F,'hæ nʌ,10,6579,2
Grayson,M,'greɪ sən,10,6569,2
Josiah,M,ʤoʊ 'saɪ ə,010,6451,3
Colton,M,'koʊl tən,10,6383,2
Austin,M,'ɔː stən,10,6303,2
Angel,M,'eɪn ʤəl,10,6301,2
Dominic,M,'dɑ mə nɪk,100,6246,3
Scarlett,F,'skɑr lɪt,10,6003,2
Aria,F,'ɑ riː ə,100,5918,3
Kevin,M,'kɛ vɪn,10,5891,2
Zoe,F,'zoʊ iː,10,5870,2
Brandon,M,'bræn dən,10,5837,2
Tyler,M,'taɪ lɛː,10,5826,2
Samantha,F,sə 'mæn θə,010,5723,3
Parker,M,'pɑr kɛː,10,5708,2
Anna,F,'æ nʌ,10,5679,2
Leah,F,'liː ə,10,5601,2
Audrey,F,'ɔː driː,10,5562,2
Jason,M,'ʤeɪ sən,10,5550,2
Ariana,F,ɑ riː 'æ nʌ,0010,5489,4
Jose,M,`hoʊ 'zeɪ,11,5476,2
Savannah,F,sə 'væ nʌ,010,5472,3
Allison,F,'æ lə sən,100,5467,3
Ian,M,'iː ən,10,5452,2
Chase,M,'ʧeɪs,1,5353,1
Adam,M,'æ dəm,10,5325,2
Arianna,F,ɑ riː 'æ nʌ,0010,5263,4
Hudson,M,'hʌd sən,10,5238,2
Nolan,M,'noʊ lən,10,5201,2
Zachary,M,'zæ kɛː iː,100,5176,3
Gabriella,F,gɑ briː 'ɛ lə,0010,5093,4
Penelope,F,pə 'nɛ lə piː,0100,5082,4
Claire,F,'klɛr,1,5012,1
Easton,M,'iː stən,10,4983,2
Blake,M,'bleɪk,1,4942,1
Sadie,F,'sæ diː,10,4857,2
Cooper,M,'kuː pɛː,10,4839,2
Lincoln,M,'lɪŋ kən,10,4816,2
Riley,F,'raɪ liː,10,4790,2
Xavier,M,'zeɪ vjɛː,10,4767,2
Bentley,M,'bɛnt liː,10,4759,2
Nora,F,'nɔː rə,10,4738,2
Sarah,F,'sɛ rə,10,4700,2
Carson,M,'kɑr sən,10,4613,2
Hailey,F,'heɪ liː,10,4611,2
Paisley,F,'peɪz liː,10,4493,2
Kennedy,F,'kɛ nʌ diː,100,4489,3
Ellie,F,'ɛ liː,10,4476,2
Peyton,F,'peɪ tən,10,4446,2
Annabelle,F,'æ nʌ bəl,100,4354,3
Caroline,F,'kɛ rə `laɪn,101,4343,3
Serenity,F,sɛː 'ɛ nʌ tiː,0100,4323,4
Asher,M,'æ ʃɛː,10,4319,2
Brody,M,'broʊ diː,10,4317,2
Madelyn,F,'mæ dɪ lɪn,100,4307,3
Nathaniel,M,nʌ 'θæ njəl,010,4303,3
Lucy,F,'luː siː,10,4293,2
Alexa,F,ə 'lɛk sə,010,4245,3
Alexis,F,ə 'lɛk sɪs,010,4229,3
Stella,F,'stɛ lə,10,4194,2
Violet,F,'vaɪ ə lɪt,100,4181,3
Genesis,F,'ʤɛ nʌ səs,100,4161,3
Mackenzie,F,mə 'kɛn ziː,010,4149,3
Ryder,M,'raɪ dɛː,10,4100,2
Bella,F,'bɛ lə,10,4083,2
Autumn,F,'ɔː təm,10,4062,2
Justin,M,'ʤə stən,10,4022,2
Leo,M,'liː oʊ,10,3963,2
Maya,F,'maɪ ə,10,3947,2
Tristan,M,'trɪ `stæn,11,3907,2
Juan,M,'wɑn,1,3899,1
Luis,M,luː 'iːs,01,3898,2
Camden,M,'kæm dən,10,3890,2
Damian,M,'deɪ miː ən,100,3875,3
Piper,F,'paɪ pɛː,10,3862,2
Alyssa,F,ə 'lɪ sə,010,3828,3
Taylor,F,'teɪ lɛː,10,3808,2
Elias,M,ə 'laɪ əs,010,3775,3
Vincent,M,'vɪn sənt,10,3757,2
Mateo,M,mɑ 'teɪ oʊ,010,3739,3
Eleanor,F,'ɛ lə nɔːr,100,3735,3
Maxwell,M,'mæk `swɛl,11,3731,2
Faith,F,'feɪθ,1,3714,1
Naomi,F,neɪ 'oʊ miː,010,3702,3
Melanie,F,'mɛ lə niː,100,3693,3
Miles,M,'maɪlz,1,3680,1
Eva,F,'eɪ və,10,3678,2
Katherine,F,'kæ θɛː ɪn,100,3676,3
Micah,M,'maɪ kə,10,3655,2
Lydia,F,'lɪ diː ə,100,3638,3
Brianna,F,briː 'æ nʌ,010,3604,3
Julia,F,'ʤuːl jʌ,10,3597,2
Sawyer,M,'sɔː jɛː,10,3591,2
Ashley,F,'æ ʃliː,10,3554,2
Jesus,M,'ʤiː zəs,10,3518,2
Max,M,'mæks,1,3492,1
Roman,M,'roʊ mən,10,3467,2
Leonardo,M,`liː ə 'nɑr doʊ,1010,3446,4
Madeline,F,'mæ də lɪn,100,3441,3
Santiago,M,`sæn tiː 'ɑ goʊ,1010,3423,4
Cole,M,'koʊl,1,3422,1
Ruby,F,'ruː biː,10,3422,2
Carlos,M,'kɑr loʊs,10,3420,2
Bryson,M,'braɪ sən,10,3417,2
Ezra,M,'ɛz rə,10,3410,2
Sophie,F,'soʊ fiː,10,3386,2
Braxton,M,'bræk stən,10,3348,2
Brantley,M,'brænt liː,10,3346,2
Alexandra,F,`æ lɛg 'zæn drə,1010,3310,4
Eric,M,'ɛ rɪk,10,3309,2
London,F,'lən dən,10,3283,2
Giovanni,M,`ʤiː oʊ 'vɑ niː,1010,3239,4
Theodore,M,'θiː ə `dɔːr,101,3223,3
Harrison,M,'hɛ rɪ sən,100,3202,3
Alex,M,'æ ləks,10,3176,2
Diego,M,diː 'eɪ goʊ,010,3170,3
