name,gender,IPA,IPA_stress,counts,n_syllables
Jacob,M,'ʤeɪ kəb,10,27879,2
Michael,M,'maɪ kəl,10,25454,2
Emily,F,'ɛ mɪ liː,100,25033,3
Joshua,M,'ʤɑ ʃuː ə,100,24199,3
Matthew,M,'mæ θjuː,10,22873,2
Ethan,M,'iː θʌn,10,22204,2
Andrew,M,'æn druː,10,21699,2
Emma,F,'ɛ mə,10,21606,2
Daniel,M,'dæ njəl,10,20979,2
Madison,F,'mæ də sən,100,20622,3
William,M,'wɪl jəm,10,20223,2
Joseph,M,'ʤoʊ səf,10,20123,2
Christopher,M,'krɪ stə fɛː,100,19626,3
Anthony,M,'æn θə niː,100,19603,3
Ryan,M,'raɪ ən,10,19491,2
Nicholas,M,'nɪ kə ləs,100,18514,3
David,M,'deɪ vɪd,10,18385,2
Alexander,M,`æ ləg 'zæn dɛː,1010,17922,4
Tyler,M,'taɪ lɛː,10,17442,2
James,M,'ʤeɪmz,1,16460,1
John,M,'ʤɑn,1,16447,1
Olivia,F,oʊ 'lɪ viː ə,0100,16105,4
Hannah,F,'hæ nʌ,10,15604,2
Abigail,F,'æ bə `geɪl,101,15424,3
Isabella,F,`ɪ zʌ 'bɛ lə,1010,15016,4
Dylan,M,'dɪ lən,10,14847,2
Nathan,M,'neɪ θʌn,10,14627,2
Ashley,F,'æ ʃliː,10,14372,2
Jonathan,M,'ʤɑ nʌ θʌn,100,14363,3
Brandon,M,'bræn dən,10,14129,2
Samuel,M,'sæ mjuːl,10,14106,2
Christian,M,'krɪs ʧən,10,13916,2
Benjamin,M,'bɛn ʤə mən,100,13818,3
Samantha,F,sə 'mæn θə,010,13782,3
Zachary,M,'zæ kɛː iː,100,13711,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,13560,4
Alexis,F,ə 'lɛk sɪs,010,13470,3
Logan,M,'loʊ gən,10,13140,2
Sarah,F,'sɛ rə,10,12735,2
Grace,F,'greɪs,1,12531,1
Jose,M,`hoʊ 'zeɪ,11,12178,2
Alyssa,F,ə 'lɪ sə,010,12103,3
Noah,M,'noʊ ə,10,11904,2
Justin,M,'ʤə stən,10,11873,2
Elijah,M,ɛ 'laɪ ʤə,010,11707,3
Gabriel,M,'geɪ briː əl,100,11555,3
Caleb,M,'keɪ ləb,10,11299,2
Kevin,M,'kɛ vɪn,10,11217,2
Sophia,F,soʊ 'fiː ə,010,10915,3
Austin,M,'ɔː stən,10,10744,2
Robert,M,'rɑ bɛːt,10,10675,2
Thomas,M,'tɑ məs,10,10497,2
Connor,M,'kɑ nɛː,10,10047,2
Lauren,F,'lɔː rən,10,9981,2
Evan,M,'ɛ vən,10,9980,2
Aidan,M,ɑ 'iː dɑn,010,9821,3
Brianna,F,briː 'æ nʌ,010,9800,3
Kayla,F,'keɪ lə,10,9768,2
Natalie,F,'næ tʌ liː,100,9687,3
Luke,M,'luːk,1,9593,1
Jack,M,'ʤæk,1,9578,1
Jordan,M,'ʤɔːr dən,10,9554,2
Anna,F,'æ nʌ,10,9514,2
Angel,M,'eɪn ʤəl,10,9511,2
Jessica,F,'ʤɛ sɪ kə,100,9471,3
Taylor,F,'teɪ lɛː,10,9303,2
Isaiah,M,`aɪ 'zeɪ ə,110,9255,3
Isaac,M,'aɪ zək,10,9175,2
