name,gender,IPA,IPA_stress,counts,n_syllables
Jacob,M,'ʤeɪ kəb,10,35361,2
Michael,M,'maɪ kəl,10,33912,2
Matthew,M,'mæ θjuː,10,30415,2
Joshua,M,'ʤɑ ʃuː ə,100,27258,3
Emily,F,'ɛ mɪ liː,100,26539,3
Nicholas,M,'nɪ kə ləs,100,25638,3
Christopher,M,'krɪ stə fɛː,100,25603,3
Andrew,M,'æn druː,10,23854,2
Joseph,M,'ʤoʊ səf,10,23210,2
Daniel,M,'dæ njəl,10,22689,2
Tyler,M,'taɪ lɛː,10,22664,2
Hannah,F,'hæ nʌ,10,21673,2
Brandon,M,'bræn dən,10,21599,2
Ryan,M,'raɪ ən,10,21011,2
Austin,M,'ɔː stən,10,20767,2
William,M,'wɪl jəm,10,20708,2
John,M,'ʤɑn,1,20346,1
David,M,'deɪ vɪd,10,20331,2
Zachary,M,'zæ kɛː iː,100,19981,3
Anthony,M,'æn θə niː,100,19470,3
Alexis,F,ə 'lɛk sɪs,010,19234,3
Sarah,F,'sɛ rə,10,19102,2
Samantha,F,sə 'mæn θə,010,19036,3
James,M,'ʤeɪmz,1,18551,1
Justin,M,'ʤə stən,10,18275,2
Ashley,F,'æ ʃliː,10,18136,2
Madison,F,'mæ də sən,100,18053,3
Alexander,M,`æ ləg 'zæn dɛː,1010,17416,4
Jonathan,M,'ʤɑ nʌ θʌn,100,17062,3
Taylor,F,'teɪ lɛː,10,16905,2
Jessica,F,'ʤɛ sɪ kə,100,16348,3
Dylan,M,'dɪ lən,10,15979,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,15341,4
Noah,M,'noʊ ə,10,14920,2
Christian,M,'krɪs ʧən,10,14777,2
Robert,M,'rɑ bɛːt,10,14539,2
Alyssa,F,ə 'lɪ sə,010,14035,3
Samuel,M,'sæ mjuːl,10,14032,2
Lauren,F,'lɔː rən,10,13911,2
Kyle,M,'kaɪl,1,13771,1
Benjamin,M,'bɛn ʤə mən,100,13660,3
Kayla,F,'keɪ lə,10,13289,2
Jordan,M,'ʤɔːr dən,10,13051,2
Thomas,M,'tɑ məs,10,12791,2
Nathan,M,'neɪ θʌn,10,12534,2
Cameron,M,'kæ mɛː ən,100,12435,3
Brianna,F,briː 'æ nʌ,010,12414,3
Kevin,M,'kɛ vɪn,10,12254,2
Megan,F,'meɪ gən,10,12225,2
Jose,M,`hoʊ 'zeɪ,11,12152,2
Victoria,F,vɪk 'tɔː riː ə,0100,11871,4
Emma,F,'ɛ mə,10,11728,2
Abigail,F,'æ bə `geɪl,101,11681,3
Rachel,F,'reɪ ʧəl,10,11624,2
Hunter,M,'hən tɛː,10,11485,2
Ethan,M,'iː θʌn,10,11442,2
Olivia,F,oʊ 'lɪ viː ə,0100,11254,4
Jennifer,F,'ʤɛ nʌ fɛː,100,10613,3
Aaron,M,'ɛ rən,10,9853,2
Amanda,F,ə 'mæn də,010,9742,3
Sydney,F,'sɪd niː,10,9648,2
Morgan,F,'mɔːr gən,10,9606,2
Nicole,F,nɪ 'koʊl,01,9515,2
Eric,M,'ɛ rɪk,10,9379,2
Jason,M,'ʤeɪ sən,10,9362,2
Jasmine,F,'ʤæz mən,10,9351,2
Caleb,M,'keɪ ləb,10,9279,2
Grace,F,'greɪs,1,9178,1
Destiny,F,'dɛ stə niː,100,9172,3
Logan,M,'loʊ gən,10,9135,2
Anna,F,'æ nʌ,10,9098,2
Brian,M,'braɪ ən,10,8805,2
Julia,F,'ʤuːl jʌ,10,8751,2
Adam,M,'æ dəm,10,8223,2
Haley,F,'heɪ liː,10,8202,2
Alexandra,F,`æ lɛg 'zæn drə,1010,8164,4
Natalie,F,'næ tʌ liː,100,8080,3
Brittany,F,'brɪ tʌ niː,100,7942,3
Katherine,F,'kæ θɛː ɪn,100,7933,3
Cody,M,'koʊ diː,10,7863,2
Juan,M,'wɑn,1,7799,1
Stephanie,F,'stɛ fə niː,100,7691,3
Steven,M,'stiː vən,10,7688,2
Connor,M,'kɑ nɛː,10,7597,2
Timothy,M,'tɪ mə θiː,100,7590,3
Charles,M,'ʧɑrlz,1,7524,1
Isaiah,M,`aɪ 'zeɪ ə,110,7499,3
Rebecca,F,rə 'bɛ kə,010,7428,3
Jack,M,'ʤæk,1,7383,1
Gabriel,M,'geɪ briː əl,100,7369,3
Jared,M,'ʤɛ rɪd,10,7276,2
Luis,M,luː 'iːs,01,7208,2
Sean,M,'ʃɔːn,1,7205,1
Maria,F,mɛː 'iː ə,010,7029,3
Allison,F,'æ lə sən,100,7025,3
Evan,M,'ɛ vən,10,6850,2
Amber,F,'æm bɛː,10,6840,2
Alex,M,'æ ləks,10,6826,2
Savannah,F,sə 'væ nʌ,010,6805,3
Danielle,F,`dæ niː 'ɛl,101,6751,3
Carlos,M,'kɑr loʊs,10,6663,2
Elijah,M,ɛ 'laɪ ʤə,010,6595,3
Courtney,F,'kɔːrt niː,10,6557,2
Richard,M,'rɪ ʧɛːd,10,6502,2
