name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,82006,2
David,M,'deɪ vɪd,10,63725,2
John,M,'ʤɑn,1,60931,1
James,M,'ʤeɪmz,1,60704,1
Robert,M,'rɑ bɛːt,10,58211,2
Lisa,F,'liː sə,10,49532,2
William,M,'wɪl jəm,10,36958,2
Mark,M,'mɑrk,1,35421,1
Michelle,F,mɪ 'ʃɛl,01,33222,2
Richard,M,'rɪ ʧɛːd,10,32988,2
Kimberly,F,'kɪm bɛː liː,100,31910,3
Christopher,M,'krɪ stə fɛː,100,31464,3
Brian,M,'braɪ ən,10,29939,2
Jeffrey,M,'ʤɛ friː,10,28370,2
Thomas,M,'tɑ məs,10,27443,2
Jennifer,F,'ʤɛ nʌ fɛː,100,26851,3
Timothy,M,'tɪ mə θiː,100,26511,3
Scott,M,'skɑt,1,26031,1
Steven,M,'stiː vən,10,25498,2
Joseph,M,'ʤoʊ səf,10,25401,2
Kevin,M,'kɛ vɪn,10,23879,2
Daniel,M,'dæ njəl,10,22018,2
Paul,M,'pɔːl,1,21872,1
Melissa,F,mə 'lɪ sə,010,21726,3
Mary,F,'mɛ riː,10,21722,2
Charles,M,'ʧɑrlz,1,21575,1
Angela,F,'æn ʤə lə,100,20668,3
Anthony,M,'æn θə niː,100,20237,3
Tammy,F,'tæ miː,10,20056,2
Karen,F,'kɛ rən,10,19558,2
Susan,F,'suː zən,10,19505,2
Laura,F,'lɔː rə,10,18744,2
Eric,M,'ɛ rɪk,10,18508,2
Kenneth,M,'kɛ nɪθ,10,18086,2
Kelly,F,'kɛ liː,10,17141,2
Amy,F,'eɪ miː,10,17090,2
Christine,F,krɪ 'stiːn,01,16519,2
Matthew,M,'mæ θjuː,10,15839,2
Patricia,F,pə 'trɪ ʃə,010,15810,3
Julie,F,'ʤuː liː,10,15751,2
Ronald,M,'rɑ nəld,10,15423,2
Gregory,M,'grɛ gɛː iː,100,15405,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,14889,4
Tina,F,'tiː nʌ,10,14773,2
Stephen,M,'stiː vən,10,14768,2
Todd,M,'tɑd,1,14658,1
Cynthia,F,'sɪn θiː ə,100,14049,3
Pamela,F,'pæ mə lə,100,14031,3
Dawn,F,'dɔːn,1,13441,1
Donald,M,'dɑ nəld,10,13368,2
Lori,F,'lɔː riː,10,13125,2
Patrick,M,'pæ trɪk,10,13060,2
Stephanie,F,'stɛ fə niː,100,12954,3
Donna,F,'dɑ nʌ,10,12753,2
Tracy,F,'treɪ siː,10,12747,2
Sandra,F,'sæn drə,10,12680,2
Edward,M,'ɛ dwɛːd,10,12291,2
Deborah,F,'dɛ bɛː ə,100,12286,3
Gary,M,'gɛ riː,10,11982,2
Douglas,M,'də gləs,10,11413,2
Linda,F,'lɪn də,10,11368,2
Michele,F,mɪ 'ʃɛl,01,11217,2
Teresa,F,tɛː 'iː sə,010,10912,3
Wendy,F,'wɛn diː,10,10709,2
Andrew,M,'æn druː,10,10565,2
Sharon,F,'ʃæ rən,10,10339,2
Rebecca,F,rə 'bɛ kə,010,10227,3
Brenda,F,'brɛn də,10,9941,2
Denise,F,dɪ 'niːs,01,9876,2
