name,gender,IPA,IPA_stress,counts,n_syllables
Robert,M,'rɑ bɛːt,10,59645,2
James,M,'ʤeɪmz,1,59628,1
Mary,F,'mɛ riː,10,54903,2
John,M,'ʤɑn,1,51017,1
William,M,'wɪl jəm,10,42078,2
Barbara,F,'bɑr bɛː ə,100,37258,3
Richard,M,'rɪ ʧɛːd,10,35372,2
Charles,M,'ʧɑrlz,1,30785,1
Patricia,F,pə 'trɪ ʃə,010,29706,3
David,M,'deɪ vɪd,10,25361,2
Donald,M,'dɑ nəld,10,24055,2
Betty,F,'bɛ tiː,10,23640,2
Thomas,M,'tɑ məs,10,22127,2
Shirley,F,'ʃɛː liː,10,20446,2
Carol,F,'kæ rəl,10,20166,2
Ronald,M,'rɑ nəld,10,19835,2
Nancy,F,'næn siː,10,19728,2
George,M,'ʤɔːrʤ,1,17887,1
Joseph,M,'ʤoʊ səf,10,17715,2
Judith,F,'ʤuː dəθ,10,16626,2
Dorothy,F,'dɔː rə θiː,100,15171,3
Margaret,F,'mɑr gɛː ɪt,100,14952,3
Kenneth,M,'kɛ nɪθ,10,14710,2
Larry,M,'lɛ riː,10,14528,2
Edward,M,'ɛ dwɛːd,10,14428,2
Joan,F,'ʤoʊn,1,14140,1
Jerry,M,'ʤɛ riː,10,13729,2
Joyce,F,'ʤɔɪs,1,13394,1
Paul,M,'pɔːl,1,13331,1
Sandra,F,'sæn drə,10,11970,2
Carolyn,F,'kɛ rə lɪn,100,11291,3
Michael,M,'maɪ kəl,10,10824,2
Linda,F,'lɪn də,10,10714,2
Helen,F,'hɛ lən,10,10418,2
Janet,F,'ʤæ nət,10,10114,2
Gerald,M,'ʤɛ rəld,10,10052,2
Frank,M,'fræŋk,1,9987,1
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,9707,4
Gary,M,'gɛ riː,10,9680,2
Marilyn,F,'mɛ rə lən,100,9539,3
Donna,F,'dɑ nʌ,10,9370,2
Raymond,M,'reɪ mənd,10,9247,2
Virginia,F,vɛː 'ʤɪ njə,010,9227,3
Ruth,F,'ruːθ,1,9060,1
Sharon,F,'ʃæ rən,10,9013,2
Janice,F,'ʤæ nəs,10,8779,2
Beverly,F,'bɛ vɛː liː,100,8701,3
Frances,F,'fræn sɪs,10,8578,2
Martha,F,'mɑr θə,10,8493,2
Harold,M,'hɛ rəld,10,8302,2
Judy,F,'ʤuː diː,10,8082,2
Doris,F,'dɔː rəs,10,7683,2
Phyllis,F,'fɪ lɪs,10,7590,2
Billy,M,'bɪ liː,10,7469,2
Alice,F,'æ ləs,10,7367,2
Walter,M,'wɔːl tɛː,10,7319,2
Jack,M,'ʤæk,1,7306,1
Jean,F,'ʤiːn,1,7290,1
Joe,M,'ʤoʊ,1,7192,1
Roger,M,'rɑ ʤɛː,10,7152,2
Bobby,M,'bɑ biː,10,7055,2
Carl,M,'kɑrl,1,6594,1
Henry,M,'hɛn riː,10,6557,2
Ann,F,'æn,1,6550,1
Arthur,M,'ɑr θɛː,10,6380,2
Willie,M,'wɪ liː,10,6303,2
Dennis,M,'dɛ nɪs,10,6211,2
Peggy,F,'pɛ giː,10,6048,2
Lois,F,'loʊ əs,10,6033,2
Ralph,M,'rælf,1,5957,1
Gloria,F,'glɔː riː ə,100,5939,3
Marie,F,mɛː 'iː,01,5889,2
Lawrence,M,'lɔː rəns,10,5882,2
Eugene,M,juː 'ʤiːn,01,5875,2
Norma,F,'nɔːr mə,10,5827,2
Daniel,M,'dæ njəl,10,5797,2
Wayne,M,'weɪn,1,5651,1
Karen,F,'kɛ rən,10,5542,2
Fred,M,'frɛd,1,5536,1
Albert,M,'æl bɛːt,10,5477,2
Evelyn,F,'ɛ və lən,100,5329,3
Geraldine,F,ʤɛ rəl 'diːn,001,5159,3
Roy,M,'rɔɪ,1,5153,1
Rose,F,'roʊz,1,5040,1
Anna,F,'æ nʌ,10,4931,2
Susan,F,'suː zən,10,4886,2
Elaine,F,ɪ 'leɪn,01,4785,2
Jane,F,'ʤeɪn,1,4770,1
Jimmy,M,'ʤɪ miː,10,4751,2
Norman,M,'nɔːr mən,10,4741,2
Carole,F,'kæ rəl,10,4679,2
Harry,M,'hɛ riː,10,4663,2
