name,gender,IPA,IPA_stress,counts,n_syllables
Robert,M,'rɑ bɛːt,10,86195,2
James,M,'ʤeɪmz,1,86009,1
Michael,M,'maɪ kəl,10,84177,2
John,M,'ʤɑn,1,80125,1
David,M,'deɪ vɪd,10,76096,2
Mary,F,'mɛ riː,10,64372,2
William,M,'wɪl jəm,10,61799,2
Linda,F,'lɪn də,10,61275,2
Richard,M,'rɪ ʧɛːd,10,58340,2
Deborah,F,'dɛ bɛː ə,100,52188,3
Patricia,F,pə 'trɪ ʃə,010,51013,3
Thomas,M,'tɑ məs,10,46971,2
Susan,F,'suː zən,10,44285,2
Barbara,F,'bɑr bɛː ə,100,38460,3
Charles,M,'ʧɑrlz,1,38401,1
Gary,M,'gɛ riː,10,36938,2
Debra,F,'dɛ brə,10,36856,2
Steven,M,'stiː vən,10,33703,2
Nancy,F,'næn siː,10,30606,2
Karen,F,'kɛ rən,10,29853,2
Mark,M,'mɑrk,1,29319,1
Joseph,M,'ʤoʊ səf,10,29258,2
Donald,M,'dɑ nəld,10,28338,2
Ronald,M,'rɑ nəld,10,27704,2
Pamela,F,'pæ mə lə,100,25756,3
Kenneth,M,'kɛ nɪθ,10,25503,2
Sandra,F,'sæn drə,10,25494,2
Paul,M,'pɔːl,1,25491,1
Larry,M,'lɛ riː,10,25204,2
Cynthia,F,'sɪn θiː ə,100,25133,3
Donna,F,'dɑ nʌ,10,24227,2
Kathleen,F,kæθ 'liːn,01,23728,2
Dennis,M,'dɛ nɪs,10,23640,2
Daniel,M,'dæ njəl,10,23490,2
Sharon,F,'ʃæ rən,10,23041,2
Carol,F,'kæ rəl,10,22286,2
Stephen,M,'stiː vən,10,21809,2
Diane,F,daɪ 'æn,01,21347,2
Brenda,F,'brɛn də,10,20132,2
George,M,'ʤɔːrʤ,1,19176,1
Edward,M,'ɛ dwɛːd,10,18973,2
Janet,F,'ʤæ nət,10,17768,2
Margaret,F,'mɑr gɛː ɪt,100,16201,3
Gregory,M,'grɛ gɛː iː,100,16149,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,16092,4
Jeffrey,M,'ʤɛ friː,10,15933,2
Timothy,M,'tɪ mə θiː,100,15176,3
Janice,F,'ʤæ nəs,10,14615,2
Douglas,M,'də gləs,10,14136,2
Bruce,M,'bruːs,1,14032,1
Jerry,M,'ʤɛ riː,10,13903,2
Kathy,F,'kæ θiː,10,13396,2
Terry,M,'tɛ riː,10,13255,2
Roger,M,'rɑ ʤɛː,10,13163,2
Rebecca,F,rə 'bɛ kə,010,12960,3
Carolyn,F,'kɛ rə lɪn,100,12911,3
Joyce,F,'ʤɔɪs,1,12794,1
Judy,F,'ʤuː diː,10,12728,2
Cheryl,F,'ʃɛ rəl,10,12266,2
Shirley,F,'ʃɛː liː,10,12140,2
Judith,F,'ʤuː dəθ,10,11965,2
Denise,F,dɪ 'niːs,01,11947,2
Christine,F,krɪ 'stiːn,01,11795,2
Anthony,M,'æn θə niː,100,11694,3
Betty,F,'bɛ tiː,10,11364,2
Beverly,F,'bɛ vɛː liː,100,11233,3
Frank,M,'fræŋk,1,11160,1
