name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,81019,2
John,M,'ʤɑn,1,71551,1
David,M,'deɪ vɪd,10,67861,2
James,M,'ʤeɪmz,1,67703,1
Robert,M,'rɑ bɛːt,10,63134,2
Lisa,F,'liː sə,10,60266,2
William,M,'wɪl jəm,10,40132,2
Mark,M,'mɑrk,1,38269,1
Richard,M,'rɪ ʧɛːd,10,36852,2
Mary,F,'mɛ riː,10,34272,2
Karen,F,'kɛ rən,10,32874,2
Thomas,M,'tɑ məs,10,31623,2
Jeffrey,M,'ʤɛ friː,10,29590,2
Kimberly,F,'kɪm bɛː liː,100,28831,3
Joseph,M,'ʤoʊ səf,10,28660,2
Timothy,M,'tɪ mə θiː,100,28344,3
Kevin,M,'kɛ vɪn,10,28190,2
Steven,M,'stiː vən,10,27992,2
Susan,F,'suː zən,10,26327,2
Scott,M,'skɑt,1,25441,1
Paul,M,'pɔːl,1,24926,1
Daniel,M,'dæ njəl,10,24847,2
Christopher,M,'krɪ stə fɛː,100,24635,3
Brian,M,'braɪ ən,10,24555,2
Patricia,F,pə 'trɪ ʃə,010,23555,3
Charles,M,'ʧɑrlz,1,23492,1
Kenneth,M,'kɛ nɪθ,10,22671,2
Anthony,M,'æn θə niː,100,20338,3
Donna,F,'dɑ nʌ,10,19698,2
Linda,F,'lɪn də,10,19335,2
Cynthia,F,'sɪn θiː ə,100,19249,3
Angela,F,'æn ʤə lə,100,18750,3
Gregory,M,'grɛ gɛː iː,100,18210,3
Tammy,F,'tæ miː,10,18007,2
Ronald,M,'rɑ nəld,10,17620,2
Pamela,F,'pæ mə lə,100,17470,3
Deborah,F,'dɛ bɛː ə,100,17083,3
Julie,F,'ʤuː liː,10,16985,2
Eric,M,'ɛ rɪk,10,16835,2
Sandra,F,'sæn drə,10,16374,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,16322,4
Laura,F,'lɔː rə,10,16215,2
Michelle,F,mɪ 'ʃɛl,01,16214,2
Donald,M,'dɑ nəld,10,16040,2
Lori,F,'lɔː riː,10,15701,2
Gary,M,'gɛ riː,10,15271,2
Jennifer,F,'ʤɛ nʌ fɛː,100,15208,3
Christine,F,krɪ 'stiːn,01,15198,2
Sharon,F,'ʃæ rən,10,15134,2
Brenda,F,'brɛn də,10,15059,2
Stephen,M,'stiː vən,10,14648,2
Teresa,F,tɛː 'iː sə,010,14579,3
Edward,M,'ɛ dwɛːd,10,14414,2
Barbara,F,'bɑr bɛː ə,100,14027,3
Todd,M,'tɑd,1,13941,1
Dawn,F,'dɔːn,1,13337,1
Debra,F,'dɛ brə,10,13098,2
Denise,F,dɪ 'niːs,01,13033,2
Patrick,M,'pæ trɪk,10,12945,2
Tina,F,'tiː nʌ,10,12827,2
Douglas,M,'də gləs,10,12787,2
Kelly,F,'kɛ liː,10,12761,2
Cheryl,F,'ʃɛ rəl,10,12552,2
Nancy,F,'næn siː,10,12255,2
Robin,F,'rɑ bən,10,11991,2
Kathleen,F,kæθ 'liːn,01,11781,2
Amy,F,'eɪ miː,10,11529,2
Tracy,F,'treɪ siː,10,11174,2
Rodney,M,'rɑd niː,10,11081,2
Rhonda,F,'rɑn də,10,10950,2
George,M,'ʤɔːrʤ,1,10683,1
Keith,M,'kiːθ,1,10679,1
Melissa,F,mə 'lɪ sə,010,10565,3
Wendy,F,'wɛn diː,10,10480,2
Diane,F,daɪ 'æn,01,10363,2
Rebecca,F,rə 'bɛ kə,010,10215,3
Carol,F,'kæ rəl,10,10101,2
Kim,F,'kɪm,1,10083,1
Matthew,M,'mæ θjuː,10,9991,2
Stephanie,F,'stɛ fə niː,100,9763,3
Theresa,F,tɛː 'iː sə,010,9684,3
Andrew,M,'æn druː,10,9679,2
Maria,F,mɛː 'iː ə,010,9471,3
Jacqueline,F,'ʤæ kwə lɪn,100,9413,3
Larry,M,'lɛ riː,10,9405,2
Peter,M,'piː tɛː,10,9395,2
Terry,M,'tɛ riː,10,9093,2
Jerry,M,'ʤɛ riː,10,9021,2
Randy,M,'ræn diː,10,8864,2
Michele,F,mɪ 'ʃɛl,01,8664,2
Frank,M,'fræŋk,1,8322,1
Dennis,M,'dɛ nɪs,10,8214,2
Raymond,M,'reɪ mənd,10,8052,2
Paula,F,'pɔː lə,10,7911,2
Sheila,F,'ʃiː lə,10,7903,2
Craig,M,'kreɪg,1,7873,1
Jill,F,'ʤɪl,1,7821,1
Margaret,F,'mɑr gɛː ɪt,100,7793,3
Cindy,F,'sɪn diː,10,7778,2
Kathy,F,'kæ θiː,10,7762,2
Jeffery,M,'ʤɛ fɛː iː,100,7736,3
Janet,F,'ʤæ nət,10,7658,2
Sherry,F,'ʃɛ riː,10,7387,2
Catherine,F,'kæ θɛː ən,100,7250,3
Carolyn,F,'kɛ rə lɪn,100,6969,3
Tony,M,'toʊ niː,10,6825,2
Ann,F,'æn,1,6781,1
Laurie,F,'lɔː riː,10,6533,2
Roger,M,'rɑ ʤɛː,10,6432,2
Bruce,M,'bruːs,1,6325,1
Connie,F,'kɔː niː,10,6153,2
Debbie,F,'dɛ biː,10,6090,2
Andrea,F,'æn driː ə,100,6082,3
Mike,M,'maɪk,1,6038,1
Darren,M,'dɑ rən,10,5937,2
Diana,F,daɪ 'æ nʌ,010,5928,3
Suzanne,F,suː 'zæn,01,5914,2
Troy,M,'trɔɪ,1,5859,1
Carl,M,'kɑrl,1,5799,1
Beth,F,'bɛθ,1,5771,1
Steve,M,'stiːv,1,5687,1
Danny,M,'dæ niː,10,5672,2
Ricky,M,'rɪ kiː,10,5656,2
Valerie,F,'væ lɛː iː,100,5650,3
Russell,M,'rə səl,10,5649,2
Alan,M,'æ lən,10,5618,2
Renee,F,rə 'neɪ,01,5497,2
Chris,M,'krɪs,1,5482,1
Vincent,M,'vɪn sənt,10,5431,2
Jeff,M,'ʤɛf,1,5416,1
Terri,F,'tɛ riː,10,5378,2
Bryan,M,'braɪ ən,10,5344,2
Gina,F,'ʤiː nʌ,10,5268,2
Annette,F,ə 'nɛt,01,5260,2
Gerald,M,'ʤɛ rəld,10,5256,2
Wayne,M,'weɪn,1,5118,1
Monica,F,'mɑ nɪ kə,100,5113,3
Janice,F,'ʤæ nəs,10,5030,2
Christina,F,krɪ 'stiː nʌ,010,4976,3
Lawrence,M,'lɔː rəns,10,4963,2
Martin,M,'mɑr tən,10,4937,2
Darryl,M,'dɛ rəl,10,4926,2
Shawn,M,'ʃɔːn,1,4923,1
Phillip,M,'fɪ lɪp,10,4895,2
Leslie,F,'lɛ sliː,10,4874,2
Joe,M,'ʤoʊ,1,4837,1
Bradley,M,'bræd liː,10,4791,2
Carla,F,'kɑr lə,10,4780,2
Randall,M,'ræn dəl,10,4757,2
Jonathan,M,'ʤɑ nʌ θʌn,100,4730,3
Dana,F,'deɪ nʌ,10,4726,2
Anne,F,'æn,1,4724,1
Katherine,F,'kæ θɛː ɪn,100,4710,3
Curtis,M,'kɛː təs,10,4690,2
Johnny,M,'ʤɑ niː,10,4683,2
Lynn,F,'lɪn,1,4668,1
Wanda,F,'wɑn də,10,4652,2
Billy,M,'bɪ liː,10,4651,2
Sean,M,'ʃɔːn,1,4598,1
Jon,M,'ʤɑn,1,4598,1
Bobby,M,'bɑ biː,10,4592,2
Regina,F,rɪ 'ʤiː nʌ,010,4548,3
Jimmy,M,'ʤɪ miː,10,4530,2
Walter,M,'wɔːl tɛː,10,4485,2
Dale,M,'deɪl,1,4402,1
Samuel,M,'sæ mjuːl,10,4398,2
Glenn,M,'glɛn,1,4362,1
Darlene,F,'dɑr `liːn,11,4358,2
Barry,M,'bæ riː,10,4326,2
Philip,M,'fɪ ləp,10,4279,2
Stacey,F,'steɪ siː,10,4272,2
Tracey,F,'treɪ siː,10,4259,2
Judy,F,'ʤuː diː,10,4241,2
Kathryn,F,'kæ θrɪn,10,4159,2
Cathy,F,'kæ θiː,10,4152,2
Joyce,F,'ʤɔɪs,1,4130,1
Bonnie,F,'bɑ niː,10,4127,2
Dean,M,'diːn,1,4098,1
Sherri,F,'ʃɛ riː,10,4065,2
Sarah,F,'sɛ rə,10,4057,2
Colleen,F,`kɑ 'liːn,11,4030,2
Anita,F,ə 'niː tʌ,010,4021,3
Jose,M,`hoʊ 'zeɪ,11,3966,2
Jay,M,'ʤeɪ,1,3945,1
Jane,F,'ʤeɪn,1,3928,1
Anna,F,'æ nʌ,10,3921,2
Penny,F,'pɛ niː,10,3898,2
Darrell,M,'dɛ rəl,10,3894,2
Shelly,F,'ʃɛ liː,10,3850,2
Allen,M,'æ lən,10,3838,2
Willie,M,'wɪ liː,10,3805,2
Henry,M,'hɛn riː,10,3802,2
Martha,F,'mɑr θə,10,3800,2
Melinda,F,mə 'lɪn də,010,3799,3
Roy,M,'rɔɪ,1,3785,1
Arthur,M,'ɑr θɛː,10,3778,2
Beverly,F,'bɛ vɛː liː,100,3773,3
Tim,M,'tɪm,1,3721,1
Victor,M,'vɪk tɛː,10,3683,2
Judith,F,'ʤuː dəθ,10,3583,2
Betty,F,'bɛ tiː,10,3565,2
Tamara,F,tʌ 'mɑ rə,010,3563,3
Heidi,F,'haɪ diː,10,3558,2
Harold,M,'hɛ rəld,10,3541,2
Marie,F,mɛː 'iː,01,3486,2
Maureen,F,mɔː 'riːn,01,3482,2
Victoria,F,vɪk 'tɔː riː ə,0100,3479,4
Gloria,F,'glɔː riː ə,100,3440,3
Albert,M,'æl bɛːt,10,3417,2
Deanna,F,`diː 'æ nʌ,110,3406,3
Shirley,F,'ʃɛː liː,10,3370,2
Jean,F,'ʤiːn,1,3363,1
Holly,F,'hɑ liː,10,3358,2
Vicki,F,'vɪ kiː,10,3330,2
Virginia,F,vɛː 'ʤɪ njə,010,3295,3
Joan,F,'ʤoʊn,1,3282,1
Louis,M,'luː ɪs,10,3273,2
Darrin,M,'dæ ɹɪ,10,3257,2
Ellen,F,'ɛ lən,10,3252,2
Ruth,F,'ruːθ,1,3230,1
Ralph,M,'rælf,1,3228,1
Stacy,F,'steɪ siː,10,3205,2
Jack,M,'ʤæk,1,3199,1
Greg,M,'grɛg,1,3185,1
Kristine,F,krɪ 'stiːn,01,3164,2
Frederick,M,'frɛ drɪk,10,3158,2
Joanne,F,`ʤoʊ 'æn,11,3150,2
Ronnie,M,'rɑ niː,10,3143,2
Melanie,F,'mɛ lə niː,100,3115,3
Peggy,F,'pɛ giː,10,3105,2
Julia,F,'ʤuːl jʌ,10,3100,2
Veronica,F,vɛː 'ɑ nɪ kə,0100,3075,4
Rita,F,'riː tʌ,10,3064,2
Jodi,F,'ʤoʊ diː,10,3054,2
Marc,M,'mɑrk,1,3053,1
Allison,F,'æ lə sən,100,3044,3
Marvin,M,'mɑr vɪn,10,2970,2
Tonya,F,'tɑ njə,10,2968,2
Dorothy,F,'dɔː rə θiː,100,2960,3
Sylvia,F,'sɪl viː ə,100,2958,3
Yvonne,F,ɪ 'vɑn,01,2954,2
Tracy,M,'treɪ siː,10,2931,2
Jason,M,'ʤeɪ sən,10,2894,2
Kurt,M,'kɛːt,1,2880,1
Eddie,M,'ɛ diː,10,2869,2
Rose,F,'roʊz,1,2865,1
Joel,M,'ʤoʊ əl,10,2860,2
Gail,F,'geɪl,1,2858,1
Kristin,F,'krɪ stɪn,10,2830,2
Stanley,M,'stæn liː,10,2813,2
April,F,'eɪ prəl,10,2811,2
Helen,F,'hɛ lən,10,2804,2
Vickie,F,'vɪ kiː,10,2784,2
Lee,M,'liː,1,2775,1
Jim,M,'ʤɪm,1,2772,1
Micheal,M,'maɪ kəl,10,2767,2
Yolanda,F,joʊ 'lɑn də,010,2759,3
Jamie,F,'ʤeɪ miː,10,2747,2
Tommy,M,'tɑ miː,10,2723,2
Eugene,M,juː 'ʤiːn,01,2716,2
Leonard,M,'lɛ nɛːd,10,2715,2
Howard,M,'haʊ ɛːd,10,2676,2
Sheri,F,'ʃɛ riː,10,2629,2
Darin,M,'dæ rɪn,10,2615,2
Charlene,F,ʃɑr 'liːn,01,2591,2
Becky,F,'bɛ kiː,10,2589,2
Ernest,M,'ɛː nəst,10,2575,2
Shannon,F,'ʃæ nən,10,2569,2
Alice,F,'æ ləs,10,2567,2
Adam,M,'æ dəm,10,2567,2
Crystal,F,'krɪ stəl,10,2542,2
Sheryl,F,'ʃɛ rəl,10,2535,2
Shelley,F,'ʃɛ liː,10,2528,2
Dwayne,M,'dweɪn,1,2521,1
Tom,M,'tɑm,1,2500,1
Elaine,F,ɪ 'leɪn,01,2498,2
Heather,F,'hɛ ðɛː,10,2498,2
Marilyn,F,'mɛ rə lən,100,2489,3
Carrie,F,'kɛ riː,10,2484,2
Reginald,M,'rɛ ʤə nəld,100,2471,3
Charlotte,F,'ʃɑr lət,10,2471,2
Yvette,F,ɪ 'vɛt,01,2466,2
Phyllis,F,'fɪ lɪs,10,2465,2
Jackie,F,'ʤæ kiː,10,2444,2
Derrick,M,'dɛ rɪk,10,2419,2
Eileen,F,aɪ 'liːn,01,2418,2
Aaron,M,'ɛ rən,10,2413,2
Brent,M,'brɛnt,1,2411,1
Joann,F,`ʤoʊ 'æn,11,2396,2
Alicia,F,ə 'lɪ ʃə,010,2356,3
Sonya,F,'soʊ njə,10,2353,2
Brett,M,'brɛt,1,2345,1
Benjamin,M,'bɛn ʤə mən,100,2338,3
Toni,F,'toʊ niː,10,2326,2
Sally,F,'sæ liː,10,2321,2
Norman,M,'nɔːr mən,10,2302,2
Duane,M,'dweɪn,1,2276,1
Frances,F,'fræn sɪs,10,2261,2
Kelly,M,'kɛ liː,10,2259,2
Rick,M,'rɪk,1,2254,1
Melvin,M,'mɛl vɪn,10,2230,2
