name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,67158,2
Jennifer,F,'ʤɛ nʌ fɛː,100,56323,3
Jason,M,'ʤeɪ sən,10,51626,2
Christopher,M,'krɪ stə fɛː,100,47259,3
David,M,'deɪ vɪd,10,40704,2
James,M,'ʤeɪmz,1,39914,1
Matthew,M,'mæ θjuː,10,34312,2
John,M,'ʤɑn,1,34036,1
Robert,M,'rɑ bɛːt,10,33390,2
Brian,M,'braɪ ən,10,29453,2
Melissa,F,mə 'lɪ sə,010,28330,3
Joseph,M,'ʤoʊ səf,10,26668,2
Daniel,M,'dæ njəl,10,26446,2
Jessica,F,'ʤɛ sɪ kə,100,26103,3
Joshua,M,'ʤɑ ʃuː ə,100,25217,3
William,M,'wɪl jəm,10,24187,2
Amy,F,'eɪ miː,10,23213,2
Heather,F,'hɛ ðɛː,10,22271,2
Ryan,M,'raɪ ən,10,21334,2
Amanda,F,ə 'mæn də,010,20519,3
Angela,F,'æn ʤə lə,100,20510,3
Kevin,M,'kɛ vɪn,10,20112,2
Sarah,F,'sɛ rə,10,19976,2
Eric,M,'ɛ rɪk,10,19775,2
Timothy,M,'tɪ mə θiː,100,19605,3
Jeremy,M,'ʤɛ rə miː,100,19511,3
Michelle,F,mɪ 'ʃɛl,01,18860,2
Nicole,F,nɪ 'koʊl,01,17276,2
Lisa,F,'liː sə,10,17035,2
Jeffrey,M,'ʤɛ friː,10,17000,2
Kelly,F,'kɛ liː,10,16986,2
Kimberly,F,'kɪm bɛː liː,100,16879,3
Anthony,M,'æn θə niː,100,16815,3
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,16807,4
Andrew,M,'æn druː,10,16741,2
Richard,M,'rɪ ʧɛːd,10,16732,2
Thomas,M,'tɑ məs,10,16493,2
Steven,M,'stiː vən,10,16402,2
Christina,F,krɪ 'stiː nʌ,010,16370,3
Nicholas,M,'nɪ kə ləs,100,16354,3
Stephanie,F,'stɛ fə niː,100,16231,3
Mark,M,'mɑrk,1,14870,1
Charles,M,'ʧɑrlz,1,14849,1
Justin,M,'ʤə stən,10,14193,2
Adam,M,'æ dəm,10,13926,2
Rebecca,F,rə 'bɛ kə,010,13800,3
Scott,M,'skɑt,1,13544,1
Crystal,F,'krɪ stəl,10,12592,2
Jonathan,M,'ʤɑ nʌ θʌn,100,12520,3
Aaron,M,'ɛ rən,10,12312,2
Paul,M,'pɔːl,1,11739,1
Benjamin,M,'bɛn ʤə mən,100,11415,3
Laura,F,'lɔː rə,10,11243,2
Jamie,F,'ʤeɪ miː,10,10982,2
Erin,F,'ɛ rɪn,10,10792,2
Shannon,F,'ʃæ nən,10,10601,2
Andrea,F,'æn driː ə,100,10464,3
Chad,M,'ʧæd,1,10113,1
Mary,F,'mɛ riː,10,10044,2
Nathan,M,'neɪ θʌn,10,9891,2
Stephen,M,'stiː vən,10,9861,2
