name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,22848,2
John,M,'ʤɑn,1,11450,1
Helen,F,'hɛ lən,10,10479,2
James,M,'ʤeɪmz,1,9195,1
William,M,'wɪl jəm,10,8844,2
Margaret,F,'mɑr gɛː ɪt,100,8226,3
Dorothy,F,'dɔː rə θiː,100,7318,3
Ruth,F,'ruːθ,1,7212,1
Anna,F,'æ nʌ,10,6436,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,5800,4
Mildred,F,'mɪl drɪd,10,5692,2
Robert,M,'rɑ bɛːt,10,5609,2
George,M,'ʤɔːrʤ,1,5441,1
Joseph,M,'ʤoʊ səf,10,5228,2
Marie,F,mɛː 'iː,01,4790,2
Charles,M,'ʧɑrlz,1,4785,1
Alice,F,'æ ləs,10,4671,2
Frances,F,'fræn sɪs,10,4448,2
Florence,F,'flɔː rəns,10,4282,2
Ethel,F,'ɛ θəl,10,4146,2
Lillian,F,'lɪ liː ən,100,4127,3
Gladys,F,'glæ dɪs,10,3842,2
Rose,F,'roʊz,1,3837,1
Evelyn,F,'ɛ və lən,100,3777,3
Frank,M,'fræŋk,1,3768,1
Edna,F,'ɛd nʌ,10,3664,2
Annie,F,'æ niː,10,3519,2
Louise,F,luː 'iːz,01,3457,2
Edward,M,'ɛ dwɛːd,10,3408,2
Irene,F,aɪ 'riːn,01,3281,2
Catherine,F,'kæ θɛː ən,100,3161,3
Grace,F,'greɪs,1,3145,1
Hazel,F,'heɪ zəl,10,3032,2
Thelma,F,'θɛl mə,10,2976,2
Gertrude,F,'gɛː truːd,10,2932,2
Henry,M,'hɛn riː,10,2899,2
Willie,M,'wɪ liː,10,2897,2
Ruby,F,'ruː biː,10,2893,2
Martha,F,'mɑr θə,10,2858,2
Virginia,F,vɛː 'ʤɪ njə,010,2854,3
Thomas,M,'tɑ məs,10,2851,2
Josephine,F,'ʤoʊ sə `fiːn,101,2801,3
Lucille,F,luː 'siːl,01,2692,2
Clara,F,'klæ rə,10,2665,2
Bertha,F,'bɛː θə,10,2651,2
Emma,F,'ɛ mə,10,2607,2
Walter,M,'wɔːl tɛː,10,2596,2
Edith,F,'iː dɪθ,10,2592,2
Beatrice,F,'biː ə trəs,100,2459,3
Bessie,F,'bɛ siː,10,2392,2
Esther,F,'ɛ stɛː,10,2378,2
Albert,M,'æl bɛːt,10,2183,2
Pearl,F,'pɛːl,1,2177,1
Sarah,F,'sɛ rə,10,2173,2
Agnes,F,'æg nɪs,10,2163,2
Pauline,F,pɔː 'liːn,01,2153,2
Myrtle,F,'mɛː təl,10,2145,2
Elsie,F,'ɛl siː,10,2141,2
Eva,F,'eɪ və,10,2123,2
Mabel,F,'meɪ bəl,10,2123,2
Ida,F,'aɪ də,10,2107,2
Viola,F,vaɪ 'oʊ lə,010,2090,3
Julia,F,'ʤuːl jʌ,10,2074,2
Paul,M,'pɔːl,1,2005,1
Minnie,F,'mɪ niː,10,1983,2
Harry,M,'hɛ riː,10,1978,2
Arthur,M,'ɑr θɛː,10,1942,2
Nellie,F,'nɛ liː,10,1928,2
Harold,M,'hɛ rəld,10,1909,2
Ann,F,'æn,1,1842,1
Laura,F,'lɔː rə,10,1834,2
Lillie,F,'lɪ liː,10,1824,2
Eleanor,F,'ɛ lə nɔːr,100,1797,3
Willie,F,'wɪ liː,10,1796,2
Katherine,F,'kæ θɛː ɪn,100,1752,3
Raymond,M,'reɪ mənd,10,1737,2
Bernice,F,bɛː 'niːs,01,1720,2
Clarence,M,'klɛ rəns,10,1706,2
Marion,F,'mɛ riː ən,100,1703,3
Mattie,F,'mæ tiː,10,1687,2
Richard,M,'rɪ ʧɛːd,10,1654,2
Alma,F,'æl mə,10,1630,2
Fred,M,'frɛd,1,1587,1
Ella,F,'ɛ lə,10,1587,2
Jack,M,'ʤæk,1,1576,1
