name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,54386,2
Christopher,M,'krɪ stə fɛː,100,42461,3
Ashley,F,'æ ʃliː,10,38452,2
Jessica,F,'ʤɛ sɪ kə,100,38354,3
Matthew,M,'mæ θjuː,10,37736,2
Joshua,M,'ʤɑ ʃuː ə,100,36216,3
Andrew,M,'æn druː,10,30535,2
Brandon,M,'bræn dən,10,29620,2
Daniel,M,'dæ njəl,10,29146,2
Tyler,M,'taɪ lɛː,10,28793,2
James,M,'ʤeɪmz,1,28503,1
David,M,'deɪ vɪd,10,28409,2
Joseph,M,'ʤoʊ səf,10,27894,2
Nicholas,M,'nɪ kə ləs,100,27755,3
Ryan,M,'raɪ ən,10,27006,2
John,M,'ʤɑn,1,26241,1
Jacob,M,'ʤeɪ kəb,10,25661,2
Amanda,F,ə 'mæn də,010,25033,3
Brittany,F,'brɪ tʌ niː,100,24977,3
Zachary,M,'zæ kɛː iː,100,24797,3
Sarah,F,'sɛ rə,10,24635,2
Samantha,F,sə 'mæn θə,010,24408,3
Robert,M,'rɑ bɛːt,10,24088,2
Justin,M,'ʤə stən,10,23612,2
Anthony,M,'æn θə niː,100,23165,3
William,M,'wɪl jəm,10,23066,2
Emily,F,'ɛ mɪ liː,100,21831,3
Jonathan,M,'ʤɑ nʌ θʌn,100,21403,3
Kyle,M,'kaɪl,1,20708,1
Alexander,M,`æ ləg 'zæn dɛː,1010,20063,4
Cody,M,'koʊ diː,10,19875,2
Stephanie,F,'stɛ fə niː,100,19672,3
Kevin,M,'kɛ vɪn,10,19635,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,19033,4
Megan,F,'meɪ gən,10,17842,2
Jennifer,F,'ʤɛ nʌ fɛː,100,17819,3
Lauren,F,'lɔː rən,10,17214,2
Kayla,F,'keɪ lə,10,16517,2
Nicole,F,nɪ 'koʊl,01,16323,2
Chelsea,F,'ʧɛl siː,10,16174,2
Eric,M,'ɛ rɪk,10,16136,2
Rachel,F,'reɪ ʧəl,10,15837,2
Thomas,M,'tɑ məs,10,15282,2
Dylan,M,'dɪ lən,10,15062,2
Steven,M,'stiː vən,10,15038,2
Taylor,F,'teɪ lɛː,10,14949,2
Aaron,M,'ɛ rən,10,14505,2
Brian,M,'braɪ ən,10,14102,2
Danielle,F,`dæ niː 'ɛl,101,14096,3
Jordan,M,'ʤɔːr dən,10,14029,2
Amber,F,'æm bɛː,10,13916,2
Benjamin,M,'bɛn ʤə mən,100,13452,3
Rebecca,F,rə 'bɛ kə,010,13111,3
Timothy,M,'tɪ mə θiː,100,12856,3
Courtney,F,'kɔːrt niː,10,12601,2
Christian,M,'krɪs ʧən,10,11953,2
Victoria,F,vɪk 'tɔː riː ə,0100,11906,4
Adam,M,'æ dəm,10,11901,2
Jose,M,`hoʊ 'zeɪ,11,11820,2
Kelsey,F,'kɛl siː,10,11714,2
