name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,11648,2
John,M,'ʤɑn,1,8548,1
William,M,'wɪl jəm,10,7772,2
Anna,F,'æ nʌ,10,5062,2
James,M,'ʤeɪmz,1,5020,1
George,M,'ʤɔːrʤ,1,4430,1
Charles,M,'ʧɑrlz,1,4199,1
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,3058,4
Frank,M,'fræŋk,1,2975,1
Margaret,F,'mɑr gɛː ɪt,100,2917,3
Emma,F,'ɛ mə,10,2884,2
Joseph,M,'ʤoʊ səf,10,2729,2
Minnie,F,'mɪ niː,10,2624,2
Harry,M,'hɛ riː,10,2559,2
Robert,M,'rɑ bɛːt,10,2513,2
Florence,F,'flɔː rəns,10,2465,2
Ethel,F,'ɛ θəl,10,2463,2
Bessie,F,'bɛ siː,10,2343,2
Clara,F,'klæ rə,10,2319,2
Edward,M,'ɛ dwɛːd,10,2299,2
Bertha,F,'bɛː θə,10,2293,2
Henry,M,'hɛn riː,10,2286,2
Thomas,M,'tɑ məs,10,2233,2
Alice,F,'æ ləs,10,2145,2
Annie,F,'æ niː,10,2123,2
Ida,F,'aɪ də,10,2122,2
Grace,F,'greɪs,1,2049,1
Mabel,F,'meɪ bəl,10,1947,2
Walter,M,'wɔːl tɛː,10,1916,2
Helen,F,'hɛ lən,10,1909,2
Edna,F,'ɛd nʌ,10,1815,2
Nellie,F,'nɛ liː,10,1752,2
Sarah,F,'sɛ rə,10,1730,2
Martha,F,'mɑr θə,10,1711,2
Arthur,M,'ɑr θɛː,10,1668,2
Ella,F,'ɛ lə,10,1647,2
Lillian,F,'lɪ liː ən,100,1640,3
Pearl,F,'pɛːl,1,1588,1
Laura,F,'lɔː rə,10,1567,2
Fred,M,'frɛd,1,1554,1
Rose,F,'roʊz,1,1550,1
Carrie,F,'kɛ riː,10,1547,2
Gertrude,F,'gɛː truːd,10,1543,2
Edith,F,'iː dɪθ,10,1523,2
Marie,F,mɛː 'iː,01,1436,2
Eva,F,'eɪ və,10,1372,2
Cora,F,'kɔː rə,10,1365,2
Myrtle,F,'mɛː təl,10,1361,2
Albert,M,'æl bɛːt,10,1353,2
Frances,F,'fræn sɪs,10,1351,2
Hattie,F,'hæ tiː,10,1328,2
Maude,F,'mɔːd,1,1293,1
Lillie,F,'lɪ liː,10,1289,2
Louise,F,luː 'iːz,01,1283,2
Jennie,F,'ʤɛ niː,10,1252,2
Julia,F,'ʤuːl jʌ,10,1201,2
Elsie,F,'ɛl siː,10,1199,2
Catherine,F,'kæ θɛː ən,100,1198,3
Jessie,F,'ʤɛ siː,10,1196,2
Mattie,F,'mæ tiː,10,1173,2
Lena,F,'liː nʌ,10,1096,2
Ruth,F,'ruːθ,1,1073,1
Lula,F,'luː lə,10,1067,2
Hazel,F,'heɪ zəl,10,1056,2
Josephine,F,'ʤoʊ sə `fiːn,101,1047,3
Agnes,F,'æg nɪs,10,1033,2
Ada,F,'eɪ də,10,1005,2
Clarence,M,'klɛ rəns,10,984,2
Blanche,F,'blænʧ,1,972,1
Fannie,F,'fæ niː,10,909,2
Lucy,F,'luː siː,10,893,2
Stella,F,'stɛ lə,10,891,2
Katherine,F,'kæ θɛː ɪn,100,889,3
Roy,M,'rɔɪ,1,888,1
Mae,F,'meɪ,1,883,1
Mamie,F,'meɪ miː,10,883,2
Dora,F,'dɔː rə,10,882,2
Louis,M,'luː ɪs,10,837,2
Nora,F,'nɔː rə,10,831,2
Maggie,F,'mæ giː,10,825,2
Alma,F,'æl mə,10,819,2
Samuel,M,'sæ mjuːl,10,810,2
Benjamin,M,'bɛn ʤə mən,100,760,3
David,M,'deɪ vɪd,10,757,2
