name,gender,IPA,IPA_stress,counts,n_syllables
James,M,'ʤeɪmz,1,66731,1
Robert,M,'rɑ bɛːt,10,64233,2
Mary,F,'mɛ riː,10,58040,2
John,M,'ʤɑn,1,57515,1
William,M,'wɪl jəm,10,47786,2
Barbara,F,'bɑr bɛː ə,100,39537,3
Richard,M,'rɪ ʧɛːd,10,39104,2
Patricia,F,pə 'trɪ ʃə,010,36901,3
Charles,M,'ʧɑrlz,1,32728,1
David,M,'deɪ vɪd,10,30552,2
Thomas,M,'tɑ məs,10,26641,2
Ronald,M,'rɑ nəld,10,24397,2
Carol,F,'kæ rəl,10,24181,2
Linda,F,'lɪn də,10,23720,2
Judith,F,'ʤuː dəθ,10,23317,2
Donald,M,'dɑ nəld,10,22628,2
Betty,F,'bɛ tiː,10,20902,2
Nancy,F,'næn siː,10,20882,2
Larry,M,'lɛ riː,10,20130,2
Joseph,M,'ʤoʊ səf,10,19800,2
Sandra,F,'sæn drə,10,19499,2
George,M,'ʤɔːrʤ,1,19260,1
Shirley,F,'ʃɛː liː,10,16953,2
Jerry,M,'ʤɛ riː,10,16805,2
Carolyn,F,'kɛ rə lɪn,100,16273,3
Kenneth,M,'kɛ nɪθ,10,16133,2
Michael,M,'maɪ kəl,10,15931,2
Margaret,F,'mɑr gɛː ɪt,100,15696,3
Joyce,F,'ʤɔɪs,1,15681,1
Edward,M,'ɛ dwɛːd,10,15575,2
Paul,M,'pɔːl,1,15162,1
Gary,M,'gɛ riː,10,14566,2
Dorothy,F,'dɔː rə θiː,100,14563,3
Sharon,F,'ʃæ rən,10,14270,2
Judy,F,'ʤuː diː,10,13966,2
Joan,F,'ʤoʊn,1,13382,1
Janet,F,'ʤæ nət,10,11136,2
Gerald,M,'ʤɛ rəld,10,10940,2
Karen,F,'kɛ rən,10,10830,2
Frank,M,'fræŋk,1,10793,1
Donna,F,'dɑ nʌ,10,10446,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,10269,4
Janice,F,'ʤæ nəs,10,10060,2
Virginia,F,vɛː 'ʤɪ njə,010,10043,3
Raymond,M,'reɪ mənd,10,9949,2
Helen,F,'hɛ lən,10,9889,2
Dennis,M,'dɛ nɪs,10,9559,2
Martha,F,'mɑr θə,10,9159,2
Gloria,F,'glɔː riː ə,100,9006,3
Susan,F,'suː zən,10,8889,2
Ruth,F,'ruːθ,1,8862,1
Beverly,F,'bɛ vɛː liː,100,8726,3
Marilyn,F,'mɛ rə lən,100,8553,3
Frances,F,'fræn sɪs,10,8468,2
Harold,M,'hɛ rəld,10,8102,2
Roger,M,'rɑ ʤɛː,10,8093,2
Jean,F,'ʤiːn,1,7840,1
Bonnie,F,'bɑ niː,10,7758,2
Walter,M,'wɔːl tɛː,10,7747,2
Billy,M,'bɪ liː,10,7661,2
Alice,F,'æ ləs,10,7446,2
Phyllis,F,'fɪ lɪs,10,7347,2
Henry,M,'hɛn riː,10,7163,2
Carl,M,'kɑrl,1,7160,1
Kathleen,F,kæθ 'liːn,01,7160,2
Joe,M,'ʤoʊ,1,7150,1
Ann,F,'æn,1,7122,1
Doris,F,'dɔː rəs,10,7077,2
Daniel,M,'dæ njəl,10,7049,2
Jack,M,'ʤæk,1,6950,1
Arthur,M,'ɑr θɛː,10,6739,2
Lawrence,M,'lɔː rəns,10,6652,2
Bobby,M,'bɑ biː,10,6588,2
Peggy,F,'pɛ giː,10,6559,2
Willie,M,'wɪ liː,10,6530,2
Diane,F,daɪ 'æn,01,6425,2
Brenda,F,'brɛn də,10,6331,2
Marie,F,mɛː 'iː,01,6151,2
Wayne,M,'weɪn,1,6108,1
Lois,F,'loʊ əs,10,6106,2
Ralph,M,'rælf,1,6037,1
Roy,M,'rɔɪ,1,5947,1
Albert,M,'æl bɛːt,10,5927,2
Stephen,M,'stiː vən,10,5808,2
Eugene,M,juː 'ʤiːn,01,5753,2
Fred,M,'frɛd,1,5617,1
Peter,M,'piː tɛː,10,5611,2
Elaine,F,ɪ 'leɪn,01,5377,2
Jimmy,M,'ʤɪ miː,10,5331,2
Anthony,M,'æn θə niː,100,5235,3
Geraldine,F,ʤɛ rəl 'diːn,001,5228,3
Jane,F,'ʤeɪn,1,5089,1
Howard,M,'haʊ ɛːd,10,5071,2
Harry,M,'hɛ riː,10,5058,2
Norma,F,'nɔːr mə,10,5020,2
