name,gender,IPA,IPA_stress,counts,n_syllables
Michael,M,'maɪ kəl,10,44470,2
Christopher,M,'krɪ stə fɛː,100,34800,3
Matthew,M,'mæ θjuː,10,33646,2
Jessica,F,'ʤɛ sɪ kə,100,32117,3
Joshua,M,'ʤɑ ʃuː ə,100,31372,3
Tyler,M,'taɪ lɛː,10,30477,2
Ashley,F,'æ ʃliː,10,30278,2
Brandon,M,'bræn dən,10,29487,2
Jacob,M,'ʤeɪ kəb,10,29413,2
Daniel,M,'dæ njəl,10,28059,2
Nicholas,M,'nɪ kə ləs,100,27761,3
Andrew,M,'æn druː,10,26009,2
Joseph,M,'ʤoʊ səf,10,25728,2
Zachary,M,'zæ kɛː iː,100,25132,3
David,M,'deɪ vɪd,10,24868,2
James,M,'ʤeɪmz,1,24768,1
John,M,'ʤɑn,1,24178,1
Emily,F,'ɛ mɪ liː,100,24149,3
Ryan,M,'raɪ ən,10,24053,2
Austin,M,'ɔː stən,10,23191,2
Samantha,F,sə 'mæn θə,010,22818,3
Sarah,F,'sɛ rə,10,22290,2
Anthony,M,'æn θə niː,100,21599,3
William,M,'wɪl jəm,10,21488,2
Justin,M,'ʤə stən,10,20934,2
Taylor,F,'teɪ lɛː,10,20733,2
Robert,M,'rɑ bɛːt,10,20555,2
Alexander,M,`æ ləg 'zæn dɛː,1010,20098,4
Jonathan,M,'ʤɑ nʌ θʌn,100,19060,3
Brittany,F,'brɪ tʌ niː,100,18899,3
Amanda,F,ə 'mæn də,010,18717,3
Kyle,M,'kaɪl,1,18394,1
Cody,M,'koʊ diː,10,17590,2
Kevin,M,'kɛ vɪn,10,17308,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,16779,4
Megan,F,'meɪ gən,10,16579,2
Nicole,F,nɪ 'koʊl,01,16011,2
Kayla,F,'keɪ lə,10,15885,2
Rachel,F,'reɪ ʧəl,10,15486,2
Lauren,F,'lɔː rən,10,15155,2
Thomas,M,'tɑ məs,10,14904,2
Stephanie,F,'stɛ fə niː,100,14749,3
Hannah,F,'hæ nʌ,10,14494,2
Aaron,M,'ɛ rən,10,14382,2
Jordan,M,'ʤɔːr dən,10,14160,2
Jennifer,F,'ʤɛ nʌ fɛː,100,14000,3
Eric,M,'ɛ rɪk,10,13309,2
Alexis,F,ə 'lɛk sɪs,010,13038,3
Benjamin,M,'bɛn ʤə mən,100,12787,3
Victoria,F,vɪk 'tɔː riː ə,0100,12690,4
Dylan,M,'dɪ lən,10,12526,2
Danielle,F,`dæ niː 'ɛl,101,12448,3
Amber,F,'æm bɛː,10,12344,2
Samuel,M,'sæ mjuːl,10,12142,2
Steven,M,'stiː vən,10,12087,2
Courtney,F,'kɔːrt niː,10,12018,2
Christian,M,'krɪs ʧən,10,11985,2
Jose,M,`hoʊ 'zeɪ,11,11724,2
Jasmine,F,'ʤæz mən,10,11711,2
Brian,M,'braɪ ən,10,11643,2
Rebecca,F,rə 'bɛ kə,010,11279,3
Adam,M,'æ dəm,10,11018,2
Timothy,M,'tɪ mə θiː,100,10767,3
Morgan,F,'mɔːr gən,10,10655,2
Alyssa,F,ə 'lɪ sə,010,10603,3
Brianna,F,briː 'æ nʌ,010,10517,3
Nathan,M,'neɪ θʌn,10,10382,2
Alexandra,F,`æ lɛg 'zæn drə,1010,10226,4
Kelsey,F,'kɛl siː,10,9750,2
Katherine,F,'kæ θɛː ɪn,100,9585,3
Richard,M,'rɪ ʧɛːd,10,9513,2
Patrick,M,'pæ trɪk,10,9332,2
Charles,M,'ʧɑrlz,1,9014,1
Sean,M,'ʃɔːn,1,8837,1
Melissa,F,mə 'lɪ sə,010,8798,3
Kimberly,F,'kɪm bɛː liː,100,8746,3
Jesse,M,'ʤɛ siː,10,8682,2
Michelle,F,mɪ 'ʃɛl,01,8637,2
Jason,M,'ʤeɪ sən,10,8546,2
Jeremy,M,'ʤɛ rə miː,100,8227,3
Allison,F,'æ lə sən,100,8150,3
Tiffany,F,'tɪ fə niː,100,8096,3
Haley,F,'heɪ liː,10,7805,2
Mary,F,'mɛ riː,10,7751,2
Chelsea,F,'ʧɛl siː,10,7714,2
Christina,F,krɪ 'stiː nʌ,010,7670,3
Shelby,F,'ʃɛl biː,10,7546,2
Anna,F,'æ nʌ,10,7523,2
Mark,M,'mɑrk,1,7486,1
Stephen,M,'stiː vən,10,7478,2
Abigail,F,'æ bə `geɪl,101,7240,3
Alex,M,'æ ləks,10,7240,2
Sara,F,'sɛ rə,10,7218,2
Juan,M,'wɑn,1,7205,1
Heather,F,'hɛ ðɛː,10,7034,2
Erin,F,'ɛ rɪn,10,6907,2
Laura,F,'lɔː rə,10,6858,2
Cameron,M,'kæ mɛː ən,100,6836,3
Travis,M,'træ vɪs,10,6800,2
Maria,F,mɛː 'iː ə,010,6751,3
Taylor,M,'teɪ lɛː,10,6624,2
Jeffrey,M,'ʤɛ friː,10,6525,2
Andrea,F,'æn driː ə,100,6477,3
Dustin,M,'də stɪn,10,6460,2
Olivia,F,oʊ 'lɪ viː ə,0100,6432,4
Luis,M,luː 'iːs,01,6361,2
Trevor,M,'trɛ vɛː,10,6359,2
Connor,M,'kɑ nɛː,10,6315,2
Madison,F,'mæ də sən,100,6261,3
Jordan,F,'ʤɔːr dən,10,6257,2
Marissa,F,mə 'rɪ sə,010,6245,3
Caleb,M,'keɪ ləb,10,6157,2
Devin,M,'dɛ vɪn,10,6064,2
Brooke,F,'brʊk,1,5973,1
Evan,M,'ɛ vən,10,5891,2
Jared,M,'ʤɛ rɪd,10,5875,2
Kristen,F,'krɪ sən,10,5870,2
Natalie,F,'næ tʌ liː,100,5837,3
Paul,M,'pɔːl,1,5798,1
Erica,F,'ɛ rɪ kə,100,5679,3
Kenneth,M,'kɛ nɪθ,10,5678,2
Bryan,M,'braɪ ən,10,5600,2
Hunter,M,'hən tɛː,10,5584,2
Vanessa,F,və 'nɛ sə,010,5550,3
Gabriel,M,'geɪ briː əl,100,5536,3
Dakota,M,də 'koʊ tʌ,010,5535,3
Shannon,F,'ʃæ nən,10,5507,2
Miranda,F,mɛː 'æn də,010,5456,3
Logan,M,'loʊ gən,10,5452,2
Kelly,F,'kɛ liː,10,5445,2
Mitchell,M,'mɪ ʧəl,10,5371,2
Carlos,M,'kɑr loʊs,10,5325,2
Corey,M,'kɔː riː,10,5279,2
Ian,M,'iː ən,10,5267,2
Marcus,M,'mɑr kəs,10,5257,2
Paige,F,'peɪʤ,1,5208,1
Crystal,F,'krɪ stəl,10,5198,2
Jacqueline,F,'ʤæ kwə lɪn,100,5184,3
Gregory,M,'grɛ gɛː iː,100,5135,3
Derek,M,'dɛ rɪk,10,5082,2
Cassandra,F,kə 'sæn drə,010,5061,3
Gabrielle,F,'gæ briː ɛl,100,5042,3
Nathaniel,M,nʌ 'θæ njəl,010,5028,3
Briana,F,briː 'æ nʌ,010,5000,3
Lindsey,F,'lɪnd ziː,10,4987,2
Katie,F,'keɪ tiː,10,4979,2
Jesus,M,'ʤiː zəs,10,4916,2
Scott,M,'skɑt,1,4916,1
Blake,M,'bleɪk,1,4876,1
Sierra,F,siː 'ɛ rə,010,4852,3
Julia,F,'ʤuːl jʌ,10,4841,2
Alexandria,F,`æ ləg 'zæn driː ə,10100,4839,5
Emma,F,'ɛ mə,10,4763,2
Garrett,M,'gæ rɪt,10,4758,2
Mariah,F,mɛː 'aɪ ə,010,4751,3
Sydney,F,'sɪd niː,10,4738,2
Amy,F,'eɪ miː,10,4691,2
Bradley,M,'bræd liː,10,4674,2
Caitlin,F,'keɪt lɪn,10,4657,2
Kathryn,F,'kæ θrɪn,10,4615,2
Edward,M,'ɛ dwɛːd,10,4522,2
Angela,F,'æn ʤə lə,100,4414,3
Savannah,F,sə 'væ nʌ,010,4385,3
Dalton,M,'dɔːl tən,10,4245,2
Shawn,M,'ʃɔːn,1,4243,1
Peter,M,'piː tɛː,10,4221,2
Antonio,M,æn 'toʊ niː oʊ,0100,4173,4
Ethan,M,'iː θʌn,10,4165,2
Seth,M,'sɛθ,1,4133,1
Catherine,F,'kæ θɛː ən,100,4102,3
Alicia,F,ə 'lɪ ʃə,010,4102,3
Luke,M,'luːk,1,4094,1
Destiny,F,'dɛ stə niː,100,4088,3
Shane,M,'ʃeɪn,1,4084,1
Victor,M,'vɪk tɛː,10,4054,2
Miguel,M,mɪ 'gɛl,01,4033,2
Lucas,M,'luː kəs,10,4010,2
Jamie,F,'ʤeɪ miː,10,3982,2
Tanner,M,'tæ nɛː,10,3922,2
Monica,F,'mɑ nɪ kə,100,3911,3
Adrian,M,'eɪ driː ən,100,3814,3
Spencer,M,'spɛn sɛː,10,3811,2
Erik,M,'ɛ rɪk,10,3746,2
Vincent,M,'vɪn sənt,10,3603,2
Erika,F,'ɛ rɪ kə,100,3583,3
Whitney,F,'wɪt niː,10,3566,2
Dillon,M,'dɪ lən,10,3532,2
Cory,M,'kɔː riː,10,3528,2
Madeline,F,'mæ də lɪn,100,3516,3
Isaac,M,'aɪ zək,10,3495,2
Angel,M,'eɪn ʤəl,10,3476,2
Alejandro,M,ɑ leɪ 'jɑn droʊ,0010,3467,4
Jake,M,'ʤeɪk,1,3465,1
Caroline,F,'kɛ rə `laɪn,101,3449,3
Molly,F,'mɑ liː,10,3440,2
