name,gender,IPA,IPA_stress,counts,n_syllables
Mary,F,'mɛ riː,10,64146,2
Robert,M,'rɑ bɛːt,10,62147,2
James,M,'ʤeɪmz,1,53944,1
John,M,'ʤɑn,1,52432,1
William,M,'wɪl jəm,10,47259,2
Betty,F,'bɛ tiː,10,38233,2
Richard,M,'rɪ ʧɛːd,10,32178,2
Charles,M,'ʧɑrlz,1,31863,1
Dorothy,F,'dɔː rə θiː,100,30407,3
Donald,M,'dɑ nəld,10,29046,2
George,M,'ʤɔːrʤ,1,22779,1
Joseph,M,'ʤoʊ səf,10,20981,2
Helen,F,'hɛ lən,10,19914,2
Margaret,F,'mɑr gɛː ɪt,100,18351,3
Barbara,F,'bɑr bɛː ə,100,18281,3
Edward,M,'ɛ dwɛːd,10,17347,2
Thomas,M,'tɑ məs,10,17013,2
Patricia,F,pə 'trɪ ʃə,010,15752,3
Joan,F,'ʤoʊn,1,15480,1
Doris,F,'dɔː rəs,10,15467,2
Ruth,F,'ruːθ,1,14940,1
Shirley,F,'ʃɛː liː,10,14776,2
Virginia,F,vɛː 'ʤɪ njə,010,13199,3
Paul,M,'pɔːl,1,12960,1
Dolores,F,də 'lɔː rɪs,010,12838,3
Frank,M,'fræŋk,1,12539,1
Jack,M,'ʤæk,1,12431,1
David,M,'deɪ vɪd,10,12272,2
Jean,F,'ʤiːn,1,11984,1
Raymond,M,'reɪ mənd,10,11715,2
Kenneth,M,'kɛ nɪθ,10,11701,2
Harold,M,'hɛ rəld,10,11659,2
Elizabeth,F,ɪ 'lɪ zʌ bəθ,0100,10995,4
Frances,F,'fræn sɪs,10,10646,2
Lois,F,'loʊ əs,10,10114,2
Walter,M,'wɔːl tɛː,10,9728,2
Joyce,F,'ʤɔɪs,1,9658,1
Evelyn,F,'ɛ və lən,100,9536,3
Alice,F,'æ ləs,10,9517,2
Mildred,F,'mɪl drɪd,10,9351,2
Marilyn,F,'mɛ rə lən,100,9287,3
Billy,M,'bɪ liː,10,9284,2
Anna,F,'æ nʌ,10,9079,2
Nancy,F,'næn siː,10,9069,2
Eugene,M,juː 'ʤiːn,01,9028,2
Henry,M,'hɛn riː,10,8593,2
Norma,F,'nɔːr mə,10,8510,2
Marie,F,mɛː 'iː,01,8426,2
Arthur,M,'ɑr θɛː,10,8279,2
Albert,M,'æl bɛːt,10,7942,2
Martha,F,'mɑr θə,10,7831,2
Phyllis,F,'fɪ lɪs,10,7770,2
Rose,F,'roʊz,1,7691,1
Ralph,M,'rælf,1,7638,1
Gloria,F,'glɔː riː ə,100,7603,3
Carl,M,'kɑrl,1,6953,1
Louise,F,luː 'iːz,01,6941,2
Joe,M,'ʤoʊ,1,6878,1
Harry,M,'hɛ riː,10,6847,2
Willie,M,'wɪ liː,10,6668,2
Marjorie,F,'mɑr ʤɛː iː,100,6632,3
Gerald,M,'ʤɛ rəld,10,6482,2
Irene,F,aɪ 'riːn,01,6463,2
Beverly,F,'bɛ vɛː liː,100,6456,3
Howard,M,'haʊ ɛːd,10,6341,2
Catherine,F,'kæ θɛː ən,100,6298,3
Fred,M,'frɛd,1,6044,1
Ruby,F,'ruː biː,10,5991,2
Donna,F,'dɑ nʌ,10,5979,2
Roy,M,'rɔɪ,1,5916,1
Florence,F,'flɔː rəns,10,5865,2
Eleanor,F,'ɛ lə nɔːr,100,5822,3
Louis,M,'luː ɪs,10,5809,2
Annie,F,'æ niː,10,5754,2
Herbert,M,'hɛː bɛːt,10,5671,2
Lawrence,M,'lɔː rəns,10,5636,2
Ronald,M,'rɑ nəld,10,5634,2
Earl,M,'ɛːl,1,5566,1
Ann,F,'æn,1,5531,1
Clarence,M,'klɛ rəns,10,5496,2
Rita,F,'riː tʌ,10,5468,2
Lillian,F,'lɪ liː ən,100,5449,3
Geraldine,F,ʤɛ rəl 'diːn,001,5448,3
Norman,M,'nɔːr mən,10,5296,2
Thelma,F,'θɛl mə,10,5246,2
Bobby,M,'bɑ biː,10,5181,2
Lorraine,F,lɛː 'eɪn,01,5164,2
June,F,'ʤuːn,1,5094,1
Gladys,F,'glæ dɪs,10,5064,2
Francis,M,'fræn səs,10,4990,2
Josephine,F,'ʤoʊ sə `fiːn,101,4987,3
Ernest,M,'ɛː nəst,10,4784,2
Theresa,F,tɛː 'iː sə,010,4781,3
Edna,F,'ɛd nʌ,10,4763,2
Anthony,M,'æn θə niː,100,4678,3
Leonard,M,'lɛ nɛːd,10,4659,2
Pauline,F,pɔː 'liːn,01,4654,2
Janet,F,'ʤæ nət,10,4601,2
Carol,F,'kæ rəl,10,4598,2
Jane,F,'ʤeɪn,1,4574,1
Alfred,M,'æl frəd,10,4555,2
Wanda,F,'wɑn də,10,4525,2
Juanita,F,wɑ 'niː tʌ,010,4514,3
Daniel,M,'dæ njəl,10,4465,2
Bernice,F,bɛː 'niːs,01,4436,2
Marvin,M,'mɑr vɪn,10,4401,2
Stanley,M,'stæn liː,10,4383,2
Lucille,F,luː 'siːl,01,4328,2
Marion,F,'mɛ riː ən,100,4305,3
